datetime,symbol,open,high,low,close,volume
2018-08-14 15:00:00,NSE:ALKALI,66.9,67.0,65.5,65.5,767.0
2018-08-16 09:00:00,NSE:ALKALI,66.3,67.9,65.15,66.2,929.0
2018-08-16 10:00:00,NSE:ALKALI,66.0,66.0,62.5,64.0,1442.0
2018-08-16 11:00:00,NSE:ALKALI,64.45,64.5,64.0,64.4,271.0
2018-08-16 12:00:00,NSE:ALKALI,64.5,64.95,64.5,64.95,167.0
2018-08-16 13:00:00,NSE:ALKALI,64.95,65.0,63.8,64.55,866.0
2018-08-16 14:00:00,NSE:ALKALI,64.45,64.75,64.45,64.5,593.0
2018-08-16 15:00:00,NSE:ALKALI,64.35,64.5,63.0,63.3,1652.0
2018-08-17 09:00:00,NSE:ALKALI,64.9,64.9,63.65,64.35,763.0
2018-08-17 10:00:00,NSE:ALKALI,64.35,64.4,60.8,63.2,6302.0
2018-08-17 11:00:00,NSE:ALKALI,63.55,63.6,63.0,63.0,629.0
2018-08-17 12:00:00,NSE:ALKALI,63.4,64.0,63.15,63.9,1886.0
2018-08-17 13:00:00,NSE:ALKALI,63.8,63.8,63.55,63.55,200.0
2018-08-17 14:00:00,NSE:ALKALI,63.75,63.8,63.25,63.25,549.0
2018-08-17 15:00:00,NSE:ALKALI,63.15,63.65,63.0,63.4,1342.0
2018-08-20 09:00:00,NSE:ALKALI,63.7,64.8,63.05,64.2,1368.0
2018-08-20 10:00:00,NSE:ALKALI,64.2,64.8,64.2,64.8,845.0
2018-08-20 11:00:00,NSE:ALKALI,64.6,64.6,64.6,64.6,10.0
2018-08-20 12:00:00,NSE:ALKALI,64.5,64.5,64.45,64.45,155.0
2018-08-20 13:00:00,NSE:ALKALI,64.45,64.45,63.75,64.15,239.0
2018-08-20 14:00:00,NSE:ALKALI,63.85,64.3,63.75,64.0,1340.0
2018-08-20 15:00:00,NSE:ALKALI,64.0,64.45,64.0,64.0,812.0
2018-08-21 09:00:00,NSE:ALKALI,63.0,65.45,63.0,64.45,660.0
2018-08-21 10:00:00,NSE:ALKALI,64.45,65.0,64.0,64.0,949.0
2018-08-21 11:00:00,NSE:ALKALI,64.0,64.0,63.5,63.5,400.0
2018-08-21 12:00:00,NSE:ALKALI,63.5,64.5,63.5,64.45,475.0
2018-08-21 13:00:00,NSE:ALKALI,63.65,63.65,63.6,63.6,119.0
2018-08-21 14:00:00,NSE:ALKALI,63.6,65.3,63.6,65.3,1432.0
2018-08-21 15:00:00,NSE:ALKALI,64.6,65.5,64.6,65.5,1503.0
2018-08-23 09:00:00,NSE:ALKALI,63.15,66.7,63.15,64.55,952.0
2018-08-23 10:00:00,NSE:ALKALI,64.5,64.8,64.0,64.8,702.0
2018-08-23 11:00:00,NSE:ALKALI,64.2,64.65,63.45,64.3,1153.0
2018-08-23 12:00:00,NSE:ALKALI,63.95,63.95,63.45,63.45,300.0
2018-08-23 13:00:00,NSE:ALKALI,63.2,63.35,62.85,63.35,2529.0
2018-08-23 14:00:00,NSE:ALKALI,63.35,63.45,62.9,62.9,800.0
2018-08-23 15:00:00,NSE:ALKALI,62.9,63.2,62.25,62.8,1608.0
2018-08-24 09:00:00,NSE:ALKALI,63.65,63.65,62.15,62.15,732.0
2018-08-24 10:00:00,NSE:ALKALI,63.05,63.05,62.35,62.9,181.0
2018-08-24 11:00:00,NSE:ALKALI,62.9,62.9,62.9,62.9,10.0
2018-08-24 12:00:00,NSE:ALKALI,62.5,65.0,62.4,63.9,18970.0
2018-08-24 13:00:00,NSE:ALKALI,63.9,66.55,63.9,66.05,24604.0
2018-08-24 14:00:00,NSE:ALKALI,66.05,68.4,65.55,67.4,15661.0
2018-08-24 15:00:00,NSE:ALKALI,67.25,68.25,67.0,67.55,12544.0
2018-08-27 09:00:00,NSE:ALKALI,70.7,75.95,69.35,73.5,84238.0
2018-08-27 10:00:00,NSE:ALKALI,73.5,73.8,72.1,73.2,15377.0
2018-08-27 11:00:00,NSE:ALKALI,73.5,73.5,72.7,73.05,3534.0
2018-08-27 12:00:00,NSE:ALKALI,73.3,73.3,72.1,73.25,11097.0
2018-08-27 13:00:00,NSE:ALKALI,73.05,73.05,72.1,73.0,4163.0
2018-08-27 14:00:00,NSE:ALKALI,72.45,73.0,72.0,72.8,3715.0
2018-08-27 15:00:00,NSE:ALKALI,72.85,72.85,69.85,70.6,7971.0
2018-08-28 09:00:00,NSE:ALKALI,70.75,72.5,69.15,69.4,4162.0
2018-08-28 10:00:00,NSE:ALKALI,69.55,70.0,69.3,69.65,1521.0
2018-08-28 11:00:00,NSE:ALKALI,69.3,69.65,66.2,67.45,2928.0
2018-08-28 12:00:00,NSE:ALKALI,67.4,67.5,66.2,67.05,4890.0
2018-08-28 13:00:00,NSE:ALKALI,67.35,67.75,67.35,67.5,456.0
2018-08-28 14:00:00,NSE:ALKALI,67.95,69.0,67.05,68.3,1208.0
2018-08-28 15:00:00,NSE:ALKALI,68.3,68.35,67.7,67.75,372.0
2018-08-29 09:00:00,NSE:ALKALI,69.95,69.95,67.25,68.05,1026.0
2018-08-29 10:00:00,NSE:ALKALI,68.25,68.55,67.6,67.9,3244.0
2018-08-29 11:00:00,NSE:ALKALI,67.85,68.5,67.7,68.25,1222.0
2018-08-29 12:00:00,NSE:ALKALI,68.25,69.0,68.25,68.35,876.0
2018-08-29 13:00:00,NSE:ALKALI,69.0,69.45,68.75,69.1,927.0
2018-08-29 14:00:00,NSE:ALKALI,69.25,72.8,68.25,69.55,10241.0
2018-08-29 15:00:00,NSE:ALKALI,69.5,69.65,68.05,69.2,1897.0
2018-08-30 09:00:00,NSE:ALKALI,69.2,71.45,69.2,69.7,1442.0
2018-08-30 10:00:00,NSE:ALKALI,69.6,70.25,69.6,70.25,2066.0
