datetime,symbol,open,high,low,close,volume
2015-08-18 09:00:00,NSE:BCG,31.25,32.6,31.25,31.8,90493.0
2015-08-18 10:00:00,NSE:BCG,31.8,32.5,31.65,31.8,66971.0
2015-08-18 11:00:00,NSE:BCG,31.8,31.9,31.1,31.15,63994.0
2015-08-18 12:00:00,NSE:BCG,31.35,31.35,31.15,31.25,36528.0
2015-08-18 13:00:00,NSE:BCG,31.25,31.5,31.15,31.4,48487.0
2015-08-18 14:00:00,NSE:BCG,31.4,31.45,31.2,31.35,64649.0
2015-08-18 15:00:00,NSE:BCG,31.4,31.6,31.15,31.3,123587.0
2018-10-08 09:00:00,NSE:BCG,3.85,3.9,3.6,3.7,164131.0
2018-10-08 10:00:00,NSE:BCG,3.65,3.7,3.6,3.65,50022.0
2018-10-08 11:00:00,NSE:BCG,3.6,3.7,3.6,3.7,49100.0
2018-10-08 12:00:00,NSE:BCG,3.65,3.7,3.6,3.7,36960.0
2018-10-08 13:00:00,NSE:BCG,3.65,3.65,3.55,3.55,69346.0
2018-10-08 14:00:00,NSE:BCG,3.6,3.6,3.4,3.45,47959.0
2018-10-08 15:00:00,NSE:BCG,3.45,3.65,3.45,3.6,47628.0
2018-10-09 09:00:00,NSE:BCG,3.65,3.7,3.55,3.65,73129.0
2018-10-09 10:00:00,NSE:BCG,3.65,3.7,3.6,3.6,58626.0
2018-10-09 11:00:00,NSE:BCG,3.6,3.7,3.6,3.6,26326.0
2018-10-09 12:00:00,NSE:BCG,3.65,3.8,3.65,3.75,97647.0
2018-10-09 13:00:00,NSE:BCG,3.75,3.95,3.7,3.85,252749.0
2018-10-09 14:00:00,NSE:BCG,3.95,4.0,3.8,3.9,111260.0
2018-10-09 15:00:00,NSE:BCG,3.95,3.95,3.85,3.95,111780.0
2018-10-10 09:00:00,NSE:BCG,3.85,4.3,3.85,4.3,201248.0
2018-10-10 10:00:00,NSE:BCG,4.3,4.35,4.2,4.3,188613.0
2018-10-10 11:00:00,NSE:BCG,4.3,4.45,4.25,4.4,171711.0
2018-10-10 12:00:00,NSE:BCG,4.35,4.5,4.35,4.5,230767.0
2018-10-10 13:00:00,NSE:BCG,4.4,4.65,4.4,4.6,183525.0
2018-10-10 14:00:00,NSE:BCG,4.6,4.6,4.4,4.45,207618.0
2018-10-10 15:00:00,NSE:BCG,4.45,4.55,4.4,4.45,57499.0
