datetime,symbol,open,high,low,close,volume
2018-07-20 11:00:00,NSE:MURUDCERA,31.75,31.75,31.3,31.35,3001.0
2018-07-20 12:00:00,NSE:MURUDCERA,31.35,31.75,31.35,31.75,1616.0
2018-07-20 13:00:00,NSE:MURUDCERA,31.35,31.75,31.35,31.45,818.0
2018-07-20 14:00:00,NSE:MURUDCERA,31.45,32.0,31.45,31.75,2654.0
2018-07-20 15:00:00,NSE:MURUDCERA,31.85,32.0,31.75,31.75,3125.0
2018-07-23 09:00:00,NSE:MURUDCERA,31.25,32.85,31.25,32.5,1214.0
2018-07-23 10:00:00,NSE:MURUDCERA,32.55,32.8,32.55,32.8,2474.0
2018-07-23 11:00:00,NSE:MURUDCERA,32.65,32.65,32.35,32.55,253.0
2018-07-23 12:00:00,NSE:MURUDCERA,32.7,32.7,32.6,32.6,400.0
2018-07-23 13:00:00,NSE:MURUDCERA,32.4,32.55,31.8,32.2,1939.0
2018-07-23 14:00:00,NSE:MURUDCERA,32.2,32.6,31.8,32.55,3827.0
2018-07-23 15:00:00,NSE:MURUDCERA,32.5,32.75,32.5,32.75,3986.0
2018-07-24 09:00:00,NSE:MURUDCERA,33.25,33.8,32.5,33.8,6029.0
2018-07-24 10:00:00,NSE:MURUDCERA,33.6,33.75,33.25,33.4,5775.0
2018-07-24 11:00:00,NSE:MURUDCERA,33.3,33.9,33.25,33.35,3196.0
2018-07-24 12:00:00,NSE:MURUDCERA,33.35,33.7,33.2,33.25,603.0
2018-07-24 13:00:00,NSE:MURUDCERA,33.25,33.6,33.2,33.4,1707.0
2018-07-24 14:00:00,NSE:MURUDCERA,33.8,34.7,33.6,34.1,19946.0
2018-07-24 15:00:00,NSE:MURUDCERA,34.2,34.6,34.0,34.15,3702.0
2018-07-25 09:00:00,NSE:MURUDCERA,34.95,35.2,34.3,34.9,3991.0
2018-07-25 10:00:00,NSE:MURUDCERA,34.9,34.9,34.45,34.5,687.0
2018-07-25 11:00:00,NSE:MURUDCERA,34.5,35.2,34.0,35.0,16433.0
2018-07-25 12:00:00,NSE:MURUDCERA,34.8,34.8,34.4,34.5,1111.0
2018-07-25 13:00:00,NSE:MURUDCERA,34.55,34.9,34.0,34.1,3782.0
2018-07-25 14:00:00,NSE:MURUDCERA,34.05,34.5,34.05,34.4,1951.0
2018-07-25 15:00:00,NSE:MURUDCERA,34.35,34.5,34.05,34.5,2051.0
2018-07-26 09:00:00,NSE:MURUDCERA,34.45,35.3,34.45,35.0,2965.0
2018-07-26 10:00:00,NSE:MURUDCERA,35.0,35.0,34.4,34.45,2043.0
2018-07-26 11:00:00,NSE:MURUDCERA,34.85,34.85,34.5,34.5,167.0
2018-07-26 12:00:00,NSE:MURUDCERA,34.55,34.85,34.5,34.85,1111.0
2018-07-26 13:00:00,NSE:MURUDCERA,34.55,34.95,34.45,34.6,805.0
2018-07-26 14:00:00,NSE:MURUDCERA,34.65,34.85,34.45,34.8,2030.0
2018-07-26 15:00:00,NSE:MURUDCERA,34.7,34.85,34.3,34.3,3524.0
2018-07-27 09:00:00,NSE:MURUDCERA,34.75,34.75,34.4,34.4,1300.0
2018-07-27 10:00:00,NSE:MURUDCERA,34.4,34.9,34.4,34.65,110.0
2018-07-27 11:00:00,NSE:MURUDCERA,34.5,34.7,34.4,34.4,2222.0
