datetime,symbol,open,high,low,close,volume
2021-07-06 12:49:00,NSE:LIBAS,66.8,66.8,66.8,66.8,35.0
2021-07-06 12:50:00,NSE:LIBAS,66.8,66.8,66.8,66.8,1.0
2021-07-06 12:51:00,NSE:LIBAS,66.8,66.8,66.8,66.8,100.0
2021-07-06 12:52:00,NSE:LIBAS,67.0,67.0,67.0,67.0,10000.0
2021-07-06 12:53:00,NSE:LIBAS,66.8,66.8,66.8,66.8,15.0
2021-07-06 12:54:00,NSE:LIBAS,66.95,67.1,66.95,67.1,2332.0
2021-07-06 12:55:00,NSE:LIBAS,67.15,67.3,67.1,67.1,3666.0
2021-07-06 12:56:00,NSE:LIBAS,67.2,67.2,67.2,67.2,500.0
2021-07-06 12:57:00,NSE:LIBAS,67.0,67.2,67.0,67.2,400.0
2021-07-06 12:58:00,NSE:LIBAS,67.05,67.15,67.05,67.15,1390.0
2021-07-06 12:59:00,NSE:LIBAS,67.15,67.15,67.15,67.15,100.0
2021-07-06 13:00:00,NSE:LIBAS,67.05,67.05,67.0,67.0,305.0
2021-07-06 13:01:00,NSE:LIBAS,66.95,67.15,66.95,67.15,2723.0
2021-07-06 13:02:00,NSE:LIBAS,66.75,66.95,66.75,66.95,1576.0
2021-07-06 13:03:00,NSE:LIBAS,66.85,67.0,66.85,67.0,19.0
2021-07-06 13:04:00,NSE:LIBAS,67.05,67.05,67.05,67.05,1.0
2021-07-06 13:06:00,NSE:LIBAS,67.0,67.0,67.0,67.0,9.0
2021-07-06 13:07:00,NSE:LIBAS,67.0,67.0,66.9,66.9,195.0
2021-07-06 13:08:00,NSE:LIBAS,66.85,66.85,66.85,66.85,10.0
2021-07-06 13:10:00,NSE:LIBAS,66.85,66.85,66.8,66.8,415.0
2021-07-06 13:15:00,NSE:LIBAS,66.3,66.3,66.3,66.3,11231.0
2021-07-06 13:16:00,NSE:LIBAS,66.75,66.75,66.75,66.75,10.0
2021-07-06 13:17:00,NSE:LIBAS,66.75,66.75,66.75,66.75,700.0
2021-07-06 13:19:00,NSE:LIBAS,66.75,66.75,66.55,66.55,160.0
2021-07-06 13:20:00,NSE:LIBAS,66.8,66.8,66.8,66.8,500.0
2021-07-06 13:21:00,NSE:LIBAS,66.8,67.15,66.8,67.15,2942.0
2021-07-06 13:22:00,NSE:LIBAS,67.15,67.2,67.15,67.15,2320.0
2021-07-06 13:23:00,NSE:LIBAS,67.25,67.25,67.25,67.25,355.0
2021-07-06 13:24:00,NSE:LIBAS,67.4,67.55,67.3,67.55,5361.0
2021-07-06 13:25:00,NSE:LIBAS,67.55,67.75,67.55,67.7,1325.0
2021-07-06 13:26:00,NSE:LIBAS,67.9,68.4,67.85,68.3,12952.0
2021-07-06 13:27:00,NSE:LIBAS,68.3,68.3,67.6,68.0,7732.0
