datetime,symbol,open,high,low,close,volume
2016-07-20 15:00:00,NSE:HCG,190.1,194.6,190.1,193.05,5957.0
2016-07-21 09:00:00,NSE:HCG,193.2,194.5,191.0,192.8,2091.0
2016-07-21 11:00:00,NSE:HCG,192.1,193.85,192.05,192.1,2819.0
2016-07-21 13:00:00,NSE:HCG,192.1,195.15,192.1,195.0,30324.0
2016-07-21 15:00:00,NSE:HCG,193.65,196.0,193.05,195.5,24091.0
2016-07-22 09:00:00,NSE:HCG,195.5,197.1,193.2,195.0,10621.0
2016-07-22 11:00:00,NSE:HCG,195.0,202.0,194.2,197.0,37354.0
2016-07-22 13:00:00,NSE:HCG,197.5,200.5,196.85,199.0,12691.0
2016-07-22 15:00:00,NSE:HCG,199.0,200.0,197.2,199.0,5283.0
2016-07-25 09:00:00,NSE:HCG,199.0,201.0,196.6,197.1,18616.0
2016-07-25 11:00:00,NSE:HCG,198.0,200.0,197.0,197.2,23122.0
2016-07-25 13:00:00,NSE:HCG,198.0,201.6,194.4,201.35,24074.0
2016-07-25 15:00:00,NSE:HCG,200.95,201.5,195.3,199.4,8600.0
2016-07-26 09:00:00,NSE:HCG,196.2,199.0,195.0,195.8,7435.0
2016-07-26 11:00:00,NSE:HCG,195.25,196.5,193.75,194.15,17978.0
2016-07-26 13:00:00,NSE:HCG,194.15,196.25,193.8,193.8,5464.0
2016-07-26 15:00:00,NSE:HCG,192.9,197.0,192.0,193.4,13724.0
2016-07-27 09:00:00,NSE:HCG,192.0,196.5,192.0,195.0,8028.0
2016-07-27 11:00:00,NSE:HCG,195.0,196.25,193.5,196.0,7250.0
2016-07-27 13:00:00,NSE:HCG,195.1,197.7,195.0,197.1,8635.0
2016-07-27 15:00:00,NSE:HCG,197.0,197.7,196.0,196.55,2567.0
2016-07-28 09:00:00,NSE:HCG,198.95,205.9,196.1,205.75,28003.0
2016-07-28 11:00:00,NSE:HCG,205.75,211.7,205.0,206.3,70569.0
2016-07-28 13:00:00,NSE:HCG,205.75,206.95,203.0,203.8,22991.0
2016-07-28 15:00:00,NSE:HCG,204.0,204.75,203.0,203.55,15238.0
2016-07-29 09:00:00,NSE:HCG,202.0,205.0,202.0,202.0,6078.0
2016-07-29 11:00:00,NSE:HCG,201.25,203.4,198.25,201.5,11360.0
2016-07-29 13:00:00,NSE:HCG,201.0,205.0,200.0,204.0,11197.0
2016-07-29 15:00:00,NSE:HCG,204.0,204.5,201.4,203.25,3499.0
2016-08-01 09:00:00,NSE:HCG,202.05,209.0,200.2,206.0,13608.0
2016-08-01 11:00:00,NSE:HCG,205.0,205.85,200.2,203.0,7234.0
2016-08-01 13:00:00,NSE:HCG,203.0,205.0,200.2,205.0,3495.0
2016-08-01 15:00:00,NSE:HCG,204.45,205.0,203.25,203.25,3884.0
2016-08-02 09:00:00,NSE:HCG,203.15,208.85,203.15,206.5,5442.0
2016-08-02 11:00:00,NSE:HCG,206.5,206.5,202.9,203.0,9255.0
2016-08-02 13:00:00,NSE:HCG,203.0,204.55,200.0,203.85,9441.0
2016-08-02 15:00:00,NSE:HCG,203.7,204.5,202.0,202.55,8127.0
2016-08-03 09:00:00,NSE:HCG,200.3,204.0,200.0,200.95,4144.0
2016-08-03 11:00:00,NSE:HCG,200.5,201.85,200.0,201.05,8111.0
