datetime,symbol,open,high,low,close,volume
2020-02-14 09:00:00,NSE:UNIVPHOTO,58.8,61.65,55.9,55.9,12358.0
2020-02-14 11:00:00,NSE:UNIVPHOTO,59.0,61.0,55.9,61.0,2710.0
2020-02-14 13:00:00,NSE:UNIVPHOTO,60.0,61.6,60.0,60.1,3866.0
2020-02-17 09:00:00,NSE:UNIVPHOTO,59.8,63.0,59.65,60.0,973.0
2020-02-17 11:00:00,NSE:UNIVPHOTO,60.0,63.1,59.8,63.1,2082.0
2020-02-17 13:00:00,NSE:UNIVPHOTO,63.1,63.1,60.0,60.0,1630.0
2020-02-18 09:00:00,NSE:UNIVPHOTO,62.85,63.0,62.85,63.0,275.0
2020-02-18 11:00:00,NSE:UNIVPHOTO,63.0,63.0,63.0,63.0,152.0
2020-02-18 13:00:00,NSE:UNIVPHOTO,63.0,63.0,63.0,63.0,202.0
2020-02-19 09:00:00,NSE:UNIVPHOTO,66.05,66.15,66.05,66.15,257.0
2020-02-19 11:00:00,NSE:UNIVPHOTO,66.15,66.15,66.15,66.15,80.0
2020-02-19 13:00:00,NSE:UNIVPHOTO,66.15,66.15,66.15,66.15,277.0
2020-02-20 09:00:00,NSE:UNIVPHOTO,69.45,69.45,69.45,69.45,102.0
2020-02-20 11:00:00,NSE:UNIVPHOTO,69.45,69.45,69.45,69.45,424.0
2020-02-20 13:00:00,NSE:UNIVPHOTO,69.45,69.45,69.45,69.45,131.0
2020-02-20 15:00:00,NSE:UNIVPHOTO,69.45,69.45,69.45,69.45,1.0
2020-02-24 09:00:00,NSE:UNIVPHOTO,72.9,72.9,69.45,72.9,5959.0
2020-02-24 11:00:00,NSE:UNIVPHOTO,72.75,72.9,70.7,72.9,1880.0
2020-02-24 13:00:00,NSE:UNIVPHOTO,72.7,72.9,70.0,72.75,594.0
2020-02-24 15:00:00,NSE:UNIVPHOTO,72.75,72.75,72.75,72.75,50.0
2020-02-25 09:00:00,NSE:UNIVPHOTO,75.6,75.6,69.15,70.05,1550.0
2020-02-25 11:00:00,NSE:UNIVPHOTO,70.0,70.05,70.0,70.05,138.0
2020-02-25 13:00:00,NSE:UNIVPHOTO,70.05,70.05,70.0,70.0,54.0
2020-02-25 15:00:00,NSE:UNIVPHOTO,73.0,73.0,73.0,73.0,2.0
2020-02-26 09:00:00,NSE:UNIVPHOTO,70.7,73.0,70.15,73.0,1195.0
2020-02-26 11:00:00,NSE:UNIVPHOTO,73.0,73.9,73.0,73.0,1127.0
2020-02-26 13:00:00,NSE:UNIVPHOTO,73.0,73.5,73.0,73.0,450.0
2020-02-26 15:00:00,NSE:UNIVPHOTO,73.0,73.0,73.0,73.0,800.0
2020-02-27 09:00:00,NSE:UNIVPHOTO,69.35,75.55,69.35,74.0,2154.0
2020-02-27 11:00:00,NSE:UNIVPHOTO,70.0,70.0,69.65,70.0,4100.0
