datetime,symbol,open,high,low,close,volume
2021-05-28 15:09:00,NSE:ABAN,36.35,36.45,36.35,36.4,924.0
2021-05-28 15:12:00,NSE:ABAN,36.4,36.4,36.25,36.25,1994.0
2021-05-28 15:15:00,NSE:ABAN,36.2,36.4,36.2,36.4,4864.0
2021-05-28 15:18:00,NSE:ABAN,36.4,36.4,36.2,36.2,4077.0
2021-05-28 15:21:00,NSE:ABAN,36.2,36.2,36.2,36.2,3211.0
2021-05-28 15:24:00,NSE:ABAN,36.2,36.35,36.2,36.35,2903.0
2021-05-28 15:27:00,NSE:ABAN,36.4,36.45,36.2,36.35,4129.0
2021-05-31 09:06:00,NSE:ABAN,36.1,36.1,36.1,36.1,350.0
2021-05-31 09:15:00,NSE:ABAN,36.1,36.25,36.1,36.15,2988.0
2021-05-31 09:18:00,NSE:ABAN,36.15,36.45,36.15,36.45,878.0
2021-05-31 09:21:00,NSE:ABAN,36.45,36.45,36.25,36.25,6889.0
2021-05-31 09:24:00,NSE:ABAN,36.2,36.2,35.7,35.9,8668.0
2021-05-31 09:27:00,NSE:ABAN,35.8,35.9,35.5,35.5,2917.0
2021-05-31 09:30:00,NSE:ABAN,35.45,35.45,35.0,35.25,4731.0
2021-05-31 09:33:00,NSE:ABAN,35.25,35.4,35.15,35.4,965.0
2021-05-31 09:36:00,NSE:ABAN,35.4,36.4,35.3,36.3,8065.0
2021-05-31 09:39:00,NSE:ABAN,35.75,36.25,35.75,36.25,1795.0
2021-05-31 09:42:00,NSE:ABAN,36.05,36.1,35.7,36.1,1196.0
2021-05-31 09:45:00,NSE:ABAN,36.05,36.05,36.0,36.0,354.0
2021-05-31 09:48:00,NSE:ABAN,36.0,36.05,36.0,36.0,426.0
2021-05-31 09:51:00,NSE:ABAN,36.05,36.2,36.05,36.2,1341.0
2021-05-31 09:54:00,NSE:ABAN,36.2,36.2,36.15,36.15,130.0
2021-05-31 09:57:00,NSE:ABAN,36.15,36.2,36.15,36.15,555.0
2021-05-31 10:00:00,NSE:ABAN,36.15,36.15,35.95,35.95,259.0
2021-05-31 10:03:00,NSE:ABAN,36.05,36.15,36.05,36.15,641.0
2021-05-31 10:06:00,NSE:ABAN,36.1,36.1,36.1,36.1,374.0
2021-05-31 10:09:00,NSE:ABAN,36.0,36.0,36.0,36.0,175.0
2021-05-31 10:12:00,NSE:ABAN,36.1,36.1,36.1,36.1,1.0
2021-05-31 10:15:00,NSE:ABAN,36.0,36.0,35.8,35.8,1201.0
2021-05-31 10:18:00,NSE:ABAN,35.95,36.0,35.85,35.85,1506.0
2021-05-31 10:21:00,NSE:ABAN,35.8,35.9,35.8,35.8,160.0
