datetime,symbol,open,high,low,close,volume
2021-05-06 10:57:00,NSE:DHANIPP.E1,76.6,76.6,76.5,76.5,78053.0
2021-05-06 11:00:00,NSE:DHANIPP.E1,76.85,77.0,76.85,77.0,9100.0
2021-05-06 11:06:00,NSE:DHANIPP.E1,76.55,76.55,76.55,76.55,2.0
2021-05-06 11:09:00,NSE:DHANIPP.E1,76.55,76.55,76.5,76.5,1000.0
2021-05-06 11:15:00,NSE:DHANIPP.E1,75.05,76.5,75.05,76.5,5001.0
2021-05-06 11:18:00,NSE:DHANIPP.E1,76.3,76.3,76.3,76.3,19.0
2021-05-06 11:21:00,NSE:DHANIPP.E1,76.15,76.15,76.15,76.15,15.0
2021-05-06 11:27:00,NSE:DHANIPP.E1,75.3,75.35,75.3,75.35,91.0
2021-05-06 11:33:00,NSE:DHANIPP.E1,75.9,75.9,75.9,75.9,50.0
2021-05-06 11:42:00,NSE:DHANIPP.E1,75.55,75.55,75.55,75.55,115.0
2021-05-06 11:45:00,NSE:DHANIPP.E1,75.6,75.6,75.6,75.6,1.0
2021-05-06 11:51:00,NSE:DHANIPP.E1,75.65,75.95,75.65,75.95,129.0
2021-05-06 11:54:00,NSE:DHANIPP.E1,76.0,76.0,76.0,76.0,421.0
2021-05-06 12:00:00,NSE:DHANIPP.E1,75.95,76.0,75.95,76.0,461.0
2021-05-06 12:03:00,NSE:DHANIPP.E1,76.0,76.0,76.0,76.0,87.0
2021-05-06 12:06:00,NSE:DHANIPP.E1,76.0,76.4,75.95,76.4,69.0
2021-05-06 12:09:00,NSE:DHANIPP.E1,76.4,76.4,76.4,76.4,5.0
2021-05-06 12:12:00,NSE:DHANIPP.E1,76.4,76.4,76.4,76.4,20.0
2021-05-06 12:15:00,NSE:DHANIPP.E1,75.65,75.65,75.65,75.65,8.0
2021-05-06 12:24:00,NSE:DHANIPP.E1,75.65,75.65,75.65,75.65,53.0
2021-05-06 12:30:00,NSE:DHANIPP.E1,76.5,76.5,76.5,76.5,2.0
2021-05-06 12:39:00,NSE:DHANIPP.E1,76.3,76.3,75.7,75.7,21.0
2021-05-06 12:42:00,NSE:DHANIPP.E1,76.0,76.9,76.0,76.9,2949.0
2021-05-06 12:48:00,NSE:DHANIPP.E1,76.5,76.5,76.5,76.5,15.0
2021-05-06 12:54:00,NSE:DHANIPP.E1,76.7,76.7,76.7,76.7,5.0
2021-05-06 13:06:00,NSE:DHANIPP.E1,76.7,76.8,76.0,76.8,615.0
