datetime,symbol,open,high,low,close,volume
2020-01-03 13:00:00,NSE:MANINFRA,27.55,27.65,27.45,27.45,2084.0
2020-01-03 13:30:00,NSE:MANINFRA,27.4,27.45,27.25,27.45,4685.0
2020-01-03 14:00:00,NSE:MANINFRA,27.4,27.4,27.3,27.3,1803.0
2020-01-03 14:30:00,NSE:MANINFRA,27.3,27.5,27.05,27.25,62672.0
2020-01-03 15:00:00,NSE:MANINFRA,27.4,27.55,27.25,27.55,29572.0
2020-01-03 15:30:00,NSE:MANINFRA,27.55,27.55,27.4,27.4,55.0
2020-01-06 09:00:00,NSE:MANINFRA,26.4,27.45,26.4,27.1,7084.0
2020-01-06 09:30:00,NSE:MANINFRA,27.0,27.7,27.0,27.65,55589.0
2020-01-06 10:00:00,NSE:MANINFRA,27.55,27.6,27.2,27.3,21359.0
2020-01-06 10:30:00,NSE:MANINFRA,27.3,27.6,27.2,27.45,9523.0
2020-01-06 11:00:00,NSE:MANINFRA,27.4,27.7,27.4,27.55,16763.0
2020-01-06 11:30:00,NSE:MANINFRA,27.6,27.65,27.5,27.5,11398.0
2020-01-06 12:00:00,NSE:MANINFRA,27.5,27.6,27.45,27.5,17462.0
2020-01-06 12:30:00,NSE:MANINFRA,27.5,27.5,27.45,27.45,26274.0
2020-01-06 13:00:00,NSE:MANINFRA,27.45,27.5,27.3,27.3,7929.0
2020-01-06 13:30:00,NSE:MANINFRA,27.3,27.4,27.3,27.3,16152.0
2020-01-06 14:00:00,NSE:MANINFRA,27.4,27.4,26.8,26.8,12734.0
2020-01-06 14:30:00,NSE:MANINFRA,27.05,27.05,26.8,27.0,2641.0
2020-01-06 15:00:00,NSE:MANINFRA,26.85,27.0,26.75,26.75,15164.0
2020-01-06 15:30:00,NSE:MANINFRA,26.75,26.75,26.75,26.75,1.0
2020-01-07 09:00:00,NSE:MANINFRA,27.05,27.55,27.05,27.5,9632.0
2020-01-07 09:30:00,NSE:MANINFRA,27.5,29.3,27.5,28.7,146461.0
2020-01-07 10:00:00,NSE:MANINFRA,28.65,28.8,28.45,28.45,82644.0
2020-01-07 10:30:00,NSE:MANINFRA,28.5,29.0,28.45,28.6,34655.0
2020-01-07 11:00:00,NSE:MANINFRA,28.6,30.4,28.6,29.65,374129.0
2020-01-07 11:30:00,NSE:MANINFRA,29.65,29.65,29.1,29.35,28567.0
2020-01-07 12:00:00,NSE:MANINFRA,29.3,29.4,28.8,29.05,25881.0
2020-01-07 12:30:00,NSE:MANINFRA,29.05,29.45,28.75,29.0,88089.0
2020-01-07 13:00:00,NSE:MANINFRA,28.9,28.95,28.6,28.6,46985.0
2020-01-07 13:30:00,NSE:MANINFRA,28.65,28.9,28.6,28.8,6479.0
