datetime,symbol,open,high,low,close,volume
2020-01-09 11:00:00,NSE:NFL,27.65,27.75,27.55,27.7,40336.0
2020-01-09 11:30:00,NSE:NFL,27.7,27.8,27.6,27.6,26698.0
2020-01-09 12:00:00,NSE:NFL,27.6,27.75,27.6,27.75,31427.0
2020-01-09 12:30:00,NSE:NFL,27.7,27.8,27.6,27.6,27646.0
2020-01-09 13:00:00,NSE:NFL,27.6,27.7,27.55,27.65,10046.0
2020-01-09 13:30:00,NSE:NFL,27.65,27.7,27.55,27.55,44880.0
2020-01-09 14:00:00,NSE:NFL,27.6,27.65,27.55,27.6,32668.0
2020-01-09 14:30:00,NSE:NFL,27.6,27.7,27.55,27.65,28134.0
2020-01-09 15:00:00,NSE:NFL,27.65,27.7,27.35,27.5,201073.0
2020-01-09 15:30:00,NSE:NFL,27.5,27.5,27.5,27.5,2000.0
2020-01-10 09:00:00,NSE:NFL,27.7,27.85,27.5,27.7,28604.0
2020-01-10 09:30:00,NSE:NFL,27.65,27.75,27.65,27.7,38178.0
2020-01-10 10:00:00,NSE:NFL,27.7,27.9,27.65,27.9,48786.0
2020-01-10 10:30:00,NSE:NFL,27.8,27.85,27.7,27.75,17112.0
2020-01-10 11:00:00,NSE:NFL,27.7,27.8,27.65,27.75,21898.0
2020-01-10 11:30:00,NSE:NFL,27.75,27.8,27.65,27.75,14369.0
2020-01-10 12:00:00,NSE:NFL,27.7,27.75,27.6,27.6,29621.0
2020-01-10 12:30:00,NSE:NFL,27.55,27.65,27.45,27.6,25989.0
2020-01-10 13:00:00,NSE:NFL,27.6,27.65,27.4,27.45,15963.0
2020-01-10 13:30:00,NSE:NFL,27.4,27.5,27.35,27.5,14479.0
2020-01-10 14:00:00,NSE:NFL,27.5,27.5,26.85,27.0,116340.0
2020-01-10 14:30:00,NSE:NFL,27.0,27.2,27.0,27.2,34628.0
2020-01-10 15:00:00,NSE:NFL,27.25,27.25,27.1,27.2,76604.0
2020-01-10 15:30:00,NSE:NFL,27.15,27.15,27.15,27.15,100.0
2020-01-13 09:00:00,NSE:NFL,27.4,27.6,27.25,27.6,21762.0
2020-01-13 09:30:00,NSE:NFL,27.55,27.75,27.3,27.4,70264.0
2020-01-13 10:00:00,NSE:NFL,27.45,27.55,27.4,27.45,38413.0
2020-01-13 10:30:00,NSE:NFL,27.45,27.6,27.25,27.35,163682.0
2020-01-13 11:00:00,NSE:NFL,27.35,27.5,27.35,27.4,30173.0
2020-01-13 11:30:00,NSE:NFL,27.4,27.45,27.4,27.4,49476.0
2020-01-13 12:00:00,NSE:NFL,27.45,27.5,27.4,27.5,27847.0
2020-01-13 12:30:00,NSE:NFL,27.5,27.5,27.45,27.45,8989.0
2020-01-13 13:00:00,NSE:NFL,27.45,27.5,27.45,27.45,6032.0
2020-01-13 13:30:00,NSE:NFL,27.45,27.5,27.45,27.5,11307.0
2020-01-13 14:00:00,NSE:NFL,27.5,27.6,27.45,27.6,85855.0
2020-01-13 14:30:00,NSE:NFL,27.6,28.4,27.5,28.0,477906.0
2020-01-13 15:00:00,NSE:NFL,28.0,28.2,27.6,27.8,457994.0
2020-01-13 15:30:00,NSE:NFL,27.75,27.85,27.75,27.85,6948.0
2020-01-14 09:00:00,NSE:NFL,27.95,28.6,27.8,28.5,268664.0
2020-01-14 09:30:00,NSE:NFL,28.55,28.55,28.0,28.05,131472.0
2020-01-14 10:00:00,NSE:NFL,28.05,28.25,28.05,28.15,73280.0
2020-01-14 10:30:00,NSE:NFL,28.15,28.2,28.0,28.1,54507.0
2020-01-14 11:00:00,NSE:NFL,28.1,28.15,28.0,28.15,49176.0
2020-01-14 11:30:00,NSE:NFL,28.15,28.4,28.05,28.2,47505.0
2020-01-14 12:00:00,NSE:NFL,28.15,28.2,28.05,28.15,41408.0
2020-01-14 12:30:00,NSE:NFL,28.15,28.2,28.1,28.15,18082.0
2020-01-14 13:00:00,NSE:NFL,28.1,28.4,28.05,28.2,82305.0
