datetime,symbol,open,high,low,close,volume
2019-05-30 15:45:00,NSE:AKSHARCHEM,342.7,342.7,342.7,342.7,1.0
2019-05-31 09:00:00,NSE:AKSHARCHEM,344.0,347.65,337.6,343.15,1029.0
2019-05-31 09:45:00,NSE:AKSHARCHEM,344.2,349.8,343.15,344.05,1115.0
2019-05-31 10:30:00,NSE:AKSHARCHEM,344.05,344.05,338.1,338.1,276.0
2019-05-31 11:15:00,NSE:AKSHARCHEM,338.1,338.1,335.0,338.0,631.0
2019-05-31 12:00:00,NSE:AKSHARCHEM,335.0,339.0,335.0,338.95,401.0
2019-05-31 12:45:00,NSE:AKSHARCHEM,338.95,338.95,335.0,336.85,800.0
2019-05-31 13:30:00,NSE:AKSHARCHEM,336.9,338.4,336.0,336.95,181.0
2019-05-31 14:15:00,NSE:AKSHARCHEM,338.5,338.5,336.0,337.9,636.0
2019-05-31 15:00:00,NSE:AKSHARCHEM,330.0,335.7,324.0,329.3,2189.0
2019-05-31 15:45:00,NSE:AKSHARCHEM,329.3,329.3,329.3,329.3,55.0
2019-06-03 09:00:00,NSE:AKSHARCHEM,340.0,340.0,323.0,324.55,499.0
2019-06-03 09:45:00,NSE:AKSHARCHEM,324.5,326.9,323.1,323.1,454.0
2019-06-03 10:30:00,NSE:AKSHARCHEM,326.6,326.6,323.65,325.5,200.0
2019-06-03 11:15:00,NSE:AKSHARCHEM,323.1,325.05,321.5,321.5,318.0
2019-06-03 12:00:00,NSE:AKSHARCHEM,320.6,321.5,317.55,321.0,525.0
2019-06-03 12:45:00,NSE:AKSHARCHEM,320.8,320.8,319.0,319.0,81.0
2019-06-03 13:30:00,NSE:AKSHARCHEM,319.0,319.0,318.0,318.95,206.0
2019-06-03 14:15:00,NSE:AKSHARCHEM,319.0,321.45,313.5,315.0,908.0
2019-06-03 15:00:00,NSE:AKSHARCHEM,315.0,320.7,310.0,315.85,1266.0
2019-06-03 15:45:00,NSE:AKSHARCHEM,315.85,319.65,315.85,319.65,100.0
2019-06-04 09:00:00,NSE:AKSHARCHEM,319.0,319.0,312.15,315.1,665.0
2019-06-04 09:45:00,NSE:AKSHARCHEM,315.15,317.8,314.0,315.6,726.0
2019-06-04 10:30:00,NSE:AKSHARCHEM,314.95,314.95,306.0,306.0,389.0
2019-06-04 11:15:00,NSE:AKSHARCHEM,305.15,309.95,305.15,306.05,423.0
2019-06-04 12:00:00,NSE:AKSHARCHEM,306.0,309.75,303.45,305.9,400.0
2019-06-04 12:45:00,NSE:AKSHARCHEM,303.55,307.65,303.55,305.0,483.0
2019-06-04 13:30:00,NSE:AKSHARCHEM,305.0,310.0,304.0,306.2,651.0
2019-06-04 14:15:00,NSE:AKSHARCHEM,310.0,310.5,305.05,310.0,3145.0
2019-06-04 15:00:00,NSE:AKSHARCHEM,310.0,312.0,301.0,301.55,2662.0
2019-06-06 09:00:00,NSE:AKSHARCHEM,307.9,308.05,303.0,303.1,306.0
2019-06-06 09:45:00,NSE:AKSHARCHEM,303.45,308.0,302.1,307.15,430.0
2019-06-06 10:30:00,NSE:AKSHARCHEM,302.1,306.3,301.0,306.0,136.0
2019-06-06 11:15:00,NSE:AKSHARCHEM,306.0,306.0,301.0,301.0,47.0
2019-06-06 12:00:00,NSE:AKSHARCHEM,303.4,303.4,303.2,303.2,4.0
2019-06-06 12:45:00,NSE:AKSHARCHEM,302.95,302.95,302.95,302.95,15.0
2019-06-06 13:30:00,NSE:AKSHARCHEM,301.2,301.2,297.1,297.2,565.0
2019-06-06 14:15:00,NSE:AKSHARCHEM,297.2,298.95,294.95,297.0,538.0
2019-06-06 15:00:00,NSE:AKSHARCHEM,295.0,301.1,295.0,297.0,923.0
2019-06-07 09:00:00,NSE:AKSHARCHEM,296.05,302.0,296.0,297.05,136.0
2019-06-07 09:45:00,NSE:AKSHARCHEM,298.2,314.0,298.0,311.9,226.0
2019-06-07 10:30:00,NSE:AKSHARCHEM,311.8,314.85,303.15,314.45,569.0
2019-06-07 11:15:00,NSE:AKSHARCHEM,313.75,313.8,308.3,308.55,168.0
2019-06-07 12:00:00,NSE:AKSHARCHEM,309.7,313.0,308.0,310.45,504.0
2019-06-07 12:45:00,NSE:AKSHARCHEM,308.5,310.8,302.3,303.85,333.0
2019-06-07 13:30:00,NSE:AKSHARCHEM,305.15,306.6,301.0,302.15,306.0
2019-06-07 14:15:00,NSE:AKSHARCHEM,302.15,307.95,299.0,307.95,531.0
2019-06-07 15:00:00,NSE:AKSHARCHEM,304.0,309.5,301.1,305.45,229.0
2019-06-10 09:00:00,NSE:AKSHARCHEM,303.0,304.55,303.0,304.55,35.0
2019-06-10 09:45:00,NSE:AKSHARCHEM,302.1,304.5,302.1,302.1,572.0
2019-06-10 10:30:00,NSE:AKSHARCHEM,302.1,302.1,302.1,302.1,25.0
2019-06-10 11:15:00,NSE:AKSHARCHEM,302.1,305.95,300.15,305.95,343.0
2019-06-10 12:00:00,NSE:AKSHARCHEM,302.9,305.85,297.15,297.15,378.0
2019-06-10 12:45:00,NSE:AKSHARCHEM,297.15,297.15,297.15,297.15,1.0
2019-06-10 13:30:00,NSE:AKSHARCHEM,297.35,303.3,297.15,297.15,206.0
2019-06-10 14:15:00,NSE:AKSHARCHEM,303.95,303.95,303.95,303.95,17.0
2019-06-10 15:00:00,NSE:AKSHARCHEM,303.0,303.0,297.15,297.15,70.0
2019-06-11 09:00:00,NSE:AKSHARCHEM,304.0,310.5,290.0,296.95,477.0
2019-06-11 09:45:00,NSE:AKSHARCHEM,296.95,299.95,296.95,299.95,41.0
2019-06-11 10:30:00,NSE:AKSHARCHEM,299.9,299.9,293.1,293.1,85.0
2019-06-11 11:15:00,NSE:AKSHARCHEM,293.55,297.05,293.55,295.4,208.0
2019-06-11 12:00:00,NSE:AKSHARCHEM,297.05,305.0,295.05,300.0,357.0
2019-06-11 12:45:00,NSE:AKSHARCHEM,295.15,299.85,295.0,299.85,188.0
2019-06-11 13:30:00,NSE:AKSHARCHEM,300.0,300.0,296.15,299.1,784.0
2019-06-11 14:15:00,NSE:AKSHARCHEM,299.1,301.0,299.1,299.1,160.0
2019-06-11 15:00:00,NSE:AKSHARCHEM,301.0,301.0,300.0,300.0,107.0
2019-06-12 09:00:00,NSE:AKSHARCHEM,297.55,300.0,297.55,300.0,96.0
2019-06-12 09:45:00,NSE:AKSHARCHEM,302.8,302.8,297.55,298.4,277.0
2019-06-12 10:30:00,NSE:AKSHARCHEM,296.15,301.0,296.15,298.0,142.0
2019-06-12 11:15:00,NSE:AKSHARCHEM,296.55,296.55,296.55,296.55,10.0
2019-06-12 12:45:00,NSE:AKSHARCHEM,296.5,298.85,286.5,288.35,310.0
2019-06-12 13:30:00,NSE:AKSHARCHEM,290.3,296.0,290.3,296.0,242.0
2019-06-12 14:15:00,NSE:AKSHARCHEM,297.95,299.85,294.95,299.85,155.0
