datetime,symbol,open,high,low,close,volume
2019-05-14 09:45:00,NSE:BLKASHYAP,16.15,16.35,15.8,15.8,6805.0
2019-05-14 10:30:00,NSE:BLKASHYAP,15.8,15.95,15.7,15.85,12010.0
2019-05-14 11:15:00,NSE:BLKASHYAP,15.9,15.95,12.8,14.6,309075.0
2019-05-14 12:00:00,NSE:BLKASHYAP,14.6,14.95,14.5,14.6,27870.0
2019-05-14 12:45:00,NSE:BLKASHYAP,14.5,14.7,14.35,14.6,116417.0
2019-05-14 13:30:00,NSE:BLKASHYAP,14.6,15.2,14.6,14.95,34372.0
2019-05-14 14:15:00,NSE:BLKASHYAP,14.95,15.0,14.6,14.65,25644.0
2019-05-14 15:00:00,NSE:BLKASHYAP,14.7,14.95,14.6,14.8,27045.0
2019-05-14 15:45:00,NSE:BLKASHYAP,14.8,14.8,14.8,14.8,688.0
2019-05-15 09:00:00,NSE:BLKASHYAP,14.45,15.0,14.45,15.0,10246.0
2019-05-15 09:45:00,NSE:BLKASHYAP,15.1,15.3,15.0,15.0,22978.0
2019-05-15 10:30:00,NSE:BLKASHYAP,14.9,14.9,14.6,14.6,17700.0
2019-05-15 11:15:00,NSE:BLKASHYAP,14.65,14.65,14.2,14.3,46171.0
2019-05-15 12:00:00,NSE:BLKASHYAP,14.3,14.4,14.15,14.2,17784.0
2019-05-15 12:45:00,NSE:BLKASHYAP,14.2,14.2,13.6,14.1,34269.0
2019-05-15 13:30:00,NSE:BLKASHYAP,14.15,14.2,13.75,14.2,16373.0
2019-05-15 14:15:00,NSE:BLKASHYAP,14.2,14.5,14.2,14.2,11607.0
2019-05-15 15:00:00,NSE:BLKASHYAP,14.2,14.25,14.1,14.15,17608.0
2019-05-16 09:00:00,NSE:BLKASHYAP,14.25,14.4,14.25,14.4,302.0
2019-05-16 09:45:00,NSE:BLKASHYAP,14.4,14.8,14.4,14.5,13223.0
2019-05-16 10:30:00,NSE:BLKASHYAP,14.5,14.6,14.5,14.6,3108.0
2019-05-16 11:15:00,NSE:BLKASHYAP,14.6,14.65,14.5,14.6,2650.0
2019-05-16 12:00:00,NSE:BLKASHYAP,14.6,14.75,14.6,14.75,1150.0
2019-05-16 12:45:00,NSE:BLKASHYAP,14.7,15.25,14.65,15.15,27671.0
2019-05-16 13:30:00,NSE:BLKASHYAP,15.2,15.25,15.05,15.05,7750.0
2019-05-16 14:15:00,NSE:BLKASHYAP,15.05,15.4,15.05,15.25,17017.0
2019-05-16 15:00:00,NSE:BLKASHYAP,15.25,15.6,15.2,15.6,26099.0
2019-05-17 09:00:00,NSE:BLKASHYAP,15.9,15.9,15.4,15.5,5461.0
2019-05-17 09:45:00,NSE:BLKASHYAP,15.5,15.5,15.15,15.2,7117.0
2019-05-17 10:30:00,NSE:BLKASHYAP,15.2,15.25,15.1,15.25,6173.0
2019-05-17 11:15:00,NSE:BLKASHYAP,15.35,15.5,15.2,15.2,6982.0
2019-05-17 12:00:00,NSE:BLKASHYAP,15.35,15.35,15.3,15.3,1704.0
2019-05-17 12:45:00,NSE:BLKASHYAP,15.25,15.35,15.25,15.3,5740.0
2019-05-17 13:30:00,NSE:BLKASHYAP,15.3,15.35,15.3,15.3,5606.0
2019-05-17 14:15:00,NSE:BLKASHYAP,15.3,15.4,15.2,15.3,29297.0
2019-05-17 15:00:00,NSE:BLKASHYAP,15.35,15.4,15.0,15.2,19430.0
2019-05-20 09:00:00,NSE:BLKASHYAP,16.0,16.0,15.2,15.8,27229.0
2019-05-20 09:45:00,NSE:BLKASHYAP,15.65,16.2,15.5,15.7,47728.0
2019-05-20 10:30:00,NSE:BLKASHYAP,15.9,16.1,15.8,16.0,11055.0
2019-05-20 11:15:00,NSE:BLKASHYAP,16.0,16.3,15.9,15.9,22895.0
2019-05-20 12:00:00,NSE:BLKASHYAP,15.9,16.3,15.85,16.2,6539.0
2019-05-20 12:45:00,NSE:BLKASHYAP,16.2,16.25,16.1,16.1,8601.0
2019-05-20 13:30:00,NSE:BLKASHYAP,16.1,16.3,16.1,16.3,12624.0
2019-05-20 14:15:00,NSE:BLKASHYAP,16.15,16.35,16.15,16.35,23108.0
2019-05-20 15:00:00,NSE:BLKASHYAP,16.35,16.4,16.05,16.2,19163.0
2019-05-20 15:45:00,NSE:BLKASHYAP,16.2,16.2,16.2,16.2,35.0
2019-05-21 09:00:00,NSE:BLKASHYAP,16.75,16.75,15.75,15.8,13196.0
2019-05-21 09:45:00,NSE:BLKASHYAP,15.8,16.3,15.8,16.25,7778.0
2019-05-21 10:30:00,NSE:BLKASHYAP,16.3,16.6,16.25,16.3,18020.0
2019-05-21 11:15:00,NSE:BLKASHYAP,16.3,16.45,16.25,16.4,10801.0
2019-05-21 12:00:00,NSE:BLKASHYAP,16.35,16.45,16.35,16.45,3787.0
2019-05-21 12:45:00,NSE:BLKASHYAP,16.45,16.45,16.25,16.25,9607.0
2019-05-21 13:30:00,NSE:BLKASHYAP,16.25,16.45,16.25,16.45,2678.0
2019-05-21 14:15:00,NSE:BLKASHYAP,16.4,16.4,16.3,16.3,1197.0
2019-05-21 15:00:00,NSE:BLKASHYAP,16.3,16.4,16.25,16.4,5760.0
2019-05-22 09:00:00,NSE:BLKASHYAP,16.05,16.6,16.05,16.25,6558.0
2019-05-22 09:45:00,NSE:BLKASHYAP,16.25,16.55,16.25,16.35,13687.0
2019-05-22 10:30:00,NSE:BLKASHYAP,16.4,16.5,16.4,16.4,1370.0
2019-05-22 11:15:00,NSE:BLKASHYAP,16.45,16.5,16.45,16.5,3030.0
2019-05-22 12:00:00,NSE:BLKASHYAP,16.5,16.65,16.5,16.6,14788.0
2019-05-22 12:45:00,NSE:BLKASHYAP,16.6,16.8,16.55,16.6,4577.0
2019-05-22 13:30:00,NSE:BLKASHYAP,16.55,16.55,16.0,16.3,16979.0
2019-05-22 14:15:00,NSE:BLKASHYAP,16.3,16.4,16.25,16.4,7200.0
2019-05-22 15:00:00,NSE:BLKASHYAP,16.35,16.5,16.25,16.3,10501.0
2019-05-22 15:45:00,NSE:BLKASHYAP,16.35,16.35,16.35,16.35,847.0
2019-05-23 09:00:00,NSE:BLKASHYAP,16.55,17.05,16.55,16.7,15744.0
2019-05-23 09:45:00,NSE:BLKASHYAP,16.7,17.25,16.65,17.25,25404.0
2019-05-23 10:30:00,NSE:BLKASHYAP,17.3,17.4,16.75,16.75,19494.0
