datetime,symbol,open,high,low,close,volume
2019-06-17 09:00:00,NSE:JTEKTINDIA,104.6,104.6,102.15,102.7,2527.0
2019-06-17 09:45:00,NSE:JTEKTINDIA,103.05,103.7,102.2,103.45,7416.0
2019-06-17 10:30:00,NSE:JTEKTINDIA,103.0,103.95,103.0,103.75,8964.0
2019-06-17 11:15:00,NSE:JTEKTINDIA,103.75,103.75,103.1,103.15,934.0
2019-06-17 12:00:00,NSE:JTEKTINDIA,103.2,103.5,103.15,103.25,483.0
2019-06-17 12:45:00,NSE:JTEKTINDIA,103.2,103.45,103.0,103.45,2475.0
2019-06-17 13:30:00,NSE:JTEKTINDIA,103.4,103.4,103.0,103.35,1559.0
2019-06-17 14:15:00,NSE:JTEKTINDIA,103.3,103.3,102.55,103.2,1616.0
2019-06-17 15:00:00,NSE:JTEKTINDIA,103.35,103.75,100.55,100.55,12416.0
2019-06-18 09:00:00,NSE:JTEKTINDIA,101.0,102.5,100.95,102.0,1354.0
2019-06-18 09:45:00,NSE:JTEKTINDIA,102.0,102.75,102.0,102.45,1798.0
2019-06-18 10:30:00,NSE:JTEKTINDIA,102.6,103.65,102.0,103.0,15319.0
2019-06-18 11:15:00,NSE:JTEKTINDIA,103.0,103.9,103.0,103.4,4222.0
2019-06-18 12:00:00,NSE:JTEKTINDIA,103.55,103.7,102.55,102.75,3008.0
2019-06-18 12:45:00,NSE:JTEKTINDIA,102.6,103.1,102.15,102.15,7666.0
2019-06-18 13:30:00,NSE:JTEKTINDIA,102.2,103.35,102.0,103.0,1932.0
2019-06-18 14:15:00,NSE:JTEKTINDIA,102.6,103.65,102.0,102.65,13046.0
2019-06-18 15:00:00,NSE:JTEKTINDIA,102.8,103.5,102.6,103.0,2453.0
2019-06-18 15:45:00,NSE:JTEKTINDIA,103.0,103.0,103.0,103.0,14.0
2019-06-19 09:00:00,NSE:JTEKTINDIA,101.0,103.75,101.0,103.0,837.0
2019-06-19 09:45:00,NSE:JTEKTINDIA,103.05,104.0,103.0,103.3,14732.0
2019-06-19 10:30:00,NSE:JTEKTINDIA,103.25,103.25,102.8,102.8,644.0
2019-06-19 11:15:00,NSE:JTEKTINDIA,102.8,102.95,102.8,102.8,5759.0
2019-06-19 12:00:00,NSE:JTEKTINDIA,103.2,103.2,102.8,102.85,6358.0
2019-06-19 12:45:00,NSE:JTEKTINDIA,102.95,102.95,102.5,102.75,9827.0
2019-06-19 13:30:00,NSE:JTEKTINDIA,102.75,103.45,102.5,102.5,1688.0
2019-06-19 14:15:00,NSE:JTEKTINDIA,103.0,103.0,101.55,102.55,119216.0
2019-06-19 15:00:00,NSE:JTEKTINDIA,102.75,102.9,102.55,102.9,3959.0
2019-06-20 09:00:00,NSE:JTEKTINDIA,101.5,102.95,101.5,102.0,1333.0
2019-06-20 09:45:00,NSE:JTEKTINDIA,102.0,102.0,100.2,100.2,15459.0
2019-06-20 10:30:00,NSE:JTEKTINDIA,100.7,101.3,98.85,98.85,8966.0
2019-06-20 11:15:00,NSE:JTEKTINDIA,99.0,99.9,97.0,97.3,48236.0
2019-06-20 12:00:00,NSE:JTEKTINDIA,97.5,97.5,93.1,96.1,74728.0
2019-06-20 12:45:00,NSE:JTEKTINDIA,96.45,96.5,94.95,95.0,12570.0
2019-06-20 13:30:00,NSE:JTEKTINDIA,95.45,97.5,95.45,96.45,12034.0
2019-06-20 14:15:00,NSE:JTEKTINDIA,96.5,97.25,95.7,96.7,1659.0
2019-06-20 15:00:00,NSE:JTEKTINDIA,96.5,98.0,96.05,97.9,24514.0
2019-06-20 15:45:00,NSE:JTEKTINDIA,97.35,97.35,97.35,97.35,5.0
2019-06-21 09:00:00,NSE:JTEKTINDIA,96.0,98.75,96.0,97.5,3453.0
2019-06-21 09:45:00,NSE:JTEKTINDIA,97.45,97.45,96.0,97.0,4490.0
2019-06-21 10:30:00,NSE:JTEKTINDIA,97.0,97.2,96.85,97.1,1781.0
2019-06-21 11:15:00,NSE:JTEKTINDIA,97.0,97.1,96.75,97.0,2681.0
2019-06-21 12:00:00,NSE:JTEKTINDIA,97.0,97.2,95.55,95.95,12248.0
2019-06-21 12:45:00,NSE:JTEKTINDIA,96.4,96.7,96.0,96.7,17964.0
2019-06-21 13:30:00,NSE:JTEKTINDIA,96.8,98.65,96.7,96.9,12735.0
2019-06-21 14:15:00,NSE:JTEKTINDIA,96.75,96.9,96.6,96.9,1278.0
2019-06-21 15:00:00,NSE:JTEKTINDIA,96.9,96.9,96.5,96.7,3874.0
2019-06-24 09:00:00,NSE:JTEKTINDIA,95.5,97.0,95.5,97.0,1602.0
2019-06-24 09:45:00,NSE:JTEKTINDIA,97.0,97.0,96.45,96.45,434.0
2019-06-24 10:30:00,NSE:JTEKTINDIA,96.2,97.0,96.2,96.5,2199.0
2019-06-24 11:15:00,NSE:JTEKTINDIA,96.95,97.45,96.5,96.5,1559.0
2019-06-24 12:00:00,NSE:JTEKTINDIA,96.5,97.35,96.5,97.25,581.0
2019-06-24 12:45:00,NSE:JTEKTINDIA,96.5,97.0,96.0,96.1,1201.0
2019-06-24 13:30:00,NSE:JTEKTINDIA,96.65,97.0,95.5,97.0,3176.0
2019-06-24 14:15:00,NSE:JTEKTINDIA,96.4,96.85,96.4,96.55,390.0
2019-06-24 15:00:00,NSE:JTEKTINDIA,96.55,96.55,95.0,95.0,2131.0
2019-06-24 15:45:00,NSE:JTEKTINDIA,95.7,95.7,95.7,95.7,23.0
2019-06-25 09:00:00,NSE:JTEKTINDIA,98.0,98.0,96.5,97.2,3428.0
2019-06-25 09:45:00,NSE:JTEKTINDIA,97.3,97.5,96.5,97.3,4010.0
2019-06-25 10:30:00,NSE:JTEKTINDIA,97.35,97.35,96.95,96.95,2769.0
2019-06-25 11:15:00,NSE:JTEKTINDIA,96.95,97.0,96.9,96.9,425.0
2019-06-25 12:00:00,NSE:JTEKTINDIA,97.0,97.0,95.85,95.9,3338.0
2019-06-25 12:45:00,NSE:JTEKTINDIA,96.1,96.5,95.95,96.05,4188.0
2019-06-25 13:30:00,NSE:JTEKTINDIA,96.1,96.35,95.5,95.55,4446.0
2019-06-25 14:15:00,NSE:JTEKTINDIA,95.7,95.9,94.9,95.8,2683.0
2019-06-25 15:00:00,NSE:JTEKTINDIA,96.0,96.0,94.4,95.4,4555.0
2019-06-26 09:00:00,NSE:JTEKTINDIA,95.0,97.2,95.0,97.0,2357.0
2019-06-26 09:45:00,NSE:JTEKTINDIA,97.0,98.0,96.2,96.35,4134.0
2019-06-26 10:30:00,NSE:JTEKTINDIA,96.4,96.9,95.75,96.0,1386.0
2019-06-26 11:15:00,NSE:JTEKTINDIA,96.0,96.85,95.7,96.85,1355.0
2019-06-26 12:00:00,NSE:JTEKTINDIA,96.65,96.65,95.75,95.9,2301.0
2019-06-26 12:45:00,NSE:JTEKTINDIA,95.9,95.9,94.9,95.6,4602.0
2019-06-26 13:30:00,NSE:JTEKTINDIA,95.6,95.65,94.35,94.85,4490.0
2019-06-26 14:15:00,NSE:JTEKTINDIA,94.5,95.1,94.0,95.1,2806.0
2019-06-26 15:00:00,NSE:JTEKTINDIA,94.8,95.25,94.25,94.6,7560.0
2019-06-27 09:00:00,NSE:JTEKTINDIA,94.05,95.75,94.05,95.25,3355.0
2019-06-27 09:45:00,NSE:JTEKTINDIA,95.25,97.95,95.25,97.5,8592.0
2019-06-27 10:30:00,NSE:JTEKTINDIA,97.45,97.45,95.15,95.85,15918.0
2019-06-27 11:15:00,NSE:JTEKTINDIA,95.2,96.1,95.2,95.45,5656.0
2019-06-27 12:00:00,NSE:JTEKTINDIA,95.9,95.9,95.15,95.15,1032.0
2019-06-27 12:45:00,NSE:JTEKTINDIA,95.4,95.85,95.4,95.8,1605.0
2019-06-27 13:30:00,NSE:JTEKTINDIA,95.95,97.45,94.9,95.0,5117.0
2019-06-27 14:15:00,NSE:JTEKTINDIA,95.4,95.75,94.65,95.75,1254.0
2019-06-27 15:00:00,NSE:JTEKTINDIA,95.55,95.85,95.05,95.55,1788.0
2019-06-28 09:00:00,NSE:JTEKTINDIA,95.8,97.2,95.8,96.0,1740.0
2019-06-28 09:45:00,NSE:JTEKTINDIA,95.6,95.95,95.55,95.7,1155.0
2019-06-28 10:30:00,NSE:JTEKTINDIA,95.7,96.0,94.95,95.0,1954.0
2019-06-28 11:15:00,NSE:JTEKTINDIA,95.0,95.4,94.6,95.4,1159.0
2019-06-28 12:00:00,NSE:JTEKTINDIA,95.4,95.5,94.8,95.5,1264.0
2019-06-28 12:45:00,NSE:JTEKTINDIA,95.2,95.2,95.0,95.0,2096.0
2019-06-28 13:30:00,NSE:JTEKTINDIA,95.6,95.6,95.0,95.0,532.0
2019-06-28 14:15:00,NSE:JTEKTINDIA,95.0,95.0,95.0,95.0,1264.0
2019-06-28 15:00:00,NSE:JTEKTINDIA,95.2,95.6,94.8,95.0,2604.0
2019-07-01 09:00:00,NSE:JTEKTINDIA,94.5,97.0,94.5,96.6,1872.0
2019-07-01 09:45:00,NSE:JTEKTINDIA,96.6,97.35,96.55,96.9,6925.0
2019-07-01 10:30:00,NSE:JTEKTINDIA,96.9,96.95,96.55,96.55,3347.0
2019-07-01 11:15:00,NSE:JTEKTINDIA,96.55,96.7,96.5,96.5,1967.0
2019-07-01 12:00:00,NSE:JTEKTINDIA,96.8,96.8,96.5,96.5,1152.0
2019-07-01 12:45:00,NSE:JTEKTINDIA,96.65,96.65,96.5,96.6,1285.0
2019-07-01 13:30:00,NSE:JTEKTINDIA,96.6,96.6,96.05,96.25,3255.0
2019-07-01 14:15:00,NSE:JTEKTINDIA,96.25,96.35,95.5,95.65,2435.0
2019-07-01 15:00:00,NSE:JTEKTINDIA,95.75,95.75,95.05,95.55,3578.0
2019-07-02 09:00:00,NSE:JTEKTINDIA,94.6,97.5,94.6,96.3,2031.0
2019-07-02 09:45:00,NSE:JTEKTINDIA,96.2,96.2,95.6,96.0,1474.0
2019-07-02 10:30:00,NSE:JTEKTINDIA,95.7,95.9,95.3,95.3,355.0
