datetime,symbol,open,high,low,close,volume
2019-05-30 13:30:00,NSE:SADBHIN,79.5,79.5,79.5,79.5,269.0
2019-05-30 14:15:00,NSE:SADBHIN,79.95,80.0,78.5,78.5,3434.0
2019-05-30 15:00:00,NSE:SADBHIN,78.6,78.6,73.0,77.0,16687.0
2019-05-31 09:00:00,NSE:SADBHIN,75.8,78.0,75.8,77.0,1045.0
2019-05-31 09:45:00,NSE:SADBHIN,78.3,78.3,76.3,76.3,580.0
2019-05-31 10:30:00,NSE:SADBHIN,76.3,76.3,76.15,76.15,280.0
2019-05-31 11:15:00,NSE:SADBHIN,76.15,76.15,76.05,76.05,634.0
2019-05-31 12:00:00,NSE:SADBHIN,76.95,76.95,76.9,76.9,15.0
2019-05-31 12:45:00,NSE:SADBHIN,76.05,76.05,76.0,76.05,151.0
2019-05-31 13:30:00,NSE:SADBHIN,76.9,76.95,76.9,76.95,31.0
2019-05-31 14:15:00,NSE:SADBHIN,77.0,77.0,76.5,76.5,138.0
2019-05-31 15:00:00,NSE:SADBHIN,76.8,76.8,76.5,76.8,2058.0
2019-06-03 09:00:00,NSE:SADBHIN,79.65,85.65,78.1,84.0,20931.0
2019-06-03 09:45:00,NSE:SADBHIN,84.0,84.6,82.0,83.1,5972.0
2019-06-03 10:30:00,NSE:SADBHIN,83.6,84.0,83.05,83.2,4713.0
2019-06-03 11:15:00,NSE:SADBHIN,83.2,83.9,83.15,83.2,2263.0
2019-06-03 12:00:00,NSE:SADBHIN,83.05,84.0,82.55,83.6,7887.0
2019-06-03 12:45:00,NSE:SADBHIN,83.1,83.85,83.1,83.7,992.0
2019-06-03 13:30:00,NSE:SADBHIN,83.3,84.0,82.75,83.05,1692.0
2019-06-03 14:15:00,NSE:SADBHIN,83.1,84.0,80.1,82.0,10891.0
2019-06-03 15:00:00,NSE:SADBHIN,81.5,82.5,81.05,81.7,6255.0
2019-06-04 09:00:00,NSE:SADBHIN,82.5,82.5,80.1,82.45,2110.0
2019-06-04 09:45:00,NSE:SADBHIN,82.1,82.1,81.75,81.75,581.0
2019-06-04 10:30:00,NSE:SADBHIN,81.25,82.0,81.25,82.0,543.0
2019-06-04 11:15:00,NSE:SADBHIN,81.8,81.8,81.0,81.1,129.0
2019-06-04 12:00:00,NSE:SADBHIN,81.7,81.7,81.1,81.65,383.0
2019-06-04 12:45:00,NSE:SADBHIN,81.7,81.95,81.1,81.95,212.0
2019-06-04 13:30:00,NSE:SADBHIN,81.0,81.95,81.0,81.75,1408.0
2019-06-04 14:15:00,NSE:SADBHIN,81.1,81.55,79.05,79.55,1117.0
2019-06-04 15:00:00,NSE:SADBHIN,80.05,80.7,79.0,79.0,787.0
2019-06-06 09:00:00,NSE:SADBHIN,78.7,79.5,78.5,78.6,487.0
2019-06-06 09:45:00,NSE:SADBHIN,78.6,79.5,78.6,78.7,347.0
2019-06-06 10:30:00,NSE:SADBHIN,78.8,81.75,78.8,81.75,1171.0
2019-06-06 11:15:00,NSE:SADBHIN,78.8,81.9,78.8,80.1,1089.0
2019-06-06 12:00:00,NSE:SADBHIN,80.95,80.95,80.25,80.25,197.0
2019-06-06 12:45:00,NSE:SADBHIN,80.95,80.95,78.8,80.0,1567.0
2019-06-06 13:30:00,NSE:SADBHIN,80.0,81.5,80.0,81.5,686.0
2019-06-06 14:15:00,NSE:SADBHIN,78.75,78.75,78.75,78.75,300.0
2019-06-06 15:00:00,NSE:SADBHIN,78.8,81.0,78.8,80.95,949.0
2019-06-07 09:00:00,NSE:SADBHIN,81.15,81.15,79.0,80.6,914.0
2019-06-07 09:45:00,NSE:SADBHIN,80.35,80.6,79.2,80.6,274.0
2019-06-07 10:30:00,NSE:SADBHIN,80.5,80.5,79.25,79.25,362.0
2019-06-07 11:15:00,NSE:SADBHIN,79.1,80.1,79.1,79.55,1303.0
2019-06-07 12:00:00,NSE:SADBHIN,79.6,80.0,79.5,80.0,591.0
2019-06-07 12:45:00,NSE:SADBHIN,79.2,79.2,79.2,79.2,400.0
2019-06-07 13:30:00,NSE:SADBHIN,79.2,79.25,79.2,79.25,210.0
2019-06-07 14:15:00,NSE:SADBHIN,79.25,79.25,79.0,79.05,943.0
2019-06-07 15:00:00,NSE:SADBHIN,79.85,80.5,79.25,80.5,1610.0
2019-06-10 09:00:00,NSE:SADBHIN,78.15,80.5,78.15,78.8,297.0
2019-06-10 09:45:00,NSE:SADBHIN,78.8,80.2,78.65,80.2,577.0
2019-06-10 10:30:00,NSE:SADBHIN,79.9,79.9,78.8,78.8,204.0
2019-06-10 11:15:00,NSE:SADBHIN,78.55,80.1,78.55,80.1,24.0
2019-06-10 12:00:00,NSE:SADBHIN,78.6,78.6,78.6,78.6,5.0
2019-06-10 12:45:00,NSE:SADBHIN,78.5,78.5,78.3,78.5,10170.0
2019-06-10 13:30:00,NSE:SADBHIN,80.1,80.1,78.55,78.6,999.0
2019-06-10 14:15:00,NSE:SADBHIN,78.65,80.0,78.65,80.0,201.0
2019-06-10 15:00:00,NSE:SADBHIN,80.0,81.0,78.9,80.0,1777.0
2019-06-11 09:00:00,NSE:SADBHIN,79.05,79.15,78.75,78.9,151.0
2019-06-11 09:45:00,NSE:SADBHIN,78.9,79.15,78.6,79.15,98.0
2019-06-11 10:30:00,NSE:SADBHIN,79.2,80.0,79.2,80.0,624.0
2019-06-11 11:15:00,NSE:SADBHIN,79.15,79.15,79.15,79.15,100.0
2019-06-11 12:00:00,NSE:SADBHIN,79.15,79.15,79.15,79.15,20.0
2019-06-11 12:45:00,NSE:SADBHIN,79.2,79.9,79.2,79.9,501.0
2019-06-11 13:30:00,NSE:SADBHIN,79.15,79.15,79.15,79.15,469.0
2019-06-11 14:15:00,NSE:SADBHIN,80.0,80.0,80.0,80.0,1683.0
2019-06-11 15:00:00,NSE:SADBHIN,80.0,80.75,80.0,80.75,3108.0
2019-06-12 09:00:00,NSE:SADBHIN,79.05,79.05,79.05,79.05,142.0
2019-06-12 09:45:00,NSE:SADBHIN,79.5,79.95,79.0,79.95,285.0
2019-06-12 10:30:00,NSE:SADBHIN,79.0,79.0,75.65,77.4,2201.0
2019-06-12 11:15:00,NSE:SADBHIN,77.0,77.5,76.0,76.0,896.0
2019-06-12 12:00:00,NSE:SADBHIN,76.0,76.65,76.0,76.0,301.0
2019-06-12 12:45:00,NSE:SADBHIN,76.0,76.65,75.55,75.55,3674.0
2019-06-12 13:30:00,NSE:SADBHIN,76.0,77.0,76.0,77.0,1652.0
2019-06-12 14:15:00,NSE:SADBHIN,76.55,77.0,76.55,77.0,51.0
2019-06-12 15:00:00,NSE:SADBHIN,77.0,78.85,77.0,78.0,1405.0
2019-06-13 09:00:00,NSE:SADBHIN,77.05,77.05,76.25,76.25,319.0
2019-06-13 09:45:00,NSE:SADBHIN,76.3,77.7,76.3,77.7,51.0
2019-06-13 10:30:00,NSE:SADBHIN,77.5,77.5,75.25,76.75,1045.0
2019-06-13 11:15:00,NSE:SADBHIN,76.7,76.7,76.7,76.7,30.0
2019-06-13 12:00:00,NSE:SADBHIN,76.0,76.0,74.75,76.0,194.0
2019-06-13 13:30:00,NSE:SADBHIN,76.0,76.0,76.0,76.0,151.0
2019-06-13 14:15:00,NSE:SADBHIN,76.1,78.05,76.1,78.0,5081.0
2019-06-13 15:00:00,NSE:SADBHIN,78.0,78.0,77.0,77.0,1591.0
2019-06-14 09:00:00,NSE:SADBHIN,76.1,76.3,76.1,76.3,101.0
2019-06-14 09:45:00,NSE:SADBHIN,76.5,76.5,76.5,76.5,27.0
2019-06-14 11:15:00,NSE:SADBHIN,77.5,77.7,77.5,77.7,34.0
2019-06-14 12:00:00,NSE:SADBHIN,77.5,77.55,77.5,77.5,145.0
2019-06-14 12:45:00,NSE:SADBHIN,77.5,77.5,77.5,77.5,312.0
2019-06-14 14:15:00,NSE:SADBHIN,76.4,77.45,76.4,77.45,105.0
2019-06-14 15:00:00,NSE:SADBHIN,77.5,77.5,76.35,76.35,9600.0
2019-06-17 09:00:00,NSE:SADBHIN,77.55,77.55,76.05,76.05,283.0
2019-06-17 09:45:00,NSE:SADBHIN,76.05,76.05,74.5,74.55,229.0
