datetime,symbol,open,high,low,close,volume
2019-04-18 15:00:00,NSE:SHALPAINTS,83.4,83.4,82.3,82.3,10060.0
2019-04-22 09:00:00,NSE:SHALPAINTS,80.9,81.4,79.7,79.75,8843.0
2019-04-22 09:45:00,NSE:SHALPAINTS,79.7,81.45,79.65,81.45,8590.0
2019-04-22 10:30:00,NSE:SHALPAINTS,81.45,81.45,81.0,81.15,5016.0
2019-04-22 11:15:00,NSE:SHALPAINTS,81.15,81.3,80.85,81.3,544.0
2019-04-22 12:00:00,NSE:SHALPAINTS,81.0,83.0,81.0,82.1,28379.0
2019-04-22 12:45:00,NSE:SHALPAINTS,82.25,83.9,82.25,83.0,25361.0
2019-04-22 13:30:00,NSE:SHALPAINTS,83.2,84.7,82.85,83.5,8979.0
2019-04-22 14:15:00,NSE:SHALPAINTS,83.0,83.8,83.0,83.45,1557.0
2019-04-22 15:00:00,NSE:SHALPAINTS,83.1,83.9,82.25,83.4,21079.0
2019-04-22 15:45:00,NSE:SHALPAINTS,83.45,83.45,83.45,83.45,1750.0
2019-04-23 09:00:00,NSE:SHALPAINTS,83.4,83.4,82.7,83.1,4125.0
2019-04-23 09:45:00,NSE:SHALPAINTS,83.05,84.5,83.0,84.1,4164.0
2019-04-23 10:30:00,NSE:SHALPAINTS,84.15,86.35,84.1,85.8,19321.0
2019-04-23 11:15:00,NSE:SHALPAINTS,86.0,87.35,85.55,86.75,14336.0
2019-04-23 12:00:00,NSE:SHALPAINTS,86.6,87.0,85.4,86.0,6584.0
2019-04-23 12:45:00,NSE:SHALPAINTS,86.0,86.95,85.75,86.7,5450.0
2019-04-23 13:30:00,NSE:SHALPAINTS,86.95,86.95,86.1,86.95,9524.0
2019-04-23 14:15:00,NSE:SHALPAINTS,86.95,86.95,85.55,85.95,7044.0
2019-04-23 15:00:00,NSE:SHALPAINTS,86.0,87.0,85.3,86.9,14105.0
2019-04-23 15:45:00,NSE:SHALPAINTS,85.9,85.9,85.9,85.9,10.0
2019-04-24 09:00:00,NSE:SHALPAINTS,86.0,86.65,86.0,86.5,5658.0
2019-04-24 09:45:00,NSE:SHALPAINTS,86.5,86.75,85.8,86.0,14657.0
2019-04-24 10:30:00,NSE:SHALPAINTS,85.85,86.55,85.5,86.1,5171.0
2019-04-24 11:15:00,NSE:SHALPAINTS,85.3,85.95,85.3,85.95,1852.0
2019-04-24 12:00:00,NSE:SHALPAINTS,85.5,85.95,82.5,84.5,12945.0
2019-04-24 12:45:00,NSE:SHALPAINTS,84.65,85.2,83.25,83.4,2519.0
2019-04-24 13:30:00,NSE:SHALPAINTS,83.45,84.0,83.45,83.8,623.0
2019-04-24 14:15:00,NSE:SHALPAINTS,83.9,84.45,83.9,83.9,9278.0
2019-04-24 15:00:00,NSE:SHALPAINTS,84.0,84.3,82.2,83.3,8198.0
2019-04-25 09:00:00,NSE:SHALPAINTS,83.45,84.9,82.95,84.15,2838.0
2019-04-25 09:45:00,NSE:SHALPAINTS,84.15,85.2,84.15,85.0,3006.0
2019-04-25 10:30:00,NSE:SHALPAINTS,84.5,85.1,84.2,85.05,6728.0
2019-04-25 11:15:00,NSE:SHALPAINTS,85.0,85.0,84.3,84.55,1542.0
2019-04-25 12:00:00,NSE:SHALPAINTS,84.55,85.0,84.35,84.55,5664.0
2019-04-25 12:45:00,NSE:SHALPAINTS,84.55,84.55,84.4,84.5,7884.0
2019-04-25 13:30:00,NSE:SHALPAINTS,84.5,84.8,84.4,84.75,3097.0
2019-04-25 14:15:00,NSE:SHALPAINTS,84.8,85.55,84.75,85.5,8187.0
2019-04-25 15:00:00,NSE:SHALPAINTS,85.2,85.3,84.75,84.8,15753.0
2019-04-25 15:45:00,NSE:SHALPAINTS,85.15,85.15,85.15,85.15,7996.0
2019-04-26 09:00:00,NSE:SHALPAINTS,86.0,86.0,84.9,85.55,2243.0
2019-04-26 09:45:00,NSE:SHALPAINTS,85.55,85.7,85.35,85.7,3333.0
2019-04-26 10:30:00,NSE:SHALPAINTS,85.65,85.65,85.0,85.45,2285.0
2019-04-26 11:15:00,NSE:SHALPAINTS,85.2,85.45,84.6,85.45,2798.0
