datetime,symbol,open,high,low,close,volume
2021-03-16 13:15:00,NSE:ALEMBICLTD,99.1,99.1,99.0,99.1,3118.0
2021-03-16 13:20:00,NSE:ALEMBICLTD,99.0,99.1,99.0,99.0,686.0
2021-03-16 13:25:00,NSE:ALEMBICLTD,99.0,99.1,99.0,99.0,723.0
2021-03-16 13:30:00,NSE:ALEMBICLTD,99.05,99.1,99.05,99.1,1110.0
2021-03-16 13:35:00,NSE:ALEMBICLTD,99.05,99.1,98.95,99.0,2077.0
2021-03-16 13:40:00,NSE:ALEMBICLTD,99.0,99.0,98.9,99.0,323.0
2021-03-16 13:45:00,NSE:ALEMBICLTD,99.0,99.25,99.0,99.25,2479.0
2021-03-16 13:50:00,NSE:ALEMBICLTD,99.1,99.2,99.0,99.1,1321.0
2021-03-16 13:55:00,NSE:ALEMBICLTD,99.2,99.2,99.05,99.2,107.0
2021-03-16 14:00:00,NSE:ALEMBICLTD,99.25,99.25,98.9,99.2,3146.0
2021-03-16 14:05:00,NSE:ALEMBICLTD,99.2,99.3,98.9,98.9,3218.0
2021-03-16 14:10:00,NSE:ALEMBICLTD,99.0,99.1,98.9,98.9,2809.0
2021-03-16 14:15:00,NSE:ALEMBICLTD,99.0,99.35,99.0,99.35,3080.0
2021-03-16 14:20:00,NSE:ALEMBICLTD,99.35,99.35,99.35,99.35,117.0
2021-03-16 14:25:00,NSE:ALEMBICLTD,99.25,99.75,99.25,99.65,3636.0
2021-03-16 14:30:00,NSE:ALEMBICLTD,99.7,99.9,99.6,99.6,2427.0
2021-03-16 14:35:00,NSE:ALEMBICLTD,99.8,99.8,99.6,99.7,799.0
2021-03-16 14:40:00,NSE:ALEMBICLTD,99.75,99.75,99.6,99.7,1258.0
2021-03-16 14:45:00,NSE:ALEMBICLTD,99.7,99.7,99.5,99.65,4092.0
2021-03-16 14:50:00,NSE:ALEMBICLTD,99.65,99.7,99.5,99.7,745.0
2021-03-16 14:55:00,NSE:ALEMBICLTD,99.75,99.75,99.6,99.65,3125.0
2021-03-16 15:00:00,NSE:ALEMBICLTD,99.7,99.9,99.6,99.7,9310.0
2021-03-16 15:05:00,NSE:ALEMBICLTD,99.7,99.75,99.6,99.65,1471.0
2021-03-16 15:10:00,NSE:ALEMBICLTD,99.65,99.9,99.6,99.75,4233.0
2021-03-16 15:15:00,NSE:ALEMBICLTD,99.7,99.85,99.55,99.6,5534.0
2021-03-16 15:20:00,NSE:ALEMBICLTD,99.6,99.8,99.5,99.7,6403.0
2021-03-16 15:25:00,NSE:ALEMBICLTD,99.7,99.8,99.6,99.75,3661.0
2021-03-16 15:40:00,NSE:ALEMBICLTD,99.65,99.65,99.65,99.65,252.0
2021-03-16 15:50:00,NSE:ALEMBICLTD,99.65,99.65,99.65,99.65,20.0
2021-03-17 09:05:00,NSE:ALEMBICLTD,100.9,100.9,100.9,100.9,108.0
2021-03-17 09:15:00,NSE:ALEMBICLTD,99.5,100.0,99.35,99.9,7630.0
2021-03-17 09:20:00,NSE:ALEMBICLTD,99.8,100.1,99.8,100.1,4221.0
2021-03-17 09:25:00,NSE:ALEMBICLTD,100.15,100.15,99.65,99.75,2168.0
2021-03-17 09:30:00,NSE:ALEMBICLTD,99.75,99.75,99.6,99.6,2503.0
2021-03-17 09:35:00,NSE:ALEMBICLTD,99.45,99.45,99.2,99.25,3529.0
2021-03-17 09:40:00,NSE:ALEMBICLTD,99.2,99.25,99.05,99.2,4030.0
2021-03-17 09:45:00,NSE:ALEMBICLTD,99.05,99.5,99.0,99.3,5065.0
2021-03-17 09:50:00,NSE:ALEMBICLTD,99.4,100.1,99.4,100.0,16175.0
2021-03-17 09:55:00,NSE:ALEMBICLTD,100.05,102.05,100.05,101.95,51979.0
2021-03-17 10:00:00,NSE:ALEMBICLTD,101.9,101.9,101.1,101.5,15259.0
2021-03-17 10:05:00,NSE:ALEMBICLTD,101.55,104.35,101.55,103.5,147211.0
2021-03-17 10:10:00,NSE:ALEMBICLTD,103.55,104.5,103.2,103.9,123016.0
2021-03-17 10:15:00,NSE:ALEMBICLTD,103.8,103.85,103.0,103.25,29865.0
2021-03-17 10:20:00,NSE:ALEMBICLTD,103.25,103.35,101.25,103.15,79071.0
2021-03-17 10:25:00,NSE:ALEMBICLTD,103.2,103.3,102.5,102.75,23017.0
