datetime,symbol,open,high,low,close,volume
2021-03-12 10:05:00,NSE:BALAJITELE,63.5,64.35,63.5,64.35,717.0
2021-03-12 10:10:00,NSE:BALAJITELE,64.35,64.5,64.05,64.05,7269.0
2021-03-12 10:15:00,NSE:BALAJITELE,64.05,64.25,63.55,63.8,5855.0
2021-03-12 10:20:00,NSE:BALAJITELE,63.8,63.8,63.1,63.1,4173.0
2021-03-12 10:25:00,NSE:BALAJITELE,63.2,63.3,63.2,63.3,720.0
2021-03-12 10:30:00,NSE:BALAJITELE,63.55,63.9,63.55,63.75,141.0
2021-03-12 10:35:00,NSE:BALAJITELE,63.55,63.85,63.55,63.85,843.0
2021-03-12 10:40:00,NSE:BALAJITELE,63.75,63.75,63.6,63.6,1448.0
2021-03-12 10:45:00,NSE:BALAJITELE,63.5,63.65,63.5,63.65,831.0
2021-03-12 10:50:00,NSE:BALAJITELE,63.5,63.5,63.5,63.5,175.0
2021-03-12 10:55:00,NSE:BALAJITELE,63.6,63.6,63.6,63.6,50.0
2021-03-12 11:00:00,NSE:BALAJITELE,63.6,63.6,63.55,63.55,500.0
2021-03-12 11:05:00,NSE:BALAJITELE,63.6,63.6,63.4,63.4,1124.0
2021-03-12 11:10:00,NSE:BALAJITELE,63.65,63.65,63.4,63.4,386.0
2021-03-12 11:15:00,NSE:BALAJITELE,63.4,63.5,63.4,63.5,986.0
2021-03-12 11:20:00,NSE:BALAJITELE,63.6,63.6,63.6,63.6,140.0
2021-03-12 11:25:00,NSE:BALAJITELE,63.7,63.7,63.45,63.45,980.0
2021-03-12 11:30:00,NSE:BALAJITELE,63.5,63.5,63.45,63.45,615.0
2021-03-12 11:35:00,NSE:BALAJITELE,63.5,63.5,63.4,63.4,1108.0
2021-03-12 11:40:00,NSE:BALAJITELE,63.4,63.4,63.25,63.25,332.0
2021-03-12 11:45:00,NSE:BALAJITELE,63.25,63.25,63.25,63.25,60.0
2021-03-12 11:50:00,NSE:BALAJITELE,63.25,64.2,63.25,63.5,36000.0
2021-03-12 11:55:00,NSE:BALAJITELE,63.45,63.55,63.4,63.55,111.0
2021-03-12 12:00:00,NSE:BALAJITELE,63.55,63.6,63.55,63.6,16.0
2021-03-12 12:05:00,NSE:BALAJITELE,63.65,63.65,63.4,63.4,906.0
2021-03-12 12:10:00,NSE:BALAJITELE,63.4,63.8,63.35,63.55,1708.0
2021-03-12 12:15:00,NSE:BALAJITELE,63.7,63.9,63.6,63.7,1704.0
2021-03-12 12:20:00,NSE:BALAJITELE,63.8,63.8,63.5,63.5,257.0
2021-03-12 12:25:00,NSE:BALAJITELE,63.5,63.75,63.5,63.75,696.0
2021-03-12 12:30:00,NSE:BALAJITELE,63.7,63.7,63.65,63.7,87.0
2021-03-12 12:35:00,NSE:BALAJITELE,63.65,63.7,63.5,63.5,1383.0
2021-03-12 12:40:00,NSE:BALAJITELE,63.5,63.55,63.5,63.55,443.0
2021-03-12 12:45:00,NSE:BALAJITELE,63.65,63.65,63.65,63.65,2.0
