datetime,symbol,open,high,low,close,volume
2021-03-12 09:35:00,NSE:JMCPROJECT,83.5,83.5,83.3,83.5,3804.0
2021-03-12 09:40:00,NSE:JMCPROJECT,83.55,83.55,83.3,83.3,430.0
2021-03-12 09:45:00,NSE:JMCPROJECT,83.3,83.8,83.3,83.8,3474.0
2021-03-12 09:50:00,NSE:JMCPROJECT,83.6,83.8,83.6,83.6,842.0
2021-03-12 09:55:00,NSE:JMCPROJECT,83.8,83.8,83.5,83.7,3550.0
2021-03-12 10:00:00,NSE:JMCPROJECT,83.75,83.8,83.6,83.6,2173.0
2021-03-12 10:05:00,NSE:JMCPROJECT,83.5,83.5,83.3,83.45,511.0
2021-03-12 10:10:00,NSE:JMCPROJECT,83.5,83.6,83.35,83.6,2247.0
2021-03-12 10:15:00,NSE:JMCPROJECT,83.4,83.75,83.4,83.75,645.0
2021-03-12 10:20:00,NSE:JMCPROJECT,83.8,83.8,83.45,83.5,3674.0
2021-03-12 10:25:00,NSE:JMCPROJECT,83.45,84.1,83.45,83.85,10316.0
2021-03-12 10:30:00,NSE:JMCPROJECT,83.7,83.85,83.6,83.8,2066.0
2021-03-12 10:35:00,NSE:JMCPROJECT,83.6,84.1,83.6,84.1,8316.0
2021-03-12 10:40:00,NSE:JMCPROJECT,84.1,84.1,83.8,83.8,740.0
2021-03-12 10:45:00,NSE:JMCPROJECT,83.5,83.75,83.5,83.75,1606.0
2021-03-12 10:50:00,NSE:JMCPROJECT,83.7,83.95,83.5,83.95,4549.0
2021-03-12 10:55:00,NSE:JMCPROJECT,83.65,83.8,83.55,83.55,276.0
2021-03-12 11:00:00,NSE:JMCPROJECT,83.7,83.75,83.55,83.55,139.0
2021-03-12 11:05:00,NSE:JMCPROJECT,83.75,83.8,83.4,83.8,1591.0
2021-03-12 11:10:00,NSE:JMCPROJECT,83.55,83.55,83.2,83.5,3330.0
2021-03-12 11:15:00,NSE:JMCPROJECT,83.45,83.45,83.45,83.45,1.0
2021-03-12 11:20:00,NSE:JMCPROJECT,83.25,83.5,83.25,83.5,151.0
2021-03-12 11:25:00,NSE:JMCPROJECT,83.5,83.5,83.5,83.5,10.0
2021-03-12 11:30:00,NSE:JMCPROJECT,83.5,83.5,83.3,83.3,739.0
2021-03-12 11:35:00,NSE:JMCPROJECT,83.25,83.4,83.25,83.4,490.0
2021-03-12 11:40:00,NSE:JMCPROJECT,83.25,83.25,83.1,83.1,342.0
2021-03-12 11:45:00,NSE:JMCPROJECT,83.1,83.45,83.1,83.45,450.0
2021-03-12 11:50:00,NSE:JMCPROJECT,83.45,83.45,83.0,83.0,1792.0
2021-03-12 11:55:00,NSE:JMCPROJECT,83.0,83.25,82.75,83.1,2236.0
2021-03-12 12:00:00,NSE:JMCPROJECT,82.9,83.35,82.9,83.0,1171.0
2021-03-12 12:05:00,NSE:JMCPROJECT,83.0,83.2,83.0,83.05,347.0
2021-03-12 12:10:00,NSE:JMCPROJECT,83.0,83.05,83.0,83.05,892.0
2021-03-12 12:15:00,NSE:JMCPROJECT,83.0,83.0,82.7,82.7,1785.0
2021-03-12 12:20:00,NSE:JMCPROJECT,82.8,82.8,82.7,82.8,929.0
2021-03-12 12:25:00,NSE:JMCPROJECT,82.7,82.7,82.25,82.25,4695.0
2021-03-12 12:30:00,NSE:JMCPROJECT,82.35,82.45,81.5,82.2,8120.0
2021-03-12 12:35:00,NSE:JMCPROJECT,82.25,82.55,82.2,82.35,2025.0
2021-03-12 12:40:00,NSE:JMCPROJECT,82.15,82.15,82.1,82.15,351.0
2021-03-12 12:45:00,NSE:JMCPROJECT,82.45,82.5,82.2,82.4,373.0
2021-03-12 12:50:00,NSE:JMCPROJECT,82.2,82.45,82.2,82.25,1074.0
2021-03-12 12:55:00,NSE:JMCPROJECT,82.2,82.45,82.2,82.4,1032.0
2021-03-12 13:00:00,NSE:JMCPROJECT,82.4,82.4,82.4,82.4,119.0
2021-03-12 13:05:00,NSE:JMCPROJECT,82.45,82.45,82.2,82.35,1300.0
2021-03-12 13:10:00,NSE:JMCPROJECT,82.35,82.35,82.35,82.35,200.0
2021-03-12 13:15:00,NSE:JMCPROJECT,82.2,82.35,82.15,82.25,420.0
2021-03-12 13:20:00,NSE:JMCPROJECT,82.4,82.4,82.4,82.4,2003.0
2021-03-12 13:25:00,NSE:JMCPROJECT,82.25,82.5,82.25,82.5,560.0
2021-03-12 13:30:00,NSE:JMCPROJECT,82.4,82.4,81.8,81.8,2172.0
2021-03-12 13:35:00,NSE:JMCPROJECT,81.6,81.9,81.5,81.85,3268.0
2021-03-12 13:40:00,NSE:JMCPROJECT,81.95,81.95,81.5,81.5,4187.0
2021-03-12 13:45:00,NSE:JMCPROJECT,81.5,81.8,81.3,81.7,3915.0
2021-03-12 13:50:00,NSE:JMCPROJECT,81.55,81.8,81.5,81.8,1223.0
2021-03-12 13:55:00,NSE:JMCPROJECT,81.8,81.8,81.6,81.6,2629.0
2021-03-12 14:00:00,NSE:JMCPROJECT,81.5,81.8,81.4,81.45,1904.0
2021-03-12 14:05:00,NSE:JMCPROJECT,81.2,81.45,81.2,81.45,1603.0
2021-03-12 14:10:00,NSE:JMCPROJECT,81.3,81.5,81.0,81.0,14214.0
2021-03-12 14:15:00,NSE:JMCPROJECT,81.0,81.0,80.5,80.95,5593.0
2021-03-12 14:20:00,NSE:JMCPROJECT,80.65,80.9,80.5,80.55,5219.0
2021-03-12 14:25:00,NSE:JMCPROJECT,80.4,80.9,80.2,80.7,4269.0
2021-03-12 14:30:00,NSE:JMCPROJECT,80.65,80.9,80.6,80.75,2823.0
2021-03-12 14:35:00,NSE:JMCPROJECT,80.75,80.75,80.5,80.65,231.0
2021-03-12 14:40:00,NSE:JMCPROJECT,80.75,80.75,80.4,80.55,1563.0
2021-03-12 14:45:00,NSE:JMCPROJECT,80.55,80.85,80.35,80.35,3384.0
2021-03-12 14:50:00,NSE:JMCPROJECT,80.45,80.5,80.35,80.35,531.0
2021-03-12 14:55:00,NSE:JMCPROJECT,80.35,80.5,80.25,80.5,4808.0
2021-03-12 15:00:00,NSE:JMCPROJECT,80.5,80.5,80.5,80.5,4038.0
2021-03-12 15:05:00,NSE:JMCPROJECT,80.85,80.9,80.65,80.85,941.0
2021-03-12 15:10:00,NSE:JMCPROJECT,80.85,80.9,80.65,80.85,4269.0
2021-03-12 15:15:00,NSE:JMCPROJECT,80.85,80.85,80.4,80.8,4251.0
2021-03-12 15:20:00,NSE:JMCPROJECT,80.8,80.85,80.5,80.85,2509.0
2021-03-12 15:25:00,NSE:JMCPROJECT,80.85,81.75,80.8,81.1,7493.0
2021-03-12 15:40:00,NSE:JMCPROJECT,80.8,80.8,80.8,80.8,20.0
2021-03-12 15:45:00,NSE:JMCPROJECT,80.8,80.8,80.8,80.8,450.0
2021-03-12 15:55:00,NSE:JMCPROJECT,80.8,80.8,80.8,80.8,50.0
2021-03-15 09:05:00,NSE:JMCPROJECT,80.85,80.85,80.85,80.85,410.0
2021-03-15 09:15:00,NSE:JMCPROJECT,81.1,81.65,80.7,81.1,7162.0
2021-03-15 09:20:00,NSE:JMCPROJECT,81.0,81.3,80.1,80.2,8259.0
2021-03-15 09:25:00,NSE:JMCPROJECT,80.2,80.5,79.55,79.75,6658.0
2021-03-15 09:30:00,NSE:JMCPROJECT,79.75,79.95,79.6,79.6,3002.0
2021-03-15 09:35:00,NSE:JMCPROJECT,79.6,79.65,79.2,79.2,4722.0
2021-03-15 09:40:00,NSE:JMCPROJECT,79.2,79.45,79.05,79.45,1711.0
2021-03-15 09:45:00,NSE:JMCPROJECT,79.35,79.9,79.2,79.9,1346.0
2021-03-15 09:50:00,NSE:JMCPROJECT,79.9,79.9,79.65,79.75,1481.0
2021-03-15 09:55:00,NSE:JMCPROJECT,79.65,79.7,79.45,79.6,723.0
2021-03-15 10:00:00,NSE:JMCPROJECT,79.6,79.65,79.4,79.4,3107.0
2021-03-15 10:05:00,NSE:JMCPROJECT,79.45,79.5,79.15,79.25,1664.0
2021-03-15 10:10:00,NSE:JMCPROJECT,79.35,79.75,79.35,79.55,2458.0
2021-03-15 10:15:00,NSE:JMCPROJECT,79.5,79.5,79.2,79.4,402.0
2021-03-15 10:20:00,NSE:JMCPROJECT,79.3,79.7,79.25,79.55,1626.0
2021-03-15 10:25:00,NSE:JMCPROJECT,79.55,79.55,79.25,79.25,712.0
2021-03-15 10:30:00,NSE:JMCPROJECT,79.45,79.75,79.3,79.75,1027.0
2021-03-15 10:35:00,NSE:JMCPROJECT,79.85,80.3,79.85,80.25,4058.0
2021-03-15 10:40:00,NSE:JMCPROJECT,80.25,80.25,79.8,79.85,2137.0
2021-03-15 10:45:00,NSE:JMCPROJECT,79.8,80.1,79.8,79.95,458.0
2021-03-15 10:50:00,NSE:JMCPROJECT,79.9,79.9,79.65,79.65,2089.0
2021-03-15 10:55:00,NSE:JMCPROJECT,79.65,79.65,79.45,79.45,736.0
2021-03-15 11:00:00,NSE:JMCPROJECT,79.35,79.35,79.15,79.15,3030.0
2021-03-15 11:05:00,NSE:JMCPROJECT,79.1,79.2,78.5,78.95,7392.0
2021-03-15 11:10:00,NSE:JMCPROJECT,78.75,78.95,78.75,78.75,1339.0
2021-03-15 11:15:00,NSE:JMCPROJECT,78.95,79.0,78.75,79.0,3033.0
2021-03-15 11:20:00,NSE:JMCPROJECT,78.8,79.0,78.8,79.0,620.0
2021-03-15 11:25:00,NSE:JMCPROJECT,79.0,79.0,78.7,78.9,2515.0
2021-03-15 11:30:00,NSE:JMCPROJECT,79.05,79.05,78.9,78.9,352.0
2021-03-15 11:35:00,NSE:JMCPROJECT,79.0,79.15,79.0,79.15,234.0
2021-03-15 11:40:00,NSE:JMCPROJECT,79.15,79.15,79.15,79.15,75.0
2021-03-15 11:45:00,NSE:JMCPROJECT,79.0,79.0,78.65,78.65,1215.0
2021-03-15 11:50:00,NSE:JMCPROJECT,79.0,79.05,78.8,78.8,179.0
2021-03-15 11:55:00,NSE:JMCPROJECT,78.65,78.65,78.65,78.65,1500.0
2021-03-15 12:00:00,NSE:JMCPROJECT,78.65,79.15,78.65,78.95,1244.0
2021-03-15 12:05:00,NSE:JMCPROJECT,79.0,79.0,78.8,78.95,219.0
2021-03-15 12:10:00,NSE:JMCPROJECT,78.95,79.0,78.85,78.85,386.0
2021-03-15 12:15:00,NSE:JMCPROJECT,78.85,78.85,78.85,78.85,70.0
2021-03-15 12:20:00,NSE:JMCPROJECT,79.0,79.25,79.0,79.2,1540.0
2021-03-15 12:25:00,NSE:JMCPROJECT,79.2,79.45,79.2,79.4,3353.0
2021-03-15 12:30:00,NSE:JMCPROJECT,79.4,79.4,79.25,79.25,120.0
2021-03-15 12:35:00,NSE:JMCPROJECT,79.25,79.25,78.8,78.8,285.0
2021-03-15 12:40:00,NSE:JMCPROJECT,78.8,78.8,78.8,78.8,50.0
2021-03-15 12:45:00,NSE:JMCPROJECT,78.75,79.0,78.75,79.0,190.0
2021-03-15 12:50:00,NSE:JMCPROJECT,79.0,79.15,79.0,79.15,256.0
2021-03-15 13:00:00,NSE:JMCPROJECT,79.0,79.0,78.55,78.65,2355.0
2021-03-15 13:05:00,NSE:JMCPROJECT,78.6,78.6,78.5,78.6,403.0
2021-03-15 13:10:00,NSE:JMCPROJECT,78.6,78.65,78.4,78.4,971.0
2021-03-15 13:15:00,NSE:JMCPROJECT,78.6,78.65,78.4,78.65,297.0
2021-03-15 13:20:00,NSE:JMCPROJECT,78.65,78.7,78.2,78.7,3889.0
2021-03-15 13:25:00,NSE:JMCPROJECT,78.95,79.15,78.95,79.15,1791.0
2021-03-15 13:30:00,NSE:JMCPROJECT,79.25,79.5,79.25,79.5,3480.0
2021-03-15 13:35:00,NSE:JMCPROJECT,79.45,79.7,79.45,79.7,2220.0
2021-03-15 13:40:00,NSE:JMCPROJECT,79.55,79.7,79.55,79.7,782.0
2021-03-15 13:45:00,NSE:JMCPROJECT,79.6,79.7,79.6,79.7,220.0
2021-03-15 13:50:00,NSE:JMCPROJECT,79.55,79.7,79.5,79.7,1667.0
2021-03-15 13:55:00,NSE:JMCPROJECT,79.6,79.6,79.45,79.45,713.0
2021-03-15 14:00:00,NSE:JMCPROJECT,79.7,79.7,79.55,79.7,515.0
2021-03-15 14:05:00,NSE:JMCPROJECT,79.55,79.55,79.45,79.45,32.0
2021-03-15 14:10:00,NSE:JMCPROJECT,79.7,79.7,79.5,79.5,85.0
2021-03-15 14:15:00,NSE:JMCPROJECT,79.65,79.65,79.65,79.65,505.0
2021-03-15 14:20:00,NSE:JMCPROJECT,79.65,79.7,79.65,79.7,752.0
2021-03-15 14:25:00,NSE:JMCPROJECT,79.75,79.75,79.65,79.7,425.0
2021-03-15 14:30:00,NSE:JMCPROJECT,79.8,79.8,79.7,79.7,4115.0
2021-03-15 14:35:00,NSE:JMCPROJECT,79.8,79.8,79.8,79.8,102.0
2021-03-15 14:40:00,NSE:JMCPROJECT,79.8,79.8,79.7,79.8,2260.0
2021-03-15 14:45:00,NSE:JMCPROJECT,79.6,79.6,79.5,79.5,1336.0
2021-03-15 14:50:00,NSE:JMCPROJECT,79.5,79.7,79.5,79.55,431.0
2021-03-15 14:55:00,NSE:JMCPROJECT,79.7,79.7,79.55,79.65,880.0
2021-03-15 15:00:00,NSE:JMCPROJECT,79.55,79.65,79.15,79.2,2529.0
2021-03-15 15:05:00,NSE:JMCPROJECT,79.15,79.6,79.15,79.5,1395.0
2021-03-15 15:10:00,NSE:JMCPROJECT,79.4,79.55,79.4,79.55,2290.0
