datetime,symbol,open,high,low,close,volume
2021-05-07 10:50:00,NSE:PDMJEPAPER,23.4,23.5,23.35,23.5,6457.0
2021-05-07 10:55:00,NSE:PDMJEPAPER,23.5,23.6,23.5,23.6,4356.0
2021-05-07 11:05:00,NSE:PDMJEPAPER,23.35,23.65,23.35,23.65,1391.0
2021-05-07 11:10:00,NSE:PDMJEPAPER,23.65,23.75,23.5,23.75,4264.0
2021-05-07 11:15:00,NSE:PDMJEPAPER,23.75,24.05,23.5,23.85,58367.0
2021-05-07 11:20:00,NSE:PDMJEPAPER,23.85,23.95,23.75,23.9,8310.0
2021-05-07 11:25:00,NSE:PDMJEPAPER,23.85,23.9,23.75,23.8,2688.0
2021-05-07 11:30:00,NSE:PDMJEPAPER,23.8,23.85,23.7,23.75,378.0
2021-05-07 11:35:00,NSE:PDMJEPAPER,23.7,23.95,23.65,23.95,12581.0
2021-05-07 11:40:00,NSE:PDMJEPAPER,23.95,24.15,23.85,24.0,14756.0
2021-05-07 11:45:00,NSE:PDMJEPAPER,23.95,24.2,23.8,23.95,6529.0
2021-05-07 11:50:00,NSE:PDMJEPAPER,23.9,24.15,23.9,24.0,8327.0
2021-05-07 11:55:00,NSE:PDMJEPAPER,24.0,24.1,24.0,24.05,3087.0
2021-05-07 12:00:00,NSE:PDMJEPAPER,24.0,24.05,23.9,23.9,9247.0
2021-05-07 12:05:00,NSE:PDMJEPAPER,23.9,23.9,23.9,23.9,604.0
2021-05-07 12:10:00,NSE:PDMJEPAPER,23.8,23.95,23.8,23.9,4625.0
2021-05-07 12:15:00,NSE:PDMJEPAPER,24.05,24.05,23.95,24.05,14556.0
2021-05-07 12:20:00,NSE:PDMJEPAPER,24.0,24.0,23.85,24.0,345.0
2021-05-07 12:25:00,NSE:PDMJEPAPER,23.85,23.9,23.85,23.85,1249.0
2021-05-07 12:30:00,NSE:PDMJEPAPER,23.9,23.9,23.85,23.85,1448.0
2021-05-07 12:35:00,NSE:PDMJEPAPER,23.9,24.0,23.9,24.0,4003.0
2021-05-07 12:40:00,NSE:PDMJEPAPER,24.0,24.0,23.95,23.95,2031.0
2021-05-07 12:45:00,NSE:PDMJEPAPER,24.0,24.0,23.95,23.95,1107.0
2021-05-07 12:50:00,NSE:PDMJEPAPER,24.0,24.0,24.0,24.0,101.0
2021-05-07 12:55:00,NSE:PDMJEPAPER,24.0,24.0,24.0,24.0,51.0
2021-05-07 13:00:00,NSE:PDMJEPAPER,23.9,24.0,23.9,24.0,118.0
2021-05-07 13:05:00,NSE:PDMJEPAPER,23.9,24.0,23.85,23.85,2444.0
2021-05-07 13:10:00,NSE:PDMJEPAPER,23.95,23.95,23.85,23.85,2653.0
2021-05-07 13:15:00,NSE:PDMJEPAPER,23.9,23.95,23.85,23.85,999.0
2021-05-07 13:20:00,NSE:PDMJEPAPER,23.85,23.85,23.85,23.85,405.0
2021-05-07 13:25:00,NSE:PDMJEPAPER,23.8,23.85,23.8,23.85,242.0
2021-05-07 13:30:00,NSE:PDMJEPAPER,23.85,23.85,23.85,23.85,2505.0
2021-05-07 13:35:00,NSE:PDMJEPAPER,23.75,23.8,23.7,23.8,5726.0
2021-05-07 13:40:00,NSE:PDMJEPAPER,23.8,23.8,23.7,23.75,2477.0
2021-05-07 13:45:00,NSE:PDMJEPAPER,23.7,23.7,23.7,23.7,241.0
2021-05-07 13:50:00,NSE:PDMJEPAPER,23.75,23.75,23.75,23.75,10.0
2021-05-07 13:55:00,NSE:PDMJEPAPER,23.75,23.75,23.7,23.75,701.0
2021-05-07 14:00:00,NSE:PDMJEPAPER,23.75,23.75,23.75,23.75,26.0
2021-05-07 14:05:00,NSE:PDMJEPAPER,23.75,23.75,23.7,23.7,101.0
