datetime,open,high,low,close,volume
2014-09-01 15:00:00,54.5,55.1,54.5,54.85,648719.0
2014-09-02 09:00:00,54.6,55.2,54.5,54.75,942351.0
2014-09-02 12:00:00,54.75,54.8,54.1,54.25,923110.0
2014-09-02 15:00:00,54.25,54.6,54.15,54.35,489251.0
2014-09-03 09:00:00,54.3,55.15,54.15,54.3,1446110.0
2014-09-03 12:00:00,54.3,54.5,53.65,54.0,667232.0
2014-09-03 15:00:00,54.0,54.5,53.95,54.3,498153.0
2014-09-04 09:00:00,53.95,54.65,53.65,54.1,931760.0
2014-09-04 12:00:00,54.05,54.05,52.95,53.5,944994.0
2014-09-04 15:00:00,53.5,54.15,53.4,53.8,1032868.0
2014-09-05 09:00:00,53.55,54.9,53.5,54.2,1080068.0
2014-09-05 12:00:00,54.2,54.7,53.8,54.3,776215.0
2014-09-05 15:00:00,54.3,54.65,54.3,54.5,399206.0
2014-09-08 09:00:00,55.0,55.9,54.4,55.7,1514760.0
2014-09-08 12:00:00,55.65,55.8,55.35,55.55,539295.0
2014-09-08 15:00:00,55.5,55.75,55.4,55.55,390923.0
2014-09-09 09:00:00,55.65,55.7,54.1,54.4,792767.0
2014-09-09 12:00:00,54.4,54.55,54.05,54.45,836244.0
2014-09-09 15:00:00,54.5,55.25,54.45,54.85,637186.0
2014-09-10 09:00:00,55.0,55.9,54.3,55.85,1134546.0
2014-09-10 12:00:00,55.8,56.65,54.95,56.6,1795375.0
2014-09-10 15:00:00,56.65,56.65,56.3,56.45,451395.0
2014-09-11 09:00:00,57.25,57.5,55.9,56.1,1566581.0
2014-09-11 12:00:00,56.1,56.45,56.05,56.05,357170.0
2014-09-11 15:00:00,56.1,56.3,55.95,56.1,542136.0
2014-09-12 09:00:00,56.1,56.95,55.75,56.6,3816472.0
2014-09-12 12:00:00,56.5,56.65,55.5,56.1,1212642.0
2014-09-12 15:00:00,56.15,56.35,55.95,56.2,436241.0
2014-09-15 09:00:00,55.4,57.45,55.1,56.95,1699190.0
2014-09-15 12:00:00,56.95,57.45,56.5,57.4,618965.0
2014-09-15 15:00:00,57.4,57.4,56.95,57.0,1047376.0
2014-09-16 09:00:00,57.0,58.4,57.0,58.1,1842475.0
2014-09-16 12:00:00,58.05,58.05,55.0,56.6,4335082.0
2014-09-16 15:00:00,56.55,57.2,56.5,56.8,638581.0
2014-09-17 09:00:00,56.65,57.6,56.3,56.85,1274631.0
2014-09-17 12:00:00,56.85,57.6,56.4,57.4,781400.0
2014-09-17 15:00:00,57.45,58.0,57.4,57.75,551254.0
2014-09-18 09:00:00,57.35,58.0,57.1,57.55,1098801.0
2014-09-18 12:00:00,57.55,58.05,57.35,57.9,2646631.0
2014-09-18 15:00:00,57.9,59.05,57.85,58.6,2277339.0
2014-09-19 09:00:00,58.65,59.2,57.65,58.15,1505707.0
2014-09-19 12:00:00,58.2,58.4,57.7,58.15,953153.0
2014-09-19 15:00:00,58.1,58.3,57.65,58.05,720262.0
2014-09-22 09:00:00,57.45,57.8,56.0,56.9,1406279.0
2014-09-22 12:00:00,56.9,57.5,56.8,57.4,711628.0
2014-09-22 15:00:00,57.4,57.85,57.4,57.6,689949.0
2014-09-23 09:00:00,57.45,57.7,56.85,57.0,803486.0
2014-09-23 12:00:00,57.0,57.0,54.75,55.1,2925093.0
2014-09-23 15:00:00,55.1,55.5,54.5,55.05,1902107.0
2014-09-24 09:00:00,54.75,55.3,54.25,54.8,777139.0
2014-09-24 12:00:00,54.8,55.4,54.25,55.25,815359.0
2014-09-24 15:00:00,55.25,55.45,54.85,55.15,378544.0
2014-09-25 09:00:00,54.25,54.95,53.75,54.05,923520.0
2014-09-25 12:00:00,54.05,54.1,53.5,53.8,976021.0
2014-09-25 15:00:00,53.75,54.35,53.35,53.7,2580122.0
2014-09-26 09:00:00,53.5,53.8,52.15,53.05,1930599.0
2014-09-26 12:00:00,53.0,55.0,52.5,54.7,1583014.0
2014-09-26 15:00:00,54.7,55.5,54.0,54.75,742971.0
2014-09-29 09:00:00,54.2,55.15,54.15,54.35,853947.0
2014-09-29 12:00:00,54.4,54.4,53.75,53.8,966905.0
2014-09-29 15:00:00,53.85,54.25,53.45,53.85,1369510.0
2014-09-30 09:00:00,53.35,54.2,53.35,53.75,631825.0
2014-09-30 12:00:00,53.75,54.15,53.25,53.55,888696.0
2014-09-30 15:00:00,53.6,54.3,53.1,53.85,1121040.0
2014-10-01 09:00:00,54.35,54.9,53.55,53.85,971338.0
2014-10-01 12:00:00,53.8,54.4,53.6,53.85,565116.0
2014-10-01 15:00:00,53.9,54.6,53.9,54.35,592010.0
2014-10-07 09:00:00,54.1,54.55,53.75,53.9,479711.0
2014-10-07 12:00:00,53.9,54.0,53.5,53.5,532677.0
2014-10-07 15:00:00,53.5,54.1,53.4,53.75,566062.0
2014-10-08 09:00:00,53.25,54.2,52.75,53.35,800198.0
2014-10-08 12:00:00,53.3,53.7,53.2,53.7,328061.0
2014-10-08 15:00:00,53.75,53.95,53.65,53.85,605797.0
2014-10-09 09:00:00,53.7,54.5,53.7,54.05,425153.0
2014-10-09 12:00:00,54.05,55.0,54.0,54.85,713849.0
2014-10-09 15:00:00,54.9,55.0,54.75,54.9,236214.0
2014-10-10 09:00:00,54.4,54.4,53.45,54.2,611590.0
2014-10-10 12:00:00,54.2,54.4,53.9,54.15,310230.0
2014-10-10 15:00:00,54.05,54.3,53.95,54.2,373286.0
2014-10-13 09:00:00,53.7,54.55,53.65,54.15,492002.0
2014-10-13 12:00:00,54.15,55.0,54.0,54.9,687028.0
2014-10-13 15:00:00,54.9,55.1,54.65,54.95,447913.0
2014-10-14 09:00:00,54.95,55.1,54.0,54.3,408531.0
2014-10-14 12:00:00,54.35,54.95,54.25,54.9,634389.0
2014-10-14 15:00:00,54.95,55.0,54.75,54.9,447870.0
2014-10-16 09:00:00,54.5,54.9,54.0,54.15,978972.0
2014-10-16 12:00:00,54.2,55.0,53.95,54.15,686629.0
2014-10-16 15:00:00,54.0,54.15,53.05,53.55,2678350.0
2014-10-17 09:00:00,53.4,54.2,53.4,54.15,501019.0
2014-10-17 12:00:00,54.15,54.9,54.0,54.85,541073.0
2014-10-17 15:00:00,54.9,54.9,54.55,54.7,132367.0
2014-10-20 09:00:00,55.0,55.5,54.95,55.5,888395.0
2014-10-20 12:00:00,55.5,55.5,55.0,55.5,665935.0
2014-10-20 15:00:00,55.5,55.5,55.3,55.45,275608.0
2014-10-21 09:00:00,55.2,56.0,54.85,55.45,1222075.0
2014-10-21 12:00:00,55.45,56.55,55.3,56.3,1113850.0
2014-10-21 15:00:00,56.35,56.75,56.35,56.5,705426.0
2014-10-22 09:00:00,56.8,57.1,56.5,56.65,432892.0
2014-10-22 12:00:00,56.7,56.9,56.5,56.8,332874.0
2014-10-22 15:00:00,56.8,57.0,56.7,56.85,204554.0
2014-10-27 09:00:00,56.2,56.95,55.6,56.1,405649.0
2014-10-27 12:00:00,56.1,56.6,55.7,56.55,983693.0
2014-10-27 15:00:00,56.55,56.75,56.3,56.6,481218.0
2014-10-28 09:00:00,56.25,56.45,55.6,55.65,426397.0
2014-10-28 12:00:00,55.65,55.9,55.3,55.65,432400.0
2014-10-28 15:00:00,55.65,55.95,55.6,55.8,341512.0
2014-10-29 09:00:00,56.0,58.7,55.85,58.25,6662339.0
2014-10-29 12:00:00,58.15,58.2,57.1,57.75,3072838.0
2014-10-29 15:00:00,57.75,57.8,57.05,57.35,950455.0
2014-10-30 09:00:00,54.75,56.0,54.45,55.4,3121646.0
2014-10-30 12:00:00,55.4,55.95,55.35,55.8,1574114.0
2014-10-30 15:00:00,55.8,56.15,55.75,55.85,2149014.0
2014-10-31 09:00:00,55.8,56.65,55.8,56.45,793831.0
2014-10-31 12:00:00,56.45,58.1,56.35,57.55,1479901.0
2014-10-31 15:00:00,57.5,57.8,57.5,57.55,501596.0
2014-11-03 09:00:00,57.65,59.55,57.1,58.9,1568375.0
2014-11-03 12:00:00,58.9,59.0,58.25,58.3,949070.0
2014-11-03 15:00:00,58.25,58.8,58.25,58.6,412417.0
2014-11-05 09:00:00,58.65,59.25,57.6,57.65,656183.0
