datetime,symbol,open,high,low,close,volume
2020-08-26 09:30:00,NSE:DONEAR,30.2,30.2,30.0,30.0,3192.0
2020-08-26 09:45:00,NSE:DONEAR,29.95,29.95,29.35,29.65,3018.0
2020-08-26 10:00:00,NSE:DONEAR,29.65,29.9,29.65,29.85,133.0
2020-08-26 10:15:00,NSE:DONEAR,29.65,29.65,29.65,29.65,100.0
2020-08-26 10:30:00,NSE:DONEAR,29.65,29.85,29.65,29.85,197.0
2020-08-26 10:45:00,NSE:DONEAR,29.8,29.8,29.65,29.75,800.0
2020-08-26 11:00:00,NSE:DONEAR,29.75,29.8,29.75,29.8,569.0
2020-08-26 11:15:00,NSE:DONEAR,29.8,29.9,29.7,29.85,1223.0
2020-08-26 11:30:00,NSE:DONEAR,29.75,29.75,29.75,29.75,50.0
2020-08-26 11:45:00,NSE:DONEAR,29.9,29.9,29.9,29.9,280.0
2020-08-26 12:00:00,NSE:DONEAR,29.9,30.0,29.6,29.6,5315.0
2020-08-26 12:15:00,NSE:DONEAR,29.65,29.65,29.65,29.65,206.0
2020-08-26 12:30:00,NSE:DONEAR,29.65,29.65,29.6,29.6,961.0
2020-08-26 12:45:00,NSE:DONEAR,29.5,29.65,29.5,29.65,2040.0
2020-08-26 13:00:00,NSE:DONEAR,30.0,30.6,29.55,30.25,7724.0
2020-08-26 13:15:00,NSE:DONEAR,30.15,31.0,29.85,30.2,11096.0
2020-08-26 13:30:00,NSE:DONEAR,30.45,30.5,30.25,30.25,1349.0
2020-08-26 13:45:00,NSE:DONEAR,30.1,30.15,30.1,30.1,540.0
2020-08-26 14:15:00,NSE:DONEAR,30.15,30.3,30.15,30.3,556.0
2020-08-26 14:30:00,NSE:DONEAR,30.35,30.45,30.25,30.25,527.0
2020-08-26 14:45:00,NSE:DONEAR,30.25,30.3,30.25,30.3,959.0
2020-08-26 15:00:00,NSE:DONEAR,30.3,30.3,30.15,30.25,6038.0
2020-08-26 15:15:00,NSE:DONEAR,30.15,30.4,29.75,29.8,6130.0
2020-08-26 15:30:00,NSE:DONEAR,30.2,30.2,30.2,30.2,1000.0
2020-08-27 09:15:00,NSE:DONEAR,30.35,30.35,30.0,30.0,1095.0
2020-08-27 09:30:00,NSE:DONEAR,29.85,30.0,29.85,29.85,558.0
2020-08-27 09:45:00,NSE:DONEAR,30.0,30.3,29.9,30.0,2145.0
2020-08-27 10:00:00,NSE:DONEAR,30.0,30.5,30.0,30.4,1559.0
2020-08-27 10:15:00,NSE:DONEAR,30.5,31.85,30.5,31.8,72035.0
2020-08-27 10:30:00,NSE:DONEAR,31.75,32.9,31.75,32.8,65570.0
2020-08-27 10:45:00,NSE:DONEAR,32.9,32.9,32.2,32.2,31824.0
2020-08-27 11:00:00,NSE:DONEAR,32.2,32.4,31.75,32.0,22491.0
2020-08-27 11:15:00,NSE:DONEAR,31.9,32.4,31.9,32.3,5880.0
2020-08-27 11:30:00,NSE:DONEAR,32.05,32.3,32.05,32.05,2295.0
2020-08-27 11:45:00,NSE:DONEAR,32.65,32.65,31.8,31.85,6857.0
2020-08-27 12:00:00,NSE:DONEAR,32.0,32.45,31.95,32.35,5726.0
2020-08-27 12:15:00,NSE:DONEAR,32.3,32.3,31.95,31.95,1930.0
2020-08-27 12:30:00,NSE:DONEAR,32.05,32.1,31.9,32.1,3902.0
2020-08-27 12:45:00,NSE:DONEAR,32.0,32.0,31.85,31.85,1387.0
2020-08-27 13:00:00,NSE:DONEAR,31.85,32.2,31.8,31.8,2717.0
2020-08-27 13:15:00,NSE:DONEAR,32.15,32.15,31.55,31.75,6286.0
2020-08-27 13:30:00,NSE:DONEAR,31.7,31.95,31.6,31.9,1694.0
2020-08-27 13:45:00,NSE:DONEAR,31.9,31.9,31.65,31.65,2893.0
2020-08-27 14:00:00,NSE:DONEAR,31.7,31.9,31.7,31.75,2803.0
2020-08-27 14:15:00,NSE:DONEAR,31.75,31.8,31.65,31.65,1208.0
2020-08-27 14:30:00,NSE:DONEAR,31.55,31.75,31.55,31.55,1368.0
