datetime,symbol,open,high,low,close,volume
2019-12-17 11:00:00,NSE:GSS,32.8,32.8,32.8,32.8,108.0
2019-12-17 11:30:00,NSE:GSS,32.95,32.95,32.95,32.95,10.0
2019-12-17 12:30:00,NSE:GSS,32.8,32.8,32.0,32.0,426.0
2019-12-17 13:00:00,NSE:GSS,33.0,33.0,32.0,32.05,1829.0
2019-12-17 13:30:00,NSE:GSS,32.45,32.55,32.45,32.55,102.0
2019-12-17 14:00:00,NSE:GSS,32.25,32.75,32.25,32.25,257.0
2019-12-17 14:30:00,NSE:GSS,32.3,32.3,32.0,32.0,500.0
2019-12-17 15:00:00,NSE:GSS,32.2,32.2,32.0,32.05,1189.0
2019-12-18 09:00:00,NSE:GSS,31.7,32.1,31.7,32.0,2353.0
2019-12-18 09:30:00,NSE:GSS,32.0,32.9,31.9,32.7,917.0
2019-12-18 10:00:00,NSE:GSS,32.2,32.2,31.6,31.65,310.0
2019-12-18 10:30:00,NSE:GSS,31.65,31.9,29.0,31.35,8095.0
2019-12-18 11:00:00,NSE:GSS,31.0,31.4,30.8,30.8,1388.0
2019-12-18 11:30:00,NSE:GSS,30.75,32.6,30.75,32.2,3568.0
2019-12-18 12:00:00,NSE:GSS,32.2,32.4,31.5,32.4,152.0
2019-12-18 12:30:00,NSE:GSS,32.0,32.3,31.8,32.25,135.0
2019-12-18 13:30:00,NSE:GSS,32.05,32.25,31.25,31.95,753.0
2019-12-18 14:00:00,NSE:GSS,31.95,32.0,31.5,31.95,754.0
2019-12-18 14:30:00,NSE:GSS,32.0,32.0,30.95,31.95,2506.0
2019-12-18 15:00:00,NSE:GSS,31.55,32.5,31.35,31.8,2948.0
2019-12-18 15:30:00,NSE:GSS,31.85,31.85,31.85,31.85,10.0
2019-12-19 09:00:00,NSE:GSS,31.8,31.8,31.5,31.5,220.0
2019-12-19 09:30:00,NSE:GSS,31.5,32.8,31.5,32.5,535.0
2019-12-19 10:00:00,NSE:GSS,32.45,32.45,32.45,32.45,20.0
2019-12-19 11:00:00,NSE:GSS,31.95,31.95,31.55,31.55,240.0
2019-12-19 11:30:00,NSE:GSS,32.5,32.5,32.35,32.35,227.0
2019-12-19 12:00:00,NSE:GSS,32.15,32.5,32.15,32.5,1353.0
2019-12-19 12:30:00,NSE:GSS,31.7,32.5,31.7,32.25,1221.0
2019-12-19 13:00:00,NSE:GSS,32.25,33.2,32.25,33.2,2057.0
2019-12-19 13:30:00,NSE:GSS,33.15,33.2,32.3,32.7,1634.0
2019-12-19 14:00:00,NSE:GSS,33.15,33.55,32.5,33.4,4480.0
2019-12-19 14:30:00,NSE:GSS,33.1,33.1,32.85,32.85,129.0
2019-12-19 15:00:00,NSE:GSS,32.55,33.0,32.55,32.8,3324.0
2019-12-20 09:00:00,NSE:GSS,32.0,32.95,32.0,32.95,62.0
2019-12-20 09:30:00,NSE:GSS,32.05,32.9,32.05,32.9,102.0
2019-12-20 10:30:00,NSE:GSS,32.95,32.95,32.15,32.15,112.0
2019-12-20 11:30:00,NSE:GSS,33.0,33.0,33.0,33.0,285.0
2019-12-20 13:00:00,NSE:GSS,32.5,32.5,32.05,32.05,1010.0
2019-12-20 13:30:00,NSE:GSS,32.1,32.1,32.1,32.1,1000.0
2019-12-20 14:00:00,NSE:GSS,32.25,32.25,32.25,32.25,100.0
2019-12-20 14:30:00,NSE:GSS,32.75,32.75,32.75,32.75,200.0
2019-12-20 15:00:00,NSE:GSS,32.1,32.55,32.05,32.05,1350.0
2019-12-20 15:30:00,NSE:GSS,32.1,32.1,32.1,32.1,10.0
2019-12-23 09:00:00,NSE:GSS,32.1,32.1,31.8,32.0,693.0
2019-12-23 09:30:00,NSE:GSS,31.85,32.0,31.85,31.85,554.0
2019-12-23 10:00:00,NSE:GSS,31.8,31.85,31.7,31.75,64.0
2019-12-23 10:30:00,NSE:GSS,31.8,31.8,31.8,31.8,2.0
2019-12-23 11:00:00,NSE:GSS,31.7,32.85,31.65,32.85,327.0
2019-12-23 11:30:00,NSE:GSS,32.85,32.85,32.85,32.85,465.0
2019-12-23 12:00:00,NSE:GSS,31.5,31.5,31.5,31.5,465.0
2019-12-23 12:30:00,NSE:GSS,32.45,32.5,31.7,32.2,84.0
2019-12-23 13:00:00,NSE:GSS,32.35,32.5,31.6,32.35,72.0
2019-12-23 13:30:00,NSE:GSS,32.35,32.35,32.0,32.0,142.0
2019-12-23 14:00:00,NSE:GSS,32.0,32.0,32.0,32.0,2290.0
2019-12-23 14:30:00,NSE:GSS,32.05,32.45,32.0,32.0,151.0
2019-12-23 15:00:00,NSE:GSS,32.0,32.0,32.0,32.0,5060.0
2019-12-24 09:00:00,NSE:GSS,31.55,32.0,31.55,32.0,138.0
2019-12-24 09:30:00,NSE:GSS,33.0,33.0,29.1,31.0,12557.0
2019-12-24 10:00:00,NSE:GSS,31.0,31.0,30.65,30.8,1033.0
2019-12-24 10:30:00,NSE:GSS,30.5,30.8,30.15,30.15,520.0
2019-12-24 11:00:00,NSE:GSS,30.65,30.7,30.65,30.65,118.0
2019-12-24 11:30:00,NSE:GSS,30.5,30.9,30.0,30.5,3017.0
2019-12-24 12:00:00,NSE:GSS,30.5,30.5,30.1,30.1,554.0
2019-12-24 12:30:00,NSE:GSS,30.1,30.5,30.1,30.5,392.0
2019-12-24 13:00:00,NSE:GSS,30.5,30.5,30.45,30.45,220.0
2019-12-24 13:30:00,NSE:GSS,30.45,30.5,30.45,30.45,86.0
2019-12-24 14:00:00,NSE:GSS,30.2,30.5,30.2,30.5,192.0
2019-12-24 14:30:00,NSE:GSS,30.5,30.5,30.3,30.3,663.0
2019-12-24 15:00:00,NSE:GSS,30.3,30.5,30.15,30.2,916.0
2019-12-26 09:00:00,NSE:GSS,31.35,31.35,30.15,30.15,118.0
2019-12-26 09:30:00,NSE:GSS,30.75,31.0,30.75,31.0,395.0
2019-12-26 10:00:00,NSE:GSS,31.0,31.0,30.0,30.65,3067.0
2019-12-26 10:30:00,NSE:GSS,30.65,30.85,30.55,30.85,149.0
2019-12-26 11:00:00,NSE:GSS,30.85,31.1,30.85,31.0,308.0
2019-12-26 11:30:00,NSE:GSS,31.05,31.5,31.0,31.0,1123.0
2019-12-26 12:00:00,NSE:GSS,31.0,31.0,31.0,31.0,7.0
2019-12-26 12:30:00,NSE:GSS,31.5,33.1,31.5,32.2,5989.0
2019-12-26 13:00:00,NSE:GSS,32.0,32.0,31.95,32.0,3502.0
2019-12-26 13:30:00,NSE:GSS,32.0,32.0,31.8,31.8,528.0
2019-12-26 14:00:00,NSE:GSS,31.85,31.85,31.85,31.85,5.0
2019-12-26 14:30:00,NSE:GSS,31.5,32.0,31.5,31.7,13887.0
2019-12-26 15:00:00,NSE:GSS,31.7,31.7,30.75,30.85,1326.0
2019-12-26 15:30:00,NSE:GSS,31.4,31.4,31.4,31.4,10.0
2019-12-27 09:00:00,NSE:GSS,32.6,32.65,32.4,32.65,750.0
2019-12-27 09:30:00,NSE:GSS,33.0,33.0,32.5,32.5,1855.0
2019-12-27 10:00:00,NSE:GSS,32.5,32.85,31.5,32.05,3717.0
2019-12-27 10:30:00,NSE:GSS,32.05,32.05,32.0,32.05,1308.0
2019-12-27 11:00:00,NSE:GSS,32.0,32.0,32.0,32.0,1878.0
2019-12-27 11:30:00,NSE:GSS,32.0,32.0,31.8,31.8,396.0
2019-12-27 12:00:00,NSE:GSS,31.95,31.95,31.8,31.8,300.0
2019-12-27 12:30:00,NSE:GSS,31.85,31.85,31.85,31.85,100.0
2019-12-27 13:00:00,NSE:GSS,31.8,31.8,31.8,31.8,538.0
2019-12-27 13:30:00,NSE:GSS,31.8,32.0,31.8,31.95,471.0
2019-12-27 14:00:00,NSE:GSS,31.95,31.95,31.7,31.7,2733.0
2019-12-27 14:30:00,NSE:GSS,31.7,31.9,31.5,31.9,4202.0
2019-12-27 15:00:00,NSE:GSS,31.65,32.0,31.0,31.0,3241.0
2019-12-27 15:30:00,NSE:GSS,31.3,31.3,31.3,31.3,240.0
2019-12-30 09:00:00,NSE:GSS,31.7,32.3,31.7,31.9,478.0
2019-12-30 09:30:00,NSE:GSS,31.9,31.9,31.15,31.55,585.0
2019-12-30 10:00:00,NSE:GSS,31.5,31.6,31.4,31.4,277.0
2019-12-30 10:30:00,NSE:GSS,31.6,31.6,31.4,31.4,4.0
2019-12-30 11:00:00,NSE:GSS,31.6,31.6,31.6,31.6,17.0
2019-12-30 11:30:00,NSE:GSS,31.6,31.75,31.6,31.75,120.0
2019-12-30 12:00:00,NSE:GSS,31.75,31.75,31.75,31.75,143.0
2019-12-30 12:30:00,NSE:GSS,31.75,31.75,31.75,31.75,110.0
2019-12-30 13:00:00,NSE:GSS,31.75,31.75,28.2,28.2,49160.0
2019-12-30 13:30:00,NSE:GSS,28.2,28.2,28.2,28.2,6445.0
2019-12-30 14:00:00,NSE:GSS,28.2,28.2,28.2,28.2,3542.0
2019-12-30 14:30:00,NSE:GSS,28.2,28.3,28.2,28.25,4965.0
2019-12-30 15:00:00,NSE:GSS,28.3,28.35,28.2,28.2,3878.0
2019-12-30 15:30:00,NSE:GSS,28.2,28.2,28.2,28.2,6.0
2019-12-31 09:00:00,NSE:GSS,28.0,29.1,27.95,28.3,2997.0
2019-12-31 09:30:00,NSE:GSS,28.65,28.85,28.05,28.1,3653.0
2019-12-31 10:00:00,NSE:GSS,28.65,28.65,28.15,28.3,725.0
2019-12-31 10:30:00,NSE:GSS,28.5,29.0,28.5,28.6,1264.0
2019-12-31 11:00:00,NSE:GSS,28.6,28.9,28.35,28.4,1146.0
2019-12-31 11:30:00,NSE:GSS,28.4,28.4,28.25,28.25,1611.0
2019-12-31 12:00:00,NSE:GSS,28.25,28.25,25.4,26.0,35732.0
2019-12-31 12:30:00,NSE:GSS,26.15,26.45,26.0,26.05,8956.0
2019-12-31 13:00:00,NSE:GSS,26.15,26.15,26.1,26.1,1210.0
2019-12-31 13:30:00,NSE:GSS,26.15,26.4,25.7,26.0,419.0
2019-12-31 14:00:00,NSE:GSS,26.65,26.65,25.8,25.8,31694.0
2019-12-31 14:30:00,NSE:GSS,25.85,26.4,25.6,26.0,2262.0
2019-12-31 15:00:00,NSE:GSS,25.9,26.35,25.5,25.7,10959.0
2019-12-31 15:30:00,NSE:GSS,25.65,25.65,25.65,25.65,18.0
2020-01-01 09:00:00,NSE:GSS,25.05,26.05,25.05,26.05,924.0
2020-01-01 09:30:00,NSE:GSS,26.25,26.45,23.5,26.3,6614.0
2020-01-01 10:00:00,NSE:GSS,25.85,26.25,25.4,25.55,1344.0
2020-01-01 10:30:00,NSE:GSS,25.6,26.05,25.45,26.0,814.0
2020-01-01 11:00:00,NSE:GSS,25.75,26.05,25.6,25.75,191.0
2020-01-01 11:30:00,NSE:GSS,25.6,25.95,25.6,25.7,848.0
2020-01-01 12:00:00,NSE:GSS,25.75,26.15,25.75,26.0,265.0
2020-01-01 12:30:00,NSE:GSS,26.0,26.3,25.7,25.7,2941.0
2020-01-01 13:00:00,NSE:GSS,25.7,26.25,25.7,25.9,790.0
2020-01-01 13:30:00,NSE:GSS,26.3,26.3,26.3,26.3,906.0
2020-01-01 14:00:00,NSE:GSS,26.1,27.6,26.1,26.85,7854.0
2020-01-01 14:30:00,NSE:GSS,26.85,27.5,26.35,26.85,25712.0
2020-01-01 15:00:00,NSE:GSS,26.75,27.1,26.75,27.0,16050.0
2020-01-02 09:00:00,NSE:GSS,27.3,28.9,27.1,28.0,8946.0
2020-01-02 09:30:00,NSE:GSS,28.0,28.0,27.45,27.75,2027.0
2020-01-02 10:00:00,NSE:GSS,27.75,28.45,27.75,28.35,1686.0
2020-01-02 10:30:00,NSE:GSS,28.4,28.9,28.4,28.85,7195.0
2020-01-02 11:00:00,NSE:GSS,28.8,29.45,28.65,29.45,36378.0
2020-01-02 11:30:00,NSE:GSS,29.45,29.45,29.45,29.45,2669.0
2020-01-02 12:00:00,NSE:GSS,29.45,29.45,29.45,29.45,3470.0
2020-01-02 12:30:00,NSE:GSS,29.45,29.45,29.45,29.45,302.0
2020-01-02 13:00:00,NSE:GSS,29.45,29.45,29.45,29.45,71.0
2020-01-02 14:00:00,NSE:GSS,29.45,29.45,29.45,29.45,94.0
2020-01-02 14:30:00,NSE:GSS,29.45,29.45,29.45,29.45,757.0
2020-01-02 15:00:00,NSE:GSS,29.45,29.45,29.45,29.45,1.0
2020-01-03 09:00:00,NSE:GSS,29.7,31.9,29.45,31.5,36135.0
2020-01-03 09:30:00,NSE:GSS,31.7,32.35,31.55,32.35,30565.0
2020-01-03 10:00:00,NSE:GSS,32.35,32.35,32.35,32.35,5441.0
2020-01-03 10:30:00,NSE:GSS,32.35,32.35,32.35,32.35,921.0
2020-01-03 11:00:00,NSE:GSS,32.35,32.35,32.35,32.35,13.0
2020-01-03 12:00:00,NSE:GSS,32.35,32.35,32.35,32.35,60.0
2020-01-03 12:30:00,NSE:GSS,32.35,32.35,32.35,32.35,1528.0
2020-01-03 13:30:00,NSE:GSS,32.35,32.35,32.35,32.35,1251.0
2020-01-03 14:00:00,NSE:GSS,32.35,32.35,32.35,32.35,1055.0
2020-01-03 14:30:00,NSE:GSS,32.35,32.35,32.35,32.35,438.0
2020-01-03 15:00:00,NSE:GSS,32.35,32.35,32.35,32.35,5.0
2020-01-06 09:00:00,NSE:GSS,35.55,35.55,35.55,35.55,33783.0
2020-01-06 09:30:00,NSE:GSS,35.55,35.55,35.55,35.55,3851.0
2020-01-06 10:00:00,NSE:GSS,35.55,35.55,35.55,35.55,1487.0
2020-01-06 10:30:00,NSE:GSS,35.55,35.55,35.55,35.55,556.0
2020-01-06 11:00:00,NSE:GSS,35.55,35.55,35.55,35.55,151.0
2020-01-06 11:30:00,NSE:GSS,35.55,35.55,35.55,35.55,1475.0
2020-01-06 12:00:00,NSE:GSS,35.55,35.55,35.55,35.55,317.0
2020-01-06 12:30:00,NSE:GSS,35.55,35.55,35.55,35.55,255.0
2020-01-06 13:00:00,NSE:GSS,35.55,35.55,35.55,35.55,1362.0
2020-01-06 13:30:00,NSE:GSS,35.55,35.55,35.55,35.55,150.0
2020-01-06 14:00:00,NSE:GSS,35.55,35.55,35.55,35.55,249.0
2020-01-06 14:30:00,NSE:GSS,35.55,35.55,35.55,35.55,1.0
2020-01-06 15:00:00,NSE:GSS,35.55,35.55,35.55,35.55,5031.0
2020-01-07 09:00:00,NSE:GSS,36.9,37.2,36.15,36.75,17963.0
2020-01-07 09:30:00,NSE:GSS,36.95,37.0,35.05,36.3,17500.0
2020-01-07 10:00:00,NSE:GSS,36.5,37.2,36.5,37.0,15140.0
2020-01-07 10:30:00,NSE:GSS,37.0,37.3,37.0,37.3,53203.0
2020-01-07 11:00:00,NSE:GSS,37.3,37.3,37.3,37.3,400.0
2020-01-07 11:30:00,NSE:GSS,37.3,37.3,37.3,37.3,5644.0
2020-01-07 12:00:00,NSE:GSS,37.3,37.3,37.3,37.3,601.0
2020-01-07 12:30:00,NSE:GSS,37.3,37.3,37.3,37.3,80.0
2020-01-07 13:00:00,NSE:GSS,37.3,37.3,37.3,37.3,1160.0
2020-01-07 13:30:00,NSE:GSS,37.3,37.3,37.3,37.3,479.0
2020-01-07 14:30:00,NSE:GSS,37.3,37.3,37.3,37.3,135.0
2020-01-07 15:00:00,NSE:GSS,37.3,37.3,37.3,37.3,126.0
2020-01-07 15:30:00,NSE:GSS,37.3,37.3,37.3,37.3,25.0
2020-01-08 09:00:00,NSE:GSS,38.7,38.7,37.05,38.5,7781.0
2020-01-08 09:30:00,NSE:GSS,38.45,39.1,38.2,38.5,10661.0
2020-01-08 10:00:00,NSE:GSS,38.7,39.1,38.5,38.9,5894.0
2020-01-08 10:30:00,NSE:GSS,38.95,39.15,38.7,39.1,14226.0
2020-01-08 11:00:00,NSE:GSS,38.7,38.95,38.6,38.6,1930.0
2020-01-08 11:30:00,NSE:GSS,38.5,38.9,38.2,38.4,2404.0
2020-01-08 12:00:00,NSE:GSS,38.4,38.7,38.3,38.7,1070.0
2020-01-08 12:30:00,NSE:GSS,38.65,38.65,38.6,38.6,810.0
2020-01-08 13:00:00,NSE:GSS,38.65,38.65,38.4,38.4,1155.0
2020-01-08 13:30:00,NSE:GSS,38.55,38.6,38.4,38.6,1047.0
2020-01-08 14:00:00,NSE:GSS,38.4,39.0,38.4,39.0,3060.0
2020-01-08 14:30:00,NSE:GSS,39.0,39.15,38.65,38.95,3078.0
2020-01-08 15:00:00,NSE:GSS,38.7,39.0,38.45,38.65,4357.0
2020-01-08 15:30:00,NSE:GSS,38.85,38.85,38.85,38.85,84.0
2020-01-09 09:00:00,NSE:GSS,38.65,39.25,38.65,39.25,2508.0
2020-01-09 09:30:00,NSE:GSS,38.75,39.25,38.75,39.2,2125.0
2020-01-09 10:00:00,NSE:GSS,39.0,39.0,38.75,38.95,2286.0
2020-01-09 10:30:00,NSE:GSS,39.0,39.0,38.95,38.95,297.0
2020-01-09 11:00:00,NSE:GSS,38.95,38.95,37.8,38.0,1635.0
2020-01-09 11:30:00,NSE:GSS,37.85,37.85,37.5,37.5,4987.0
2020-01-09 12:00:00,NSE:GSS,37.85,37.85,37.3,37.5,856.0
2020-01-09 12:30:00,NSE:GSS,37.5,37.5,37.3,37.3,1217.0
2020-01-09 13:00:00,NSE:GSS,37.3,37.35,36.95,37.35,6191.0
2020-01-09 13:30:00,NSE:GSS,37.35,37.5,37.0,37.0,1101.0
2020-01-09 14:00:00,NSE:GSS,37.0,37.3,37.0,37.0,1045.0
2020-01-09 14:30:00,NSE:GSS,37.45,37.45,37.4,37.4,317.0
2020-01-09 15:00:00,NSE:GSS,36.95,37.3,36.95,37.0,2172.0
2020-01-10 09:00:00,NSE:GSS,35.65,36.8,35.65,35.75,2974.0
2020-01-10 09:30:00,NSE:GSS,35.75,35.75,35.3,35.7,2480.0
2020-01-10 10:00:00,NSE:GSS,35.6,36.0,35.45,36.0,2921.0
2020-01-10 10:30:00,NSE:GSS,36.2,38.85,36.2,38.85,16166.0
2020-01-10 11:00:00,NSE:GSS,38.85,38.85,38.85,38.85,3926.0
2020-01-10 11:30:00,NSE:GSS,38.85,38.85,38.85,38.85,959.0
2020-01-10 12:00:00,NSE:GSS,38.85,38.85,38.85,38.85,864.0
2020-01-10 12:30:00,NSE:GSS,38.85,38.85,38.85,38.85,1102.0
2020-01-10 13:00:00,NSE:GSS,38.85,38.85,38.85,38.85,1122.0
2020-01-10 13:30:00,NSE:GSS,38.85,38.85,38.85,38.85,528.0
2020-01-10 14:00:00,NSE:GSS,38.85,38.85,38.85,38.85,228.0
2020-01-10 14:30:00,NSE:GSS,38.85,38.85,38.85,38.85,100.0
2020-01-10 15:00:00,NSE:GSS,38.85,38.85,38.85,38.85,1351.0
2020-01-10 15:30:00,NSE:GSS,38.85,38.85,38.85,38.85,1.0
2020-01-13 09:00:00,NSE:GSS,40.0,40.5,38.65,39.3,922.0
2020-01-13 09:30:00,NSE:GSS,39.3,40.3,39.3,40.0,2892.0
2020-01-13 10:00:00,NSE:GSS,40.05,40.05,39.4,39.6,2759.0
2020-01-13 10:30:00,NSE:GSS,39.35,40.0,38.65,38.8,3886.0
2020-01-13 11:00:00,NSE:GSS,38.65,38.85,38.2,38.2,1326.0
2020-01-13 11:30:00,NSE:GSS,38.2,38.2,38.0,38.2,1038.0
2020-01-13 12:00:00,NSE:GSS,38.9,38.9,38.0,38.7,784.0
2020-01-13 12:30:00,NSE:GSS,38.5,38.5,38.0,38.0,127.0
2020-01-13 13:00:00,NSE:GSS,38.0,38.5,38.0,38.05,204.0
2020-01-13 13:30:00,NSE:GSS,39.0,39.4,39.0,39.0,987.0
2020-01-13 14:00:00,NSE:GSS,39.0,40.75,39.0,40.75,11628.0
2020-01-13 14:30:00,NSE:GSS,40.75,40.75,40.75,40.75,9571.0
2020-01-13 15:00:00,NSE:GSS,40.1,40.75,40.1,40.7,1132.0
2020-01-13 15:30:00,NSE:GSS,40.6,40.6,40.6,40.6,50.0
2020-01-14 09:00:00,NSE:GSS,40.6,42.3,40.6,41.35,3815.0
2020-01-14 09:30:00,NSE:GSS,41.4,42.0,41.2,41.2,2815.0
2020-01-14 10:00:00,NSE:GSS,41.2,41.55,40.7,41.55,4533.0
2020-01-14 10:30:00,NSE:GSS,41.05,41.05,40.65,40.7,1161.0
2020-01-14 11:00:00,NSE:GSS,41.0,41.0,40.7,40.7,1156.0
2020-01-14 11:30:00,NSE:GSS,40.75,40.75,40.5,40.5,2935.0
2020-01-14 12:00:00,NSE:GSS,40.5,40.5,40.05,40.05,2309.0
2020-01-14 12:30:00,NSE:GSS,40.15,40.5,40.05,40.05,919.0
2020-01-14 13:00:00,NSE:GSS,40.7,40.7,40.7,40.7,1086.0
2020-01-14 13:30:00,NSE:GSS,40.2,40.2,40.2,40.2,50.0
2020-01-14 14:00:00,NSE:GSS,40.2,40.7,40.1,40.6,350.0
2020-01-14 14:30:00,NSE:GSS,40.6,41.0,40.6,40.95,1582.0
2020-01-14 15:00:00,NSE:GSS,40.4,40.8,40.0,40.05,1672.0
2020-01-15 09:00:00,NSE:GSS,39.85,39.9,39.85,39.9,379.0
2020-01-15 09:30:00,NSE:GSS,39.9,40.5,39.9,40.0,451.0
2020-01-15 10:00:00,NSE:GSS,40.0,40.25,39.9,39.9,525.0
2020-01-15 10:30:00,NSE:GSS,39.9,39.9,39.85,39.85,396.0
2020-01-15 11:00:00,NSE:GSS,39.85,41.0,39.6,40.05,3575.0
2020-01-15 11:30:00,NSE:GSS,40.0,40.0,39.5,39.5,769.0
2020-01-15 12:00:00,NSE:GSS,40.6,40.6,38.6,38.75,1582.0
2020-01-15 12:30:00,NSE:GSS,38.8,38.85,38.8,38.85,337.0
2020-01-15 13:00:00,NSE:GSS,40.1,40.1,38.95,39.1,515.0
