datetime,symbol,open,high,low,close,volume
2020-07-21 11:15:00,NSE:HUBTOWN,11.35,11.45,11.3,11.3,193.0
2020-07-21 11:30:00,NSE:HUBTOWN,11.3,11.45,11.3,11.4,3000.0
2020-07-21 11:45:00,NSE:HUBTOWN,11.3,11.4,11.3,11.4,4000.0
2020-07-21 12:00:00,NSE:HUBTOWN,11.45,11.45,11.45,11.45,25.0
2020-07-21 12:15:00,NSE:HUBTOWN,11.4,11.4,11.4,11.4,125.0
2020-07-21 12:30:00,NSE:HUBTOWN,11.45,11.45,11.45,11.45,2568.0
2020-07-21 12:45:00,NSE:HUBTOWN,11.45,11.45,11.4,11.4,1639.0
2020-07-21 13:15:00,NSE:HUBTOWN,11.45,11.45,11.25,11.25,5500.0
2020-07-21 13:30:00,NSE:HUBTOWN,11.25,11.4,11.25,11.4,800.0
2020-07-21 13:45:00,NSE:HUBTOWN,11.4,11.4,11.35,11.35,3350.0
2020-07-21 14:00:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,3015.0
2020-07-21 14:15:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,453.0
2020-07-21 14:30:00,NSE:HUBTOWN,11.35,11.35,11.35,11.35,10.0
2020-07-21 14:45:00,NSE:HUBTOWN,11.25,11.35,11.25,11.35,1330.0
2020-07-21 15:00:00,NSE:HUBTOWN,11.25,11.5,11.25,11.3,11013.0
2020-07-21 15:15:00,NSE:HUBTOWN,11.5,11.5,11.3,11.5,2710.0
2020-07-21 15:30:00,NSE:HUBTOWN,11.4,11.4,11.4,11.4,73.0
2020-07-22 09:00:00,NSE:HUBTOWN,11.45,11.45,11.45,11.45,625.0
2020-07-22 09:15:00,NSE:HUBTOWN,11.45,11.45,11.25,11.25,418.0
2020-07-22 09:30:00,NSE:HUBTOWN,11.25,11.25,11.2,11.2,2000.0
2020-07-22 10:00:00,NSE:HUBTOWN,11.35,11.35,11.15,11.2,2843.0
2020-07-22 10:15:00,NSE:HUBTOWN,11.2,11.25,11.2,11.25,374.0
2020-07-22 10:30:00,NSE:HUBTOWN,11.2,11.2,11.2,11.2,1048.0
2020-07-22 11:00:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,158.0
2020-07-22 11:15:00,NSE:HUBTOWN,11.35,11.4,11.35,11.4,554.0
2020-07-22 11:30:00,NSE:HUBTOWN,11.3,11.3,11.2,11.2,1435.0
2020-07-22 12:00:00,NSE:HUBTOWN,11.35,11.35,11.35,11.35,185.0
2020-07-22 12:15:00,NSE:HUBTOWN,11.35,11.35,11.35,11.35,10.0
2020-07-22 13:00:00,NSE:HUBTOWN,11.35,11.35,11.2,11.2,1625.0
2020-07-22 13:15:00,NSE:HUBTOWN,11.15,11.15,11.1,11.1,5258.0
2020-07-22 13:30:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,5.0
2020-07-22 13:45:00,NSE:HUBTOWN,11.15,11.15,11.1,11.1,130.0
2020-07-22 14:00:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,10.0
2020-07-22 14:30:00,NSE:HUBTOWN,11.25,11.25,11.0,11.0,5332.0
2020-07-22 14:45:00,NSE:HUBTOWN,11.2,11.2,11.2,11.2,1.0
2020-07-22 15:00:00,NSE:HUBTOWN,11.2,11.3,11.2,11.3,2560.0
2020-07-22 15:15:00,NSE:HUBTOWN,11.15,11.15,11.05,11.05,1305.0
2020-07-22 15:30:00,NSE:HUBTOWN,11.2,11.2,11.2,11.2,10.0
2020-07-23 09:15:00,NSE:HUBTOWN,11.1,11.4,11.1,11.3,1289.0
2020-07-23 09:30:00,NSE:HUBTOWN,11.35,11.35,11.3,11.3,355.0
2020-07-23 09:45:00,NSE:HUBTOWN,11.15,11.25,11.15,11.15,1550.0
2020-07-23 10:00:00,NSE:HUBTOWN,11.1,11.15,11.1,11.15,432.0
2020-07-23 10:15:00,NSE:HUBTOWN,11.15,11.15,11.15,11.15,35.0
2020-07-23 10:45:00,NSE:HUBTOWN,11.0,11.15,11.0,11.15,938.0
2020-07-23 11:00:00,NSE:HUBTOWN,11.15,11.3,11.15,11.3,469.0
2020-07-23 11:30:00,NSE:HUBTOWN,11.2,11.3,11.2,11.3,12.0
2020-07-23 11:45:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,30.0
2020-07-23 12:00:00,NSE:HUBTOWN,11.15,11.15,11.15,11.15,300.0
2020-07-23 12:15:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,75.0
2020-07-23 12:45:00,NSE:HUBTOWN,11.2,11.2,11.2,11.2,25.0
2020-07-23 13:00:00,NSE:HUBTOWN,11.2,11.2,11.05,11.05,1799.0
2020-07-23 13:15:00,NSE:HUBTOWN,11.1,11.15,11.05,11.05,1299.0
2020-07-23 13:30:00,NSE:HUBTOWN,11.05,11.05,11.05,11.05,50.0
2020-07-23 13:45:00,NSE:HUBTOWN,11.2,11.25,11.1,11.25,85982.0
2020-07-23 14:30:00,NSE:HUBTOWN,11.25,11.25,11.25,11.25,76.0
2020-07-23 14:45:00,NSE:HUBTOWN,11.25,11.25,11.05,11.2,1264.0
2020-07-23 15:00:00,NSE:HUBTOWN,11.05,11.05,11.05,11.05,681.0
2020-07-23 15:15:00,NSE:HUBTOWN,11.05,11.2,11.05,11.05,3564.0
2020-07-24 09:15:00,NSE:HUBTOWN,11.2,11.2,11.1,11.15,2425.0
2020-07-24 09:30:00,NSE:HUBTOWN,11.2,11.25,10.8,10.8,2193.0
2020-07-24 09:45:00,NSE:HUBTOWN,11.1,11.25,10.85,11.2,518.0
