datetime,symbol,open,high,low,close,volume
2010-12-03 13:00:00,NSE:ISFT,102.0,103.0,100.0,100.7,4295.0
2010-12-06 09:00:00,NSE:ISFT,98.05,101.25,98.05,100.2,700.0
2010-12-06 13:00:00,NSE:ISFT,101.0,101.0,99.0,100.65,1156.0
2010-12-07 09:00:00,NSE:ISFT,99.5,100.4,98.0,100.4,1583.0
2010-12-07 13:00:00,NSE:ISFT,100.1,100.5,98.25,99.75,4573.0
2010-12-08 09:00:00,NSE:ISFT,97.7,99.5,96.0,99.05,31121.0
2010-12-08 13:00:00,NSE:ISFT,99.05,100.8,95.5,99.0,34805.0
2010-12-09 09:00:00,NSE:ISFT,97.9,98.0,86.0,86.0,47816.0
2010-12-09 13:00:00,NSE:ISFT,86.0,91.85,85.0,90.9,140677.0
2010-12-10 09:00:00,NSE:ISFT,90.0,91.75,86.0,88.0,9768.0
2010-12-10 13:00:00,NSE:ISFT,87.15,88.5,83.0,84.9,7823.0
2010-12-13 09:00:00,NSE:ISFT,86.1,90.0,86.0,86.0,19334.0
2010-12-13 13:00:00,NSE:ISFT,86.0,87.85,85.0,85.25,5705.0
2010-12-14 09:00:00,NSE:ISFT,86.9,88.65,85.5,87.65,2120.0
2010-12-14 13:00:00,NSE:ISFT,87.9,87.9,86.1,87.4,1375.0
2010-12-15 09:00:00,NSE:ISFT,88.0,88.5,87.0,88.45,5856.0
2010-12-15 13:00:00,NSE:ISFT,88.0,88.0,86.0,86.35,1883.0
2010-12-16 09:00:00,NSE:ISFT,85.15,86.35,85.1,85.8,1568.0
2010-12-16 13:00:00,NSE:ISFT,86.35,87.3,85.8,87.3,488.0
2010-12-20 09:00:00,NSE:ISFT,86.4,87.0,85.65,85.65,1113.0
2010-12-20 13:00:00,NSE:ISFT,86.7,86.7,85.65,85.75,708.0
2010-12-21 09:00:00,NSE:ISFT,86.0,86.95,86.0,86.1,311.0
2010-12-21 13:00:00,NSE:ISFT,85.9,86.25,85.9,86.0,537.0
2010-12-22 09:00:00,NSE:ISFT,86.05,86.9,86.05,86.3,1095.0
2010-12-22 13:00:00,NSE:ISFT,86.35,86.75,86.35,86.45,575.0
2010-12-23 09:00:00,NSE:ISFT,86.55,87.0,86.1,87.0,750.0
2010-12-23 13:00:00,NSE:ISFT,86.9,86.9,86.65,86.65,760.0
2010-12-24 09:00:00,NSE:ISFT,86.9,90.0,86.0,88.0,3076.0
2010-12-24 13:00:00,NSE:ISFT,87.5,88.0,87.1,87.55,1153.0
2010-12-27 09:00:00,NSE:ISFT,86.15,88.65,86.15,87.6,384.0
2010-12-27 13:00:00,NSE:ISFT,87.6,88.0,87.5,88.0,300.0
2010-12-28 09:00:00,NSE:ISFT,86.5,87.8,86.5,87.1,302.0
2010-12-28 13:00:00,NSE:ISFT,87.5,87.8,87.5,87.8,400.0
2010-12-29 09:00:00,NSE:ISFT,87.8,87.8,87.8,87.8,29.0
2010-12-29 13:00:00,NSE:ISFT,88.9,89.0,88.9,88.9,755.0
2010-12-30 09:00:00,NSE:ISFT,88.0,88.1,87.55,88.1,180.0
2010-12-30 13:00:00,NSE:ISFT,88.8,89.0,87.9,88.0,83.0
2010-12-31 09:00:00,NSE:ISFT,88.4,88.4,88.0,88.4,968.0
2010-12-31 13:00:00,NSE:ISFT,88.5,88.8,87.55,88.0,1742.0
2011-01-03 09:00:00,NSE:ISFT,88.9,89.8,88.35,88.55,1321.0
2011-01-03 13:00:00,NSE:ISFT,88.85,89.8,88.85,89.1,1252.0
2011-01-04 09:00:00,NSE:ISFT,89.0,90.0,89.0,90.0,1838.0
2011-01-04 13:00:00,NSE:ISFT,90.0,92.8,89.3,91.55,3596.0
2011-01-05 09:00:00,NSE:ISFT,91.0,92.0,89.2,89.2,1564.0
2011-01-05 13:00:00,NSE:ISFT,89.7,90.05,89.5,90.0,1892.0
2011-01-06 09:00:00,NSE:ISFT,87.7,93.75,87.7,92.4,4464.0
2011-01-06 13:00:00,NSE:ISFT,91.0,92.25,89.3,89.4,4503.0
2011-01-07 09:00:00,NSE:ISFT,87.15,89.9,87.15,87.85,2407.0
2011-01-07 13:00:00,NSE:ISFT,88.45,88.95,87.0,87.0,5972.0
2011-01-10 09:00:00,NSE:ISFT,86.15,89.75,86.15,87.3,2527.0
2011-01-10 13:00:00,NSE:ISFT,87.1,88.0,86.3,86.8,3722.0
2011-01-11 09:00:00,NSE:ISFT,85.9,87.85,85.9,86.0,442.0
2011-01-11 13:00:00,NSE:ISFT,86.0,87.0,86.0,86.3,184.0
2011-01-12 09:00:00,NSE:ISFT,85.8,88.0,85.8,86.0,534.0
2011-01-12 13:00:00,NSE:ISFT,86.0,87.75,86.0,86.75,11626.0
2011-01-13 09:00:00,NSE:ISFT,88.0,89.0,86.5,88.9,6027.0
2011-01-13 13:00:00,NSE:ISFT,87.75,88.6,86.3,87.85,1969.0
2011-01-14 09:00:00,NSE:ISFT,85.0,87.55,85.0,85.8,4522.0
2011-01-14 13:00:00,NSE:ISFT,85.9,86.35,82.3,82.75,4238.0
2011-01-17 09:00:00,NSE:ISFT,83.05,86.8,83.05,86.0,6482.0
2011-01-17 13:00:00,NSE:ISFT,86.85,86.85,82.7,82.7,3977.0
2011-01-18 09:00:00,NSE:ISFT,82.1,85.0,82.1,84.0,5987.0
2011-01-18 13:00:00,NSE:ISFT,84.75,85.0,83.5,84.55,16100.0
2011-01-19 09:00:00,NSE:ISFT,84.0,84.4,83.4,83.75,4486.0
2011-01-19 13:00:00,NSE:ISFT,83.75,83.75,83.3,83.3,1880.0
2011-01-20 09:00:00,NSE:ISFT,82.5,86.0,82.5,84.3,9083.0
2011-01-20 13:00:00,NSE:ISFT,84.9,85.0,82.75,84.0,3303.0
2011-01-21 09:00:00,NSE:ISFT,83.85,84.9,83.0,84.9,7167.0
2011-01-21 13:00:00,NSE:ISFT,84.15,84.5,83.5,84.0,16286.0
2011-01-24 09:00:00,NSE:ISFT,84.15,85.7,84.05,85.0,9130.0
2011-01-24 13:00:00,NSE:ISFT,85.0,85.0,83.3,83.35,12333.0
2011-01-25 09:00:00,NSE:ISFT,84.0,84.7,83.4,84.35,13542.0
2011-01-25 13:00:00,NSE:ISFT,83.5,84.3,83.0,83.0,2469.0
2011-01-27 09:00:00,NSE:ISFT,83.0,87.05,83.0,85.0,51443.0
2011-01-27 13:00:00,NSE:ISFT,84.5,84.5,83.3,83.3,4433.0
2011-01-28 09:00:00,NSE:ISFT,83.0,83.85,81.3,81.3,11403.0
2011-01-28 13:00:00,NSE:ISFT,81.3,82.95,80.7,80.8,1788.0
2011-01-31 09:00:00,NSE:ISFT,81.0,81.0,75.25,78.1,11843.0
2011-01-31 13:00:00,NSE:ISFT,79.0,79.5,77.0,77.05,618.0
2011-02-01 09:00:00,NSE:ISFT,77.1,83.5,77.0,77.95,8616.0
2011-02-01 13:00:00,NSE:ISFT,78.55,78.55,77.0,78.2,402.0
2011-02-02 09:00:00,NSE:ISFT,78.95,82.9,77.15,78.3,8702.0
2011-02-02 13:00:00,NSE:ISFT,78.25,79.5,77.3,78.85,1894.0
2011-02-03 09:00:00,NSE:ISFT,76.75,78.8,76.7,78.6,8915.0
2011-02-03 13:00:00,NSE:ISFT,78.5,79.4,78.0,79.4,577.0
2011-02-04 09:00:00,NSE:ISFT,77.4,80.0,77.3,78.65,9059.0
2011-02-04 13:00:00,NSE:ISFT,78.6,79.6,77.65,77.65,1049.0
2011-02-07 09:00:00,NSE:ISFT,79.0,84.05,78.5,78.5,14840.0
2011-02-07 13:00:00,NSE:ISFT,78.4,80.95,78.35,79.75,2930.0
2011-02-08 09:00:00,NSE:ISFT,79.2,79.2,76.5,76.5,834.0
2011-02-08 13:00:00,NSE:ISFT,76.35,78.1,76.3,76.95,972.0
2011-02-09 09:00:00,NSE:ISFT,76.0,76.85,75.7,75.7,1888.0
2011-02-09 13:00:00,NSE:ISFT,75.7,77.0,72.6,74.9,12048.0
2011-02-10 09:00:00,NSE:ISFT,76.0,76.0,70.5,72.3,1516.0
2011-02-10 13:00:00,NSE:ISFT,72.3,73.75,64.1,66.1,4893.0
2011-02-11 09:00:00,NSE:ISFT,66.6,68.5,65.5,66.8,1941.0
2011-02-11 13:00:00,NSE:ISFT,66.75,69.75,66.0,66.15,5501.0
2011-02-14 09:00:00,NSE:ISFT,67.6,70.5,67.0,67.95,4080.0
2011-02-14 13:00:00,NSE:ISFT,67.95,68.4,67.65,68.4,2695.0
2011-02-15 09:00:00,NSE:ISFT,69.0,75.0,68.0,73.0,58110.0
2011-02-15 13:00:00,NSE:ISFT,72.25,76.85,70.55,74.05,7367.0
2011-02-16 09:00:00,NSE:ISFT,74.0,75.0,72.2,73.95,1667.0
2011-02-16 13:00:00,NSE:ISFT,73.05,73.8,71.15,72.65,1505.0
2011-02-17 09:00:00,NSE:ISFT,72.0,74.3,72.0,74.15,741.0
2011-02-17 13:00:00,NSE:ISFT,73.55,74.15,73.1,74.0,2118.0
2011-02-18 09:00:00,NSE:ISFT,74.7,74.7,73.0,73.0,711.0
2011-02-18 13:00:00,NSE:ISFT,73.0,73.7,71.1,71.9,1088.0
2011-02-21 09:00:00,NSE:ISFT,71.0,72.0,71.0,71.3,374.0
2011-02-21 13:00:00,NSE:ISFT,71.0,72.8,70.55,72.2,797.0
2011-02-22 09:00:00,NSE:ISFT,70.2,73.4,70.2,73.4,444.0
2011-02-22 13:00:00,NSE:ISFT,73.3,73.4,70.4,70.4,1999.0
2011-02-23 09:00:00,NSE:ISFT,71.65,72.0,71.6,72.0,346.0
2011-02-23 13:00:00,NSE:ISFT,71.25,72.5,69.05,69.1,817.0
2011-02-24 09:00:00,NSE:ISFT,71.0,71.0,66.1,69.0,2392.0
2011-02-24 13:00:00,NSE:ISFT,69.0,71.0,69.0,70.5,55186.0
2011-02-25 09:00:00,NSE:ISFT,70.0,70.8,68.25,68.4,26234.0
2011-02-25 13:00:00,NSE:ISFT,69.5,70.0,68.0,70.0,15828.0
2011-02-28 09:00:00,NSE:ISFT,67.5,70.05,67.5,67.7,290.0
2011-02-28 13:00:00,NSE:ISFT,68.0,70.2,67.7,70.2,10823.0
2011-03-01 09:00:00,NSE:ISFT,70.0,70.5,66.5,68.3,1296.0
2011-03-01 13:00:00,NSE:ISFT,69.9,70.0,68.55,70.0,909.0
2011-03-03 09:00:00,NSE:ISFT,68.0,68.8,68.0,68.8,161.0
2011-03-03 13:00:00,NSE:ISFT,69.0,69.75,67.75,68.15,3544.0
2011-03-04 09:00:00,NSE:ISFT,67.4,67.5,66.55,67.5,33473.0
2011-03-04 13:00:00,NSE:ISFT,67.5,68.0,67.0,67.5,3756.0
2011-03-07 09:00:00,NSE:ISFT,67.7,67.7,67.0,67.55,681.0
2011-03-07 13:00:00,NSE:ISFT,67.0,67.55,67.0,67.5,542.0
2011-03-08 09:00:00,NSE:ISFT,67.05,67.15,67.05,67.1,320.0
2011-03-08 13:00:00,NSE:ISFT,67.15,67.75,67.0,67.15,1419.0
2011-03-09 09:00:00,NSE:ISFT,67.95,67.95,66.75,67.1,515.0
2011-03-09 13:00:00,NSE:ISFT,67.1,68.4,67.1,68.4,1422.0
