datetime,symbol,open,high,low,close,volume
2020-08-14 13:00:00,NSE:JAYAGROGN,92.4,92.4,91.25,91.5,1812.0
2020-08-14 13:45:00,NSE:JAYAGROGN,91.55,91.55,91.55,91.55,3.0
2020-08-14 14:00:00,NSE:JAYAGROGN,91.55,91.55,90.5,90.5,760.0
2020-08-14 14:15:00,NSE:JAYAGROGN,90.0,90.0,89.1,89.1,1165.0
2020-08-14 14:30:00,NSE:JAYAGROGN,90.0,90.85,88.05,89.95,289.0
2020-08-14 14:45:00,NSE:JAYAGROGN,90.45,90.45,90.1,90.1,11.0
2020-08-14 15:00:00,NSE:JAYAGROGN,91.45,91.45,88.3,88.55,262.0
2020-08-14 15:15:00,NSE:JAYAGROGN,90.4,90.4,88.5,90.0,603.0
2020-08-14 15:30:00,NSE:JAYAGROGN,89.2,89.2,89.2,89.2,100.0
2020-08-17 09:00:00,NSE:JAYAGROGN,91.05,91.05,91.05,91.05,100.0
2020-08-17 09:15:00,NSE:JAYAGROGN,91.05,93.65,91.0,91.0,2600.0
2020-08-17 09:30:00,NSE:JAYAGROGN,91.05,92.9,91.05,92.5,113.0
2020-08-17 09:45:00,NSE:JAYAGROGN,91.1,91.1,91.1,91.1,2.0
2020-08-17 10:00:00,NSE:JAYAGROGN,91.65,91.65,91.05,91.05,156.0
2020-08-17 10:15:00,NSE:JAYAGROGN,91.05,91.05,91.05,91.05,98.0
2020-08-17 10:30:00,NSE:JAYAGROGN,91.05,91.05,91.05,91.05,58.0
2020-08-17 10:45:00,NSE:JAYAGROGN,91.5,92.0,91.5,92.0,304.0
2020-08-17 11:15:00,NSE:JAYAGROGN,91.5,91.5,91.5,91.5,99.0
2020-08-17 11:30:00,NSE:JAYAGROGN,91.5,91.9,91.5,91.9,120.0
2020-08-17 11:45:00,NSE:JAYAGROGN,92.0,92.5,92.0,92.45,260.0
2020-08-17 12:00:00,NSE:JAYAGROGN,91.5,92.45,91.5,92.45,23.0
2020-08-17 12:15:00,NSE:JAYAGROGN,92.45,92.45,92.45,92.45,5.0
2020-08-17 12:30:00,NSE:JAYAGROGN,92.45,92.45,92.45,92.45,51.0
2020-08-17 12:45:00,NSE:JAYAGROGN,92.45,92.45,92.45,92.45,1.0
2020-08-17 13:00:00,NSE:JAYAGROGN,91.65,91.65,91.65,91.65,100.0
2020-08-17 13:30:00,NSE:JAYAGROGN,91.65,91.65,91.65,91.65,100.0
2020-08-17 13:45:00,NSE:JAYAGROGN,91.65,91.65,91.65,91.65,32.0
2020-08-17 14:00:00,NSE:JAYAGROGN,91.7,92.95,90.05,92.45,4324.0
2020-08-17 14:15:00,NSE:JAYAGROGN,92.55,92.55,91.2,91.2,419.0
2020-08-17 14:30:00,NSE:JAYAGROGN,91.4,92.45,91.4,92.45,126.0
2020-08-17 14:45:00,NSE:JAYAGROGN,92.5,92.65,92.45,92.65,797.0
2020-08-17 15:00:00,NSE:JAYAGROGN,93.65,93.65,92.45,93.0,1451.0
2020-08-17 15:15:00,NSE:JAYAGROGN,93.0,93.0,92.95,93.0,1321.0
2020-08-18 09:15:00,NSE:JAYAGROGN,92.85,93.05,92.85,93.05,229.0
2020-08-18 09:45:00,NSE:JAYAGROGN,93.05,93.05,92.0,92.0,91.0
2020-08-18 10:00:00,NSE:JAYAGROGN,93.35,93.35,93.35,93.35,1.0
2020-08-18 10:15:00,NSE:JAYAGROGN,92.0,93.5,92.0,93.5,1390.0
2020-08-18 10:45:00,NSE:JAYAGROGN,92.0,92.0,92.0,92.0,100.0
2020-08-18 11:00:00,NSE:JAYAGROGN,93.5,94.5,93.5,93.5,2119.0
2020-08-18 11:15:00,NSE:JAYAGROGN,93.9,93.9,92.75,92.75,300.0
2020-08-18 11:30:00,NSE:JAYAGROGN,92.25,92.3,92.25,92.3,374.0
2020-08-18 11:45:00,NSE:JAYAGROGN,92.25,93.45,91.8,93.45,424.0
2020-08-18 12:00:00,NSE:JAYAGROGN,93.0,93.3,91.8,93.3,338.0
2020-08-18 12:15:00,NSE:JAYAGROGN,91.6,91.6,91.6,91.6,50.0
2020-08-18 13:00:00,NSE:JAYAGROGN,93.6,94.0,92.25,92.3,851.0
