datetime,symbol,open,high,low,close,volume
2021-04-26 14:45:00,NSE:JINDALSAW,73.55,73.75,73.55,73.7,3528.0
2021-04-26 14:48:00,NSE:JINDALSAW,73.7,73.75,73.7,73.75,350.0
2021-04-26 14:51:00,NSE:JINDALSAW,73.7,73.75,73.55,73.65,5162.0
2021-04-26 14:54:00,NSE:JINDALSAW,73.75,73.9,73.55,73.55,12843.0
2021-04-26 14:57:00,NSE:JINDALSAW,73.55,73.7,73.55,73.7,1625.0
2021-04-26 15:00:00,NSE:JINDALSAW,73.7,73.7,73.55,73.55,6059.0
2021-04-26 15:03:00,NSE:JINDALSAW,73.7,73.8,73.6,73.75,1127.0
2021-04-26 15:06:00,NSE:JINDALSAW,73.75,73.8,73.65,73.75,5161.0
2021-04-26 15:09:00,NSE:JINDALSAW,73.75,73.75,73.65,73.65,1572.0
2021-04-26 15:12:00,NSE:JINDALSAW,73.65,73.75,73.65,73.75,12268.0
2021-04-26 15:15:00,NSE:JINDALSAW,73.75,73.95,73.7,73.9,15758.0
2021-04-26 15:18:00,NSE:JINDALSAW,73.85,73.85,73.7,73.7,16908.0
2021-04-26 15:21:00,NSE:JINDALSAW,73.7,73.75,73.55,73.6,15608.0
2021-04-26 15:24:00,NSE:JINDALSAW,73.6,73.65,73.5,73.5,24610.0
2021-04-26 15:27:00,NSE:JINDALSAW,73.6,73.6,73.25,73.5,24726.0
2021-04-26 15:39:00,NSE:JINDALSAW,73.6,73.6,73.6,73.6,100.0
2021-04-26 15:42:00,NSE:JINDALSAW,73.6,73.6,73.5,73.6,520.0
2021-04-26 15:45:00,NSE:JINDALSAW,73.6,73.6,73.6,73.6,225.0
2021-04-26 15:48:00,NSE:JINDALSAW,73.6,73.6,73.5,73.5,1000.0
2021-04-26 15:51:00,NSE:JINDALSAW,73.6,73.6,73.6,73.6,5.0
2021-04-26 15:57:00,NSE:JINDALSAW,73.6,73.6,73.6,73.6,250.0
2021-04-27 09:06:00,NSE:JINDALSAW,73.95,73.95,73.95,73.95,452.0
2021-04-27 09:15:00,NSE:JINDALSAW,73.9,74.35,73.85,74.25,13730.0
2021-04-27 09:18:00,NSE:JINDALSAW,74.15,74.5,74.05,74.35,27839.0
2021-04-27 09:21:00,NSE:JINDALSAW,74.3,74.5,74.1,74.5,29579.0
2021-04-27 09:24:00,NSE:JINDALSAW,74.5,74.6,74.25,74.4,56619.0
2021-04-27 09:27:00,NSE:JINDALSAW,74.4,74.4,73.95,73.95,24959.0
2021-04-27 09:30:00,NSE:JINDALSAW,73.95,74.2,73.65,74.1,23319.0
2021-04-27 09:33:00,NSE:JINDALSAW,73.95,74.1,73.9,74.0,6087.0
2021-04-27 09:36:00,NSE:JINDALSAW,74.0,74.5,74.0,74.5,17571.0
2021-04-27 09:39:00,NSE:JINDALSAW,74.3,74.5,74.2,74.4,26744.0
2021-04-27 09:42:00,NSE:JINDALSAW,74.4,74.5,74.3,74.3,5721.0
2021-04-27 09:45:00,NSE:JINDALSAW,74.4,74.65,74.3,74.65,30475.0
2021-04-27 09:48:00,NSE:JINDALSAW,74.65,74.65,74.25,74.4,21453.0
2021-04-27 09:51:00,NSE:JINDALSAW,74.4,74.5,74.25,74.45,6935.0
2021-04-27 09:54:00,NSE:JINDALSAW,74.3,74.9,74.3,74.7,24438.0
2021-04-27 09:57:00,NSE:JINDALSAW,74.75,74.8,74.5,74.55,9434.0
2021-04-27 10:00:00,NSE:JINDALSAW,74.6,74.6,74.35,74.35,4269.0
2021-04-27 10:03:00,NSE:JINDALSAW,74.5,74.5,74.3,74.45,6073.0
2021-04-27 10:06:00,NSE:JINDALSAW,74.3,74.45,74.3,74.45,2796.0
2021-04-27 10:09:00,NSE:JINDALSAW,74.35,74.45,74.35,74.4,2400.0
2021-04-27 10:12:00,NSE:JINDALSAW,74.4,74.5,74.35,74.5,3300.0
2021-04-27 10:15:00,NSE:JINDALSAW,74.5,74.5,74.3,74.35,7334.0
2021-04-27 10:18:00,NSE:JINDALSAW,74.45,74.45,74.35,74.35,2854.0
2021-04-27 10:21:00,NSE:JINDALSAW,74.45,74.45,74.45,74.45,1351.0
2021-04-27 10:24:00,NSE:JINDALSAW,74.45,74.45,73.8,74.25,37033.0
2021-04-27 10:27:00,NSE:JINDALSAW,74.25,74.35,73.9,74.15,11684.0
2021-04-27 10:30:00,NSE:JINDALSAW,74.1,74.4,74.1,74.4,3805.0
2021-04-27 10:33:00,NSE:JINDALSAW,74.4,74.45,74.25,74.25,6214.0
2021-04-27 10:36:00,NSE:JINDALSAW,74.3,74.5,74.3,74.35,5562.0
2021-04-27 10:39:00,NSE:JINDALSAW,74.35,74.45,74.35,74.35,1127.0
2021-04-27 10:42:00,NSE:JINDALSAW,74.4,74.5,74.35,74.4,4554.0
2021-04-27 10:45:00,NSE:JINDALSAW,74.4,74.55,74.35,74.35,2469.0
2021-04-27 10:48:00,NSE:JINDALSAW,74.45,74.6,74.35,74.45,4965.0
2021-04-27 10:51:00,NSE:JINDALSAW,74.45,74.6,74.4,74.4,2316.0
2021-04-27 10:54:00,NSE:JINDALSAW,74.4,74.5,74.4,74.5,2827.0
2021-04-27 10:57:00,NSE:JINDALSAW,74.5,74.55,74.15,74.15,7104.0
2021-04-27 11:00:00,NSE:JINDALSAW,74.1,74.25,74.05,74.2,7294.0
2021-04-27 11:03:00,NSE:JINDALSAW,74.25,74.35,74.2,74.35,2693.0
2021-04-27 11:06:00,NSE:JINDALSAW,74.45,74.5,74.25,74.35,2442.0
2021-04-27 11:09:00,NSE:JINDALSAW,74.4,74.45,74.4,74.45,3660.0
2021-04-27 11:12:00,NSE:JINDALSAW,74.45,76.25,74.45,76.1,206759.0
2021-04-27 11:15:00,NSE:JINDALSAW,76.1,76.9,75.7,76.75,139200.0
2021-04-27 11:18:00,NSE:JINDALSAW,76.95,77.2,75.7,76.0,129723.0
2021-04-27 11:21:00,NSE:JINDALSAW,76.1,76.3,75.8,75.9,24319.0
2021-04-27 11:24:00,NSE:JINDALSAW,75.9,76.3,75.9,76.0,13422.0
2021-04-27 11:27:00,NSE:JINDALSAW,76.05,76.3,76.0,76.15,10799.0
2021-04-27 11:30:00,NSE:JINDALSAW,76.2,76.25,76.0,76.2,26528.0
2021-04-27 11:33:00,NSE:JINDALSAW,76.2,76.35,76.2,76.3,5436.0
2021-04-27 11:36:00,NSE:JINDALSAW,76.3,76.35,76.2,76.2,6526.0
2021-04-27 11:39:00,NSE:JINDALSAW,76.2,76.6,76.15,76.3,54090.0
2021-04-27 11:42:00,NSE:JINDALSAW,76.35,76.4,76.2,76.4,2398.0
2021-04-27 11:45:00,NSE:JINDALSAW,76.2,76.4,76.1,76.15,9138.0
2021-04-27 11:48:00,NSE:JINDALSAW,76.3,76.3,76.1,76.15,915.0
2021-04-27 11:51:00,NSE:JINDALSAW,76.1,76.2,76.0,76.0,11510.0
2021-04-27 11:54:00,NSE:JINDALSAW,76.1,76.15,76.0,76.15,4342.0
2021-04-27 11:57:00,NSE:JINDALSAW,76.2,76.5,76.1,76.1,21561.0
2021-04-27 12:00:00,NSE:JINDALSAW,76.1,76.3,76.05,76.15,8456.0
2021-04-27 12:03:00,NSE:JINDALSAW,76.25,76.35,76.1,76.2,5183.0
2021-04-27 12:06:00,NSE:JINDALSAW,76.25,76.25,76.05,76.2,20443.0
2021-04-27 12:09:00,NSE:JINDALSAW,76.1,76.1,75.9,76.0,15000.0
2021-04-27 12:12:00,NSE:JINDALSAW,75.9,76.0,75.9,75.9,1830.0
2021-04-27 12:15:00,NSE:JINDALSAW,75.95,76.05,75.95,75.95,9400.0
2021-04-27 12:18:00,NSE:JINDALSAW,75.9,75.9,75.65,75.65,8373.0
2021-04-27 12:21:00,NSE:JINDALSAW,75.7,75.75,75.6,75.7,5505.0
2021-04-27 12:24:00,NSE:JINDALSAW,75.65,75.7,75.5,75.5,8173.0
2021-04-27 12:27:00,NSE:JINDALSAW,75.6,75.65,75.35,75.65,2542.0
2021-04-27 12:30:00,NSE:JINDALSAW,75.65,75.65,75.35,75.35,3742.0
2021-04-27 12:33:00,NSE:JINDALSAW,75.35,75.55,75.3,75.55,5391.0
2021-04-27 12:36:00,NSE:JINDALSAW,75.5,75.8,75.5,75.8,9060.0
2021-04-27 12:39:00,NSE:JINDALSAW,75.8,75.85,75.7,75.8,1265.0
2021-04-27 12:42:00,NSE:JINDALSAW,75.8,75.85,75.65,75.65,5854.0
2021-04-27 12:45:00,NSE:JINDALSAW,75.65,75.8,75.65,75.75,254.0
2021-04-27 12:48:00,NSE:JINDALSAW,75.8,75.8,75.65,75.65,1437.0
2021-04-27 12:51:00,NSE:JINDALSAW,75.75,75.75,75.6,75.65,4143.0
2021-04-27 12:54:00,NSE:JINDALSAW,75.55,75.65,75.55,75.65,542.0
2021-04-27 12:57:00,NSE:JINDALSAW,75.65,75.65,75.35,75.4,2668.0
2021-04-27 13:00:00,NSE:JINDALSAW,75.35,75.55,75.35,75.55,5312.0
2021-04-27 13:03:00,NSE:JINDALSAW,75.55,75.55,75.35,75.35,1731.0
2021-04-27 13:06:00,NSE:JINDALSAW,75.5,75.55,75.35,75.45,2728.0
2021-04-27 13:09:00,NSE:JINDALSAW,75.45,75.45,75.4,75.4,3302.0
2021-04-27 13:12:00,NSE:JINDALSAW,75.4,75.45,75.4,75.45,801.0
2021-04-27 13:15:00,NSE:JINDALSAW,75.5,75.55,75.45,75.5,3170.0
2021-04-27 13:18:00,NSE:JINDALSAW,75.6,75.6,75.55,75.55,563.0
2021-04-27 13:21:00,NSE:JINDALSAW,75.55,75.65,75.55,75.55,1608.0
2021-04-27 13:24:00,NSE:JINDALSAW,75.6,75.65,75.45,75.6,2790.0
2021-04-27 13:27:00,NSE:JINDALSAW,75.45,75.6,75.35,75.35,3764.0
2021-04-27 13:30:00,NSE:JINDALSAW,75.45,75.45,75.2,75.2,5715.0
2021-04-27 13:33:00,NSE:JINDALSAW,75.35,75.6,75.35,75.35,4345.0
2021-04-27 13:36:00,NSE:JINDALSAW,75.5,75.5,75.35,75.35,321.0
2021-04-27 13:39:00,NSE:JINDALSAW,75.45,75.6,75.45,75.45,1305.0
2021-04-27 13:42:00,NSE:JINDALSAW,75.35,75.35,75.2,75.2,1960.0
2021-04-27 13:45:00,NSE:JINDALSAW,75.2,75.55,75.2,75.45,2586.0
2021-04-27 13:48:00,NSE:JINDALSAW,75.35,75.4,75.35,75.4,170.0
2021-04-27 13:51:00,NSE:JINDALSAW,75.4,75.55,75.4,75.55,1418.0
2021-04-27 13:54:00,NSE:JINDALSAW,75.55,75.6,75.55,75.6,706.0
2021-04-27 13:57:00,NSE:JINDALSAW,75.55,75.6,75.5,75.6,937.0
2021-04-27 14:00:00,NSE:JINDALSAW,75.6,76.35,75.6,76.3,34155.0
2021-04-27 14:03:00,NSE:JINDALSAW,76.2,76.2,75.9,75.9,28285.0
