datetime,symbol,open,high,low,close,volume
2011-04-13 13:00:00,NSE:JKLAKSHMI,54.55,55.2,53.6,54.2,46228.0
2011-04-15 09:00:00,NSE:JKLAKSHMI,54.2,55.35,53.0,53.3,68383.0
2011-04-15 13:00:00,NSE:JKLAKSHMI,53.3,54.15,53.05,53.8,31506.0
2011-04-18 09:00:00,NSE:JKLAKSHMI,53.8,54.7,53.3,53.8,26943.0
2011-04-18 13:00:00,NSE:JKLAKSHMI,53.85,53.95,52.25,53.1,40805.0
2011-04-19 09:00:00,NSE:JKLAKSHMI,53.0,53.2,52.4,52.65,8487.0
2011-04-19 13:00:00,NSE:JKLAKSHMI,52.65,52.8,52.4,52.45,8759.0
2011-04-20 09:00:00,NSE:JKLAKSHMI,52.1,53.3,52.1,52.25,17267.0
2011-04-20 13:00:00,NSE:JKLAKSHMI,52.4,53.2,52.0,52.55,29194.0
2011-04-21 09:00:00,NSE:JKLAKSHMI,53.4,56.5,53.2,54.7,159339.0
2011-04-21 13:00:00,NSE:JKLAKSHMI,54.7,56.3,54.7,55.8,130758.0
2011-04-25 09:00:00,NSE:JKLAKSHMI,54.75,55.5,54.05,54.2,32073.0
2011-04-25 13:00:00,NSE:JKLAKSHMI,54.3,54.6,54.0,54.15,12504.0
2011-04-26 09:00:00,NSE:JKLAKSHMI,54.15,54.4,53.5,54.0,17844.0
2011-04-26 13:00:00,NSE:JKLAKSHMI,54.0,54.05,53.5,53.8,14914.0
2011-04-27 09:00:00,NSE:JKLAKSHMI,54.0,54.2,53.0,53.05,20385.0
2011-04-27 13:00:00,NSE:JKLAKSHMI,53.05,53.25,52.5,52.8,16850.0
2011-04-28 09:00:00,NSE:JKLAKSHMI,52.6,53.4,52.55,52.75,24417.0
2011-04-28 13:00:00,NSE:JKLAKSHMI,52.9,52.9,52.05,52.5,9160.0
2011-04-29 09:00:00,NSE:JKLAKSHMI,52.0,52.55,51.6,52.0,12767.0
2011-04-29 13:00:00,NSE:JKLAKSHMI,52.2,52.2,50.8,51.1,18799.0
2011-05-02 09:00:00,NSE:JKLAKSHMI,52.0,52.5,50.4,50.8,24412.0
2011-05-02 13:00:00,NSE:JKLAKSHMI,50.55,50.85,50.25,50.6,4962.0
2011-05-03 09:00:00,NSE:JKLAKSHMI,51.9,51.9,49.3,49.75,12113.0
2011-05-03 13:00:00,NSE:JKLAKSHMI,49.75,49.75,49.25,49.25,11930.0
2011-05-04 09:00:00,NSE:JKLAKSHMI,49.1,49.2,48.2,48.4,17585.0
2011-05-04 13:00:00,NSE:JKLAKSHMI,48.5,48.7,48.25,48.4,7717.0
2011-05-05 09:00:00,NSE:JKLAKSHMI,49.8,49.8,48.15,48.6,12498.0
2011-05-05 13:00:00,NSE:JKLAKSHMI,48.6,48.6,46.65,47.5,30306.0
2011-05-06 09:00:00,NSE:JKLAKSHMI,48.45,48.9,47.7,48.2,31257.0
2011-05-06 13:00:00,NSE:JKLAKSHMI,48.2,48.2,47.2,47.65,13736.0
2011-05-09 09:00:00,NSE:JKLAKSHMI,47.2,48.9,47.2,47.7,12051.0
2011-05-09 13:00:00,NSE:JKLAKSHMI,47.7,47.8,47.0,47.0,10284.0
2011-05-10 09:00:00,NSE:JKLAKSHMI,47.35,48.05,47.3,47.7,13561.0
2011-05-10 13:00:00,NSE:JKLAKSHMI,47.8,47.9,47.5,47.65,8060.0
2011-05-11 09:00:00,NSE:JKLAKSHMI,47.35,47.75,47.3,47.35,7935.0
2011-05-11 13:00:00,NSE:JKLAKSHMI,47.4,47.95,47.35,47.85,10229.0
2011-05-12 09:00:00,NSE:JKLAKSHMI,47.7,49.15,47.7,48.65,20343.0
2011-05-12 13:00:00,NSE:JKLAKSHMI,48.6,48.75,48.25,48.4,9073.0
2011-05-13 09:00:00,NSE:JKLAKSHMI,48.0,48.95,47.7,48.5,28265.0
2011-05-13 13:00:00,NSE:JKLAKSHMI,48.5,48.5,46.5,46.75,86659.0
2011-05-16 09:00:00,NSE:JKLAKSHMI,47.0,47.0,44.85,45.0,59727.0
