datetime,symbol,open,high,low,close,volume
2018-07-24 09:00:00,NSE:KOPRAN,48.95,50.5,48.15,50.5,20838.0
2018-07-24 10:00:00,NSE:KOPRAN,50.25,50.4,49.6,49.7,7911.0
2018-07-24 11:00:00,NSE:KOPRAN,49.9,50.4,49.7,50.0,10464.0
2018-07-24 12:00:00,NSE:KOPRAN,50.0,50.05,49.55,49.6,6037.0
2018-07-24 13:00:00,NSE:KOPRAN,49.55,50.2,49.55,50.05,5624.0
2018-07-24 14:00:00,NSE:KOPRAN,50.05,50.8,49.95,50.3,24925.0
2018-07-24 15:00:00,NSE:KOPRAN,50.3,50.4,49.85,50.2,14837.0
2018-07-25 09:00:00,NSE:KOPRAN,50.1,51.5,50.1,51.1,13021.0
2018-07-25 10:00:00,NSE:KOPRAN,51.05,51.3,50.9,51.2,8496.0
2018-07-25 11:00:00,NSE:KOPRAN,51.2,51.9,50.9,51.0,29123.0
2018-07-25 12:00:00,NSE:KOPRAN,51.1,51.1,50.7,50.95,3233.0
2018-07-25 13:00:00,NSE:KOPRAN,51.0,51.0,50.65,50.8,14541.0
2018-07-25 14:00:00,NSE:KOPRAN,50.7,50.9,50.6,50.8,4984.0
2018-07-25 15:00:00,NSE:KOPRAN,50.65,50.95,50.5,50.75,10281.0
2018-07-26 09:00:00,NSE:KOPRAN,50.85,50.85,49.4,49.9,8783.0
2018-07-26 10:00:00,NSE:KOPRAN,49.85,50.0,49.85,50.0,22539.0
2018-07-26 11:00:00,NSE:KOPRAN,49.95,50.0,49.9,49.95,3770.0
2018-07-26 12:00:00,NSE:KOPRAN,49.9,50.0,49.85,49.9,3624.0
2018-07-26 13:00:00,NSE:KOPRAN,49.95,49.95,48.6,49.2,27770.0
2018-07-26 14:00:00,NSE:KOPRAN,49.25,49.6,49.0,49.6,12941.0
2018-07-26 15:00:00,NSE:KOPRAN,49.6,49.75,49.1,49.55,8604.0
2018-07-27 09:00:00,NSE:KOPRAN,49.4,51.8,49.4,51.5,26443.0
2018-07-27 10:00:00,NSE:KOPRAN,51.65,52.6,51.15,51.35,20405.0
2018-07-27 11:00:00,NSE:KOPRAN,51.35,51.9,51.2,51.2,8295.0
2018-07-27 12:00:00,NSE:KOPRAN,51.4,51.4,51.2,51.25,3362.0
2018-07-27 13:00:00,NSE:KOPRAN,51.3,51.35,51.0,51.15,3685.0
2018-07-27 14:00:00,NSE:KOPRAN,51.2,51.75,51.0,51.6,9555.0
2018-07-27 15:00:00,NSE:KOPRAN,51.6,51.6,51.05,51.25,8599.0
2018-07-30 09:00:00,NSE:KOPRAN,51.55,52.35,50.65,51.75,12187.0
2018-07-30 10:00:00,NSE:KOPRAN,51.75,52.4,51.0,51.55,11454.0
2018-07-30 11:00:00,NSE:KOPRAN,51.55,53.5,51.5,53.5,45827.0
2018-07-30 12:00:00,NSE:KOPRAN,53.55,54.5,52.9,53.1,57011.0
2018-07-30 13:00:00,NSE:KOPRAN,53.2,53.25,52.75,52.75,4375.0
2018-07-30 14:00:00,NSE:KOPRAN,52.75,53.1,52.55,52.9,5290.0
2018-07-30 15:00:00,NSE:KOPRAN,52.7,53.5,52.45,52.95,17215.0
2018-07-31 09:00:00,NSE:KOPRAN,52.5,54.05,52.5,53.6,15068.0
2018-07-31 10:00:00,NSE:KOPRAN,53.6,53.7,52.35,52.55,12381.0
2018-07-31 11:00:00,NSE:KOPRAN,52.5,53.45,52.5,53.45,8988.0
2018-07-31 12:00:00,NSE:KOPRAN,53.4,54.9,53.1,53.65,44995.0
2018-07-31 13:00:00,NSE:KOPRAN,54.0,54.5,53.5,53.8,8673.0
2018-07-31 14:00:00,NSE:KOPRAN,53.8,53.9,53.5,53.5,8756.0
2018-07-31 15:00:00,NSE:KOPRAN,53.5,53.8,53.3,53.5,11765.0
2018-08-01 09:00:00,NSE:KOPRAN,54.0,54.0,53.5,53.65,7926.0
2018-08-01 10:00:00,NSE:KOPRAN,53.65,54.0,53.0,53.1,16641.0
2018-08-01 11:00:00,NSE:KOPRAN,53.15,53.15,52.5,52.9,5711.0
2018-08-01 12:00:00,NSE:KOPRAN,52.9,53.3,52.1,52.6,8544.0
2018-08-01 13:00:00,NSE:KOPRAN,52.45,52.45,52.05,52.2,4276.0
2018-08-01 14:00:00,NSE:KOPRAN,52.3,52.5,52.3,52.5,2701.0
2018-08-01 15:00:00,NSE:KOPRAN,52.45,53.0,52.45,52.55,8397.0
2018-08-02 09:00:00,NSE:KOPRAN,52.1,53.1,52.1,52.75,14162.0
2018-08-02 10:00:00,NSE:KOPRAN,52.8,55.35,52.8,55.15,100433.0
2018-08-02 11:00:00,NSE:KOPRAN,55.2,57.25,54.3,55.3,277852.0
2018-08-02 12:00:00,NSE:KOPRAN,55.3,55.85,54.7,55.0,96208.0
2018-08-02 13:00:00,NSE:KOPRAN,55.0,55.3,54.7,55.2,11293.0
2018-08-02 14:00:00,NSE:KOPRAN,55.2,55.25,54.7,55.0,12619.0
2018-08-02 15:00:00,NSE:KOPRAN,54.95,55.0,54.5,54.9,28072.0
