datetime,open,high,low,close,volume
2014-09-01 15:00:00,64.25,65.6,64.0,65.05,525845.0
2014-09-02 09:00:00,65.55,67.35,64.4,66.55,1414283.0
2014-09-02 12:00:00,66.6,67.2,64.5,65.3,481725.0
2014-09-02 15:00:00,65.35,65.5,64.9,65.15,220345.0
2014-09-03 09:00:00,65.5,65.8,63.2,63.8,453682.0
2014-09-03 12:00:00,63.75,64.7,63.2,63.8,185289.0
2014-09-03 15:00:00,63.8,64.0,63.05,63.55,118921.0
2014-09-04 09:00:00,63.65,66.8,62.5,65.45,1233252.0
2014-09-04 12:00:00,65.45,66.7,64.5,65.85,584091.0
2014-09-04 15:00:00,65.8,66.15,65.15,65.65,223118.0
2014-09-05 09:00:00,65.1,65.65,62.1,63.1,550271.0
2014-09-05 12:00:00,62.95,63.85,62.5,63.35,362211.0
2014-09-05 15:00:00,63.3,63.65,62.5,63.15,210213.0
2014-09-08 09:00:00,63.45,67.1,63.0,65.5,1190334.0
2014-09-08 12:00:00,65.5,65.95,64.35,65.2,287851.0
2014-09-08 15:00:00,65.3,65.35,64.3,64.65,217315.0
2014-09-09 09:00:00,64.9,65.4,63.3,63.9,320547.0
2014-09-09 12:00:00,63.95,65.5,63.3,64.55,281853.0
2014-09-09 15:00:00,64.55,64.7,64.0,64.3,132458.0
2014-09-10 09:00:00,63.9,66.7,63.9,65.3,822453.0
2014-09-10 12:00:00,65.2,65.45,64.1,64.6,216662.0
2014-09-10 15:00:00,64.3,64.5,63.55,64.1,143408.0
2014-09-11 09:00:00,64.35,65.8,64.1,64.75,319699.0
2014-09-11 12:00:00,64.55,65.75,64.4,64.9,182592.0
2014-09-11 15:00:00,64.85,64.95,64.15,64.5,121030.0
2014-09-12 09:00:00,64.6,66.55,64.0,65.5,689438.0
2014-09-12 12:00:00,65.6,66.35,65.0,65.45,275971.0
2014-09-12 15:00:00,65.4,65.65,64.55,64.95,172759.0
2014-09-15 09:00:00,64.6,71.35,64.2,69.8,2629852.0
2014-09-15 12:00:00,69.9,71.8,69.05,70.2,899504.0
2014-09-15 15:00:00,70.25,70.6,69.65,70.0,412912.0
2014-09-16 09:00:00,70.7,72.65,70.6,70.95,1078611.0
2014-09-16 12:00:00,70.95,71.0,63.0,64.65,934494.0
2014-09-16 15:00:00,64.7,64.9,63.4,63.9,241089.0
2014-09-17 09:00:00,64.95,66.45,63.6,65.55,624661.0
2014-09-17 12:00:00,65.55,66.8,64.65,66.1,356617.0
2014-09-17 15:00:00,66.05,66.45,65.85,66.1,132477.0
2014-09-18 09:00:00,66.9,71.5,65.6,70.65,1306183.0
2014-09-18 12:00:00,70.65,70.65,68.6,68.75,330121.0
2014-09-18 15:00:00,68.75,70.0,68.6,69.55,184248.0
2014-09-19 09:00:00,69.95,70.4,68.0,68.55,456477.0
2014-09-19 12:00:00,68.5,68.65,67.55,68.15,217674.0
2014-09-19 15:00:00,68.1,68.25,67.5,67.9,108282.0
2014-09-22 09:00:00,66.0,71.2,66.0,69.45,532335.0
2014-09-22 12:00:00,69.35,69.85,68.5,68.6,158202.0
2014-09-22 15:00:00,68.7,69.6,68.15,68.8,133953.0
2014-09-23 09:00:00,69.5,71.05,68.5,68.9,289885.0
2014-09-23 12:00:00,68.8,69.1,66.0,66.25,180228.0
2014-09-23 15:00:00,66.2,67.1,65.75,66.35,113413.0
2014-09-24 09:00:00,66.75,67.6,64.0,65.0,316532.0
2014-09-24 12:00:00,65.0,65.0,63.0,64.55,199909.0
2014-09-24 15:00:00,64.6,65.0,63.75,64.55,86996.0
2014-09-25 09:00:00,65.5,65.7,60.8,62.55,287446.0
2014-09-25 12:00:00,62.75,63.0,61.35,61.8,127783.0
2014-09-25 15:00:00,61.8,62.9,61.0,61.75,125808.0
2014-09-26 09:00:00,61.95,63.3,59.55,61.5,326181.0
2014-09-26 12:00:00,61.4,63.0,60.25,62.65,452987.0
2014-09-26 15:00:00,62.65,63.8,62.55,62.95,144064.0
2014-09-29 09:00:00,64.2,70.0,64.2,68.6,946022.0
2014-09-29 12:00:00,68.5,69.1,66.7,66.95,284275.0
2014-09-29 15:00:00,66.85,67.65,66.25,67.15,176646.0
2014-09-30 09:00:00,67.2,69.2,66.2,67.85,517526.0
2014-09-30 12:00:00,67.85,68.6,66.2,66.8,194603.0
2014-09-30 15:00:00,66.8,67.65,66.7,67.2,101410.0
2014-10-01 09:00:00,67.55,68.8,66.7,66.9,234508.0
2014-10-01 12:00:00,66.9,67.2,66.4,66.65,113279.0
2014-10-01 15:00:00,66.65,66.9,66.25,66.5,77229.0
2014-10-07 09:00:00,66.85,67.3,65.55,66.0,133228.0
2014-10-07 12:00:00,66.0,66.45,64.8,65.0,83376.0
2014-10-07 15:00:00,65.0,65.2,64.2,64.35,59307.0
2014-10-08 09:00:00,64.2,64.7,62.0,62.7,201010.0
2014-10-08 12:00:00,62.65,63.6,62.25,63.3,169553.0
2014-10-08 15:00:00,63.4,63.45,62.6,62.95,63647.0
2014-10-09 09:00:00,63.0,65.1,63.0,63.95,149890.0
2014-10-09 12:00:00,64.05,65.4,63.6,64.6,127789.0
2014-10-09 15:00:00,64.55,64.65,64.15,64.35,70621.0
2014-10-10 09:00:00,63.9,64.7,62.5,64.2,199527.0
2014-10-10 12:00:00,64.2,64.2,62.7,62.7,61301.0
2014-10-10 15:00:00,62.9,62.9,62.05,62.25,85729.0
2014-10-13 09:00:00,61.8,62.9,61.3,61.8,137715.0
2014-10-13 12:00:00,62.0,63.35,61.8,62.35,103855.0
2014-10-13 15:00:00,62.45,62.65,62.15,62.35,53996.0
2014-10-14 09:00:00,62.1,64.3,62.1,62.8,218211.0
2014-10-14 12:00:00,62.95,63.1,62.4,62.8,109666.0
2014-10-14 15:00:00,62.8,62.8,61.5,62.05,80580.0
2014-10-16 09:00:00,62.0,62.6,61.0,61.5,188216.0
2014-10-16 12:00:00,61.5,62.35,58.3,58.5,192544.0
2014-10-16 15:00:00,58.35,58.85,56.15,57.95,117934.0
2014-10-17 09:00:00,58.0,59.3,57.55,58.6,139519.0
2014-10-17 12:00:00,58.5,59.1,58.25,58.3,107913.0
2014-10-17 15:00:00,58.4,58.7,57.35,57.75,48980.0
2014-10-20 09:00:00,59.4,60.25,58.7,59.0,144226.0
2014-10-20 12:00:00,59.0,59.15,57.7,58.1,67042.0
2014-10-20 15:00:00,58.15,58.25,57.65,57.85,39128.0
2014-10-21 09:00:00,58.0,59.15,57.5,58.05,111675.0
2014-10-21 12:00:00,58.05,58.2,57.05,57.5,55168.0
2014-10-21 15:00:00,57.2,58.25,57.2,57.7,41093.0
2014-10-22 09:00:00,58.9,59.4,57.6,58.35,159009.0
2014-10-22 12:00:00,58.35,58.5,57.4,58.05,69025.0
2014-10-22 15:00:00,58.05,58.15,57.75,57.95,41526.0
2014-10-27 09:00:00,58.45,62.15,57.75,61.0,406428.0
2014-10-27 12:00:00,60.9,62.8,60.65,61.2,224727.0
2014-10-27 15:00:00,61.2,61.8,60.9,61.3,93653.0
2014-10-28 09:00:00,61.0,61.8,60.45,60.85,121846.0
2014-10-28 12:00:00,60.75,63.2,60.7,62.15,200850.0
2014-10-28 15:00:00,62.2,62.6,61.8,62.25,80227.0
2014-10-29 09:00:00,62.7,64.2,61.5,62.45,319194.0
2014-10-29 12:00:00,62.1,63.0,61.75,61.95,136175.0
2014-10-29 15:00:00,61.75,62.3,61.4,61.75,72022.0
2014-10-30 09:00:00,61.9,62.35,61.25,61.6,131683.0
2014-10-30 12:00:00,61.5,61.6,60.5,60.65,125210.0
2014-10-30 15:00:00,60.8,61.35,60.6,60.9,58031.0
2014-10-31 09:00:00,61.0,62.7,61.0,62.3,182049.0
2014-10-31 12:00:00,62.3,62.5,60.8,60.85,133958.0
2014-10-31 15:00:00,60.9,61.1,60.3,60.7,64467.0
2014-11-03 09:00:00,60.75,62.45,60.75,61.85,161945.0
2014-11-03 12:00:00,61.8,63.7,61.6,62.8,320902.0
2014-11-03 15:00:00,62.75,63.0,62.15,62.6,75766.0
2014-11-05 09:00:00,63.3,63.3,61.6,62.15,172039.0
2014-11-05 12:00:00,62.1,62.4,61.65,61.65,61075.0
2014-11-05 15:00:00,61.8,61.8,60.95,61.25,59291.0
2014-11-07 09:00:00,60.75,66.0,60.4,65.1,824619.0
2014-11-07 12:00:00,65.0,65.4,63.6,63.65,312281.0
2014-11-07 15:00:00,63.7,63.7,63.1,63.4,137553.0
2014-11-10 09:00:00,63.8,65.85,63.1,64.85,512793.0
2014-11-10 12:00:00,64.9,67.7,64.7,67.45,880955.0
2014-11-10 15:00:00,67.55,68.85,67.25,68.2,558328.0
2014-11-11 09:00:00,69.75,70.45,68.6,68.6,1605969.0
2014-11-11 12:00:00,68.6,69.05,68.1,68.15,308477.0
2014-11-11 15:00:00,68.25,68.35,66.1,67.15,332839.0
2014-11-12 09:00:00,67.05,67.65,66.15,66.85,292526.0
2014-11-12 12:00:00,67.0,69.0,66.3,67.15,428352.0
2014-11-12 15:00:00,67.15,67.25,65.95,66.55,165597.0
2014-11-13 09:00:00,63.0,63.0,60.25,61.55,558006.0
2014-11-13 12:00:00,61.4,61.6,60.2,60.45,251410.0
2014-11-13 15:00:00,60.5,60.6,59.8,60.25,140375.0
2014-11-14 09:00:00,60.9,61.7,60.5,60.95,161889.0
2014-11-14 12:00:00,60.8,60.9,59.0,59.15,161242.0
2014-11-14 15:00:00,59.3,60.1,59.05,59.25,104594.0
2014-11-17 09:00:00,59.55,60.25,55.2,58.9,327230.0
2014-11-17 12:00:00,58.8,59.25,57.8,58.0,188431.0
2014-11-17 15:00:00,57.95,58.2,57.5,57.85,107346.0
2014-11-18 09:00:00,58.15,60.95,57.9,59.6,485487.0
2014-11-18 12:00:00,59.65,60.55,59.45,60.15,145074.0
2014-11-18 15:00:00,60.0,60.45,59.65,60.0,118668.0
2014-11-19 09:00:00,60.5,61.3,59.7,60.0,225898.0
2014-11-19 12:00:00,59.95,60.2,58.0,58.45,115286.0
2014-11-19 15:00:00,58.45,58.9,58.3,58.7,53245.0
2014-11-20 09:00:00,58.1,59.1,57.9,58.0,154280.0
2014-11-20 12:00:00,58.15,61.85,57.55,60.35,437062.0
2014-11-20 15:00:00,60.45,60.65,59.55,60.2,219471.0
2014-11-21 09:00:00,60.45,60.8,59.2,59.7,216984.0
2014-11-21 12:00:00,59.7,59.95,59.2,59.4,88299.0
2014-11-21 15:00:00,59.5,59.5,58.5,59.0,74449.0
2014-11-24 09:00:00,59.1,59.9,58.3,59.25,180515.0
2014-11-24 12:00:00,59.2,59.45,58.4,58.5,79214.0
2014-11-24 15:00:00,58.4,58.45,57.5,57.65,74148.0
2014-11-25 09:00:00,58.35,59.2,56.0,56.7,156006.0
2014-11-25 12:00:00,56.65,56.9,55.5,55.9,102988.0
2014-11-25 15:00:00,55.95,56.3,55.65,56.0,54504.0
2014-11-26 09:00:00,56.4,57.55,56.1,56.85,95823.0
2014-11-26 12:00:00,56.85,57.1,56.2,56.25,56332.0
2014-11-26 15:00:00,56.25,56.65,56.25,56.45,35572.0
2014-11-27 09:00:00,62.5,64.7,60.65,61.2,1090647.0
2014-11-27 12:00:00,61.3,61.9,60.5,60.95,289471.0
2014-11-27 15:00:00,60.95,61.0,60.1,60.65,224534.0
2014-11-28 09:00:00,60.9,61.25,60.35,60.4,198911.0
2014-11-28 12:00:00,60.4,60.5,58.1,58.6,216335.0
2014-11-28 15:00:00,58.4,59.0,58.35,58.7,69947.0
2014-12-01 09:00:00,58.8,59.5,57.7,58.65,148322.0
2014-12-01 12:00:00,58.65,58.85,57.8,58.15,80357.0
2014-12-01 15:00:00,58.2,58.45,58.05,58.2,40326.0
2014-12-02 09:00:00,57.6,59.5,57.6,58.55,143744.0
2014-12-02 12:00:00,58.55,58.95,58.2,58.75,48263.0
2014-12-02 15:00:00,58.8,59.0,58.15,58.65,43862.0
2014-12-03 09:00:00,59.0,59.9,58.2,58.7,146617.0
2014-12-03 12:00:00,58.7,59.6,58.45,58.7,126349.0
