datetime,symbol,open,high,low,close,volume
2020-01-08 14:00:00,NSE:MIRZAINT,57.35,57.5,57.05,57.1,3128.0
2020-01-08 14:30:00,NSE:MIRZAINT,57.1,58.0,57.1,57.65,25317.0
2020-01-08 15:00:00,NSE:MIRZAINT,57.65,58.2,57.35,57.35,68359.0
2020-01-08 15:30:00,NSE:MIRZAINT,57.75,57.75,57.75,57.75,4.0
2020-01-09 09:00:00,NSE:MIRZAINT,58.95,58.95,58.2,58.45,41980.0
2020-01-09 09:30:00,NSE:MIRZAINT,58.4,59.2,58.1,58.7,52517.0
2020-01-09 10:00:00,NSE:MIRZAINT,58.8,59.85,58.55,59.3,91758.0
2020-01-09 10:30:00,NSE:MIRZAINT,59.35,59.8,59.1,59.2,36257.0
2020-01-09 11:00:00,NSE:MIRZAINT,59.3,59.4,59.1,59.3,11019.0
2020-01-09 11:30:00,NSE:MIRZAINT,59.35,59.5,59.0,59.35,9024.0
2020-01-09 12:00:00,NSE:MIRZAINT,59.4,59.4,59.2,59.3,6757.0
2020-01-09 12:30:00,NSE:MIRZAINT,59.3,59.3,59.1,59.15,5174.0
2020-01-09 13:00:00,NSE:MIRZAINT,59.25,59.45,59.15,59.25,5292.0
2020-01-09 13:30:00,NSE:MIRZAINT,59.1,59.4,58.75,58.8,15052.0
2020-01-09 14:00:00,NSE:MIRZAINT,58.8,59.15,58.7,58.85,18686.0
2020-01-09 14:30:00,NSE:MIRZAINT,58.8,59.15,58.7,59.15,13665.0
2020-01-09 15:00:00,NSE:MIRZAINT,59.1,59.1,58.6,58.65,38028.0
2020-01-09 15:30:00,NSE:MIRZAINT,58.85,58.85,58.85,58.85,50.0
2020-01-10 09:00:00,NSE:MIRZAINT,58.7,59.6,58.65,59.0,9193.0
2020-01-10 09:30:00,NSE:MIRZAINT,58.9,59.75,58.8,59.55,22938.0
2020-01-10 10:00:00,NSE:MIRZAINT,59.65,59.9,59.3,59.85,25742.0
2020-01-10 10:30:00,NSE:MIRZAINT,59.65,60.5,59.45,60.15,77383.0
2020-01-10 11:00:00,NSE:MIRZAINT,60.15,60.35,59.25,60.1,34673.0
2020-01-10 11:30:00,NSE:MIRZAINT,60.1,60.7,60.0,60.0,89809.0
2020-01-10 12:00:00,NSE:MIRZAINT,60.0,60.25,59.7,59.9,13062.0
2020-01-10 12:30:00,NSE:MIRZAINT,59.95,60.2,59.85,59.85,4025.0
2020-01-10 13:00:00,NSE:MIRZAINT,59.8,60.35,59.55,59.8,19015.0
2020-01-10 13:30:00,NSE:MIRZAINT,59.75,59.85,59.3,59.65,21343.0
2020-01-10 14:00:00,NSE:MIRZAINT,59.5,60.15,59.15,59.15,35504.0
2020-01-10 14:30:00,NSE:MIRZAINT,59.1,59.4,58.45,58.85,33447.0
2020-01-10 15:00:00,NSE:MIRZAINT,58.75,59.95,58.75,59.3,100357.0
