datetime,symbol,open,high,low,close,volume
2020-12-18 13:33:00,NSE:NIRAJ,48.45,48.45,48.45,48.45,145.0
2020-12-18 13:34:00,NSE:NIRAJ,48.5,48.5,48.5,48.5,500.0
2020-12-18 13:48:00,NSE:NIRAJ,48.7,48.7,48.7,48.7,50.0
2020-12-18 13:49:00,NSE:NIRAJ,46.7,46.7,46.7,46.7,46.0
2020-12-18 13:51:00,NSE:NIRAJ,48.7,48.75,48.7,48.75,50.0
2020-12-18 14:49:00,NSE:NIRAJ,48.95,49.0,48.95,49.0,22.0
2020-12-18 14:50:00,NSE:NIRAJ,50.4,50.4,50.4,50.4,2000.0
2020-12-18 14:53:00,NSE:NIRAJ,50.4,50.4,50.4,50.4,500.0
2020-12-18 14:58:00,NSE:NIRAJ,50.4,50.4,50.4,50.4,4000.0
2020-12-18 15:24:00,NSE:NIRAJ,50.35,50.35,50.35,50.35,9.0
2020-12-21 09:07:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,100.0
2020-12-21 09:22:00,NSE:NIRAJ,49.95,49.95,49.95,49.95,1.0
2020-12-21 09:26:00,NSE:NIRAJ,48.75,48.75,48.75,48.75,100.0
2020-12-21 09:27:00,NSE:NIRAJ,48.75,48.75,48.75,48.75,900.0
2020-12-21 09:38:00,NSE:NIRAJ,47.85,47.85,47.85,47.85,200.0
2020-12-21 09:40:00,NSE:NIRAJ,47.85,47.85,47.85,47.85,200.0
2020-12-21 09:47:00,NSE:NIRAJ,47.85,47.85,47.85,47.85,100.0
2020-12-21 09:50:00,NSE:NIRAJ,47.85,47.85,47.85,47.85,2.0
2020-12-21 10:29:00,NSE:NIRAJ,50.5,50.5,50.5,50.5,48.0
2020-12-21 10:46:00,NSE:NIRAJ,50.0,50.0,50.0,50.0,20.0
2020-12-21 11:03:00,NSE:NIRAJ,50.0,50.0,50.0,50.0,2.0
2020-12-21 11:42:00,NSE:NIRAJ,50.0,50.0,50.0,50.0,2.0
2020-12-21 11:51:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,100.0
2020-12-21 12:50:00,NSE:NIRAJ,49.85,49.85,49.85,49.85,1.0
2020-12-21 13:09:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,8.0
2020-12-21 13:10:00,NSE:NIRAJ,47.9,47.9,47.9,47.9,42.0
2020-12-21 14:40:00,NSE:NIRAJ,47.85,47.85,47.85,47.85,200.0
2020-12-21 14:52:00,NSE:NIRAJ,49.0,49.0,49.0,49.0,1.0
2020-12-21 15:18:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,100.0
2020-12-21 15:20:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,100.0
2020-12-22 11:23:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,1.0
2020-12-22 11:39:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,561.0
2020-12-22 11:45:00,NSE:NIRAJ,48.05,48.05,48.05,48.05,100.0
2020-12-22 12:21:00,NSE:NIRAJ,47.0,47.0,47.0,47.0,100.0
2020-12-22 13:04:00,NSE:NIRAJ,48.05,48.05,48.05,48.05,1.0
2020-12-22 13:53:00,NSE:NIRAJ,47.9,47.9,47.9,47.9,1.0
2020-12-22 14:00:00,NSE:NIRAJ,47.85,47.85,47.85,47.85,139.0
2020-12-22 14:01:00,NSE:NIRAJ,47.9,47.9,47.9,47.9,499.0
2020-12-22 14:48:00,NSE:NIRAJ,47.9,47.9,47.9,47.9,1.0
2020-12-22 14:54:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,1.0
2020-12-22 15:04:00,NSE:NIRAJ,48.0,48.0,48.0,48.0,1.0
2020-12-23 10:49:00,NSE:NIRAJ,45.6,45.6,45.6,45.6,100.0
2020-12-23 10:56:00,NSE:NIRAJ,45.6,45.6,45.6,45.6,1.0
2020-12-23 11:47:00,NSE:NIRAJ,47.9,47.9,47.9,47.9,1.0
2020-12-23 12:09:00,NSE:NIRAJ,45.6,45.6,45.6,45.6,17.0
2020-12-23 12:41:00,NSE:NIRAJ,47.8,47.8,47.8,47.8,1.0
2020-12-23 12:51:00,NSE:NIRAJ,47.8,47.8,47.8,47.8,5.0
2020-12-23 13:36:00,NSE:NIRAJ,47.8,47.8,47.8,47.8,50.0
2020-12-23 13:45:00,NSE:NIRAJ,45.6,45.6,45.6,45.6,50.0
2020-12-23 14:09:00,NSE:NIRAJ,47.0,47.0,47.0,47.0,500.0
2020-12-23 14:10:00,NSE:NIRAJ,47.0,47.0,47.0,47.0,500.0
2020-12-23 15:28:00,NSE:NIRAJ,47.7,47.7,47.7,47.7,2.0
2020-12-23 15:29:00,NSE:NIRAJ,45.6,45.6,45.6,45.6,50.0
2020-12-24 09:31:00,NSE:NIRAJ,46.65,46.65,46.65,46.65,3.0
2020-12-24 10:03:00,NSE:NIRAJ,47.9,47.9,47.9,47.9,100.0
2020-12-24 10:09:00,NSE:NIRAJ,46.65,46.65,46.65,46.65,10.0
2020-12-24 10:43:00,NSE:NIRAJ,47.9,47.9,47.9,47.9,354.0
2020-12-24 10:46:00,NSE:NIRAJ,47.95,47.95,47.95,47.95,1452.0
