datetime,symbol,open,high,low,close,volume
2021-04-23 10:03:00,NSE:NUCLEUS,543.0,543.1,542.75,543.05,364.0
2021-04-23 10:06:00,NSE:NUCLEUS,542.8,543.25,541.25,542.4,582.0
2021-04-23 10:09:00,NSE:NUCLEUS,542.5,542.95,541.65,542.7,110.0
2021-04-23 10:12:00,NSE:NUCLEUS,542.55,542.55,540.65,541.85,302.0
2021-04-23 10:15:00,NSE:NUCLEUS,541.9,542.0,540.8,542.0,105.0
2021-04-23 10:18:00,NSE:NUCLEUS,542.0,542.2,540.85,541.5,164.0
2021-04-23 10:21:00,NSE:NUCLEUS,541.5,541.5,539.3,540.6,673.0
2021-04-23 10:24:00,NSE:NUCLEUS,540.6,541.45,540.45,540.45,110.0
2021-04-23 10:27:00,NSE:NUCLEUS,541.0,541.5,540.4,541.35,204.0
2021-04-23 10:30:00,NSE:NUCLEUS,541.35,542.25,541.35,542.25,398.0
2021-04-23 10:33:00,NSE:NUCLEUS,542.25,542.25,541.5,541.5,98.0
2021-04-23 10:36:00,NSE:NUCLEUS,542.0,542.0,540.3,541.25,163.0
2021-04-23 10:39:00,NSE:NUCLEUS,541.4,541.4,539.35,539.75,209.0
2021-04-23 10:42:00,NSE:NUCLEUS,539.95,539.95,538.25,539.0,625.0
2021-04-23 10:45:00,NSE:NUCLEUS,539.2,540.0,538.1,540.0,249.0
2021-04-23 10:48:00,NSE:NUCLEUS,540.0,541.1,539.0,541.1,233.0
2021-04-23 10:51:00,NSE:NUCLEUS,541.05,542.2,541.05,542.05,1350.0
2021-04-23 10:54:00,NSE:NUCLEUS,542.05,542.05,541.05,542.05,103.0
2021-04-23 10:57:00,NSE:NUCLEUS,542.05,542.05,540.95,540.95,250.0
2021-04-23 11:00:00,NSE:NUCLEUS,542.05,542.05,541.35,542.0,180.0
2021-04-23 11:03:00,NSE:NUCLEUS,542.0,542.05,542.0,542.05,95.0
2021-04-23 11:06:00,NSE:NUCLEUS,542.05,542.05,541.4,541.75,188.0
