datetime,symbol,open,high,low,close,volume
2021-05-20 09:55:00,NSE:PATINTLOG,30.6,30.65,30.6,30.6,3600.0
2021-05-20 09:56:00,NSE:PATINTLOG,30.6,30.6,30.55,30.6,800.0
2021-05-20 09:57:00,NSE:PATINTLOG,30.6,30.75,30.55,30.75,4336.0
2021-05-20 09:58:00,NSE:PATINTLOG,30.75,30.8,30.75,30.75,14355.0
2021-05-20 09:59:00,NSE:PATINTLOG,30.7,30.8,30.7,30.8,1204.0
2021-05-20 10:00:00,NSE:PATINTLOG,30.7,30.75,30.7,30.7,1483.0
2021-05-20 10:01:00,NSE:PATINTLOG,30.7,30.75,30.7,30.75,3811.0
2021-05-20 10:02:00,NSE:PATINTLOG,30.7,30.7,30.7,30.7,1364.0
2021-05-20 10:03:00,NSE:PATINTLOG,30.75,30.75,30.6,30.6,1950.0
2021-05-20 10:04:00,NSE:PATINTLOG,30.6,30.6,30.6,30.6,900.0
2021-05-20 10:05:00,NSE:PATINTLOG,30.6,30.6,30.55,30.55,2108.0
2021-05-20 10:06:00,NSE:PATINTLOG,30.7,31.0,30.7,30.85,5302.0
2021-05-20 10:07:00,NSE:PATINTLOG,30.8,31.5,30.8,31.15,12389.0
2021-05-20 10:08:00,NSE:PATINTLOG,31.45,31.45,31.15,31.25,2260.0
2021-05-20 10:09:00,NSE:PATINTLOG,31.3,31.3,31.15,31.2,1656.0
2021-05-20 10:10:00,NSE:PATINTLOG,31.1,31.2,31.1,31.1,999.0
2021-05-20 10:11:00,NSE:PATINTLOG,31.1,31.2,31.0,31.0,2531.0
2021-05-20 10:12:00,NSE:PATINTLOG,31.0,31.2,31.0,31.2,1125.0
2021-05-20 10:13:00,NSE:PATINTLOG,30.8,31.45,30.8,31.35,8182.0
2021-05-20 10:14:00,NSE:PATINTLOG,31.0,31.05,31.0,31.0,1235.0
2021-05-20 10:15:00,NSE:PATINTLOG,31.0,31.0,30.7,30.75,8551.0
2021-05-20 10:16:00,NSE:PATINTLOG,30.75,30.75,30.5,30.5,2946.0
2021-05-20 10:17:00,NSE:PATINTLOG,30.65,30.8,30.6,30.8,750.0
2021-05-20 10:18:00,NSE:PATINTLOG,30.8,30.8,30.8,30.8,3946.0
2021-05-20 10:19:00,NSE:PATINTLOG,30.9,31.05,30.9,31.05,1489.0
2021-05-20 10:20:00,NSE:PATINTLOG,31.2,31.3,31.0,31.3,1700.0
2021-05-20 10:21:00,NSE:PATINTLOG,31.1,31.3,31.1,31.3,1689.0
2021-05-20 10:22:00,NSE:PATINTLOG,31.3,31.3,31.15,31.25,1398.0
2021-05-20 10:23:00,NSE:PATINTLOG,31.25,31.3,31.25,31.3,1220.0
2021-05-20 10:24:00,NSE:PATINTLOG,31.3,31.3,31.25,31.25,1334.0
2021-05-20 10:25:00,NSE:PATINTLOG,31.35,31.35,31.2,31.35,3140.0
2021-05-20 10:26:00,NSE:PATINTLOG,31.3,31.3,31.1,31.1,480.0
2021-05-20 10:27:00,NSE:PATINTLOG,31.3,31.35,31.15,31.3,1011.0
2021-05-20 10:28:00,NSE:PATINTLOG,31.3,31.4,30.9,31.4,6427.0
2021-05-20 10:29:00,NSE:PATINTLOG,31.35,31.4,31.05,31.3,3179.0
2021-05-20 10:30:00,NSE:PATINTLOG,31.3,31.3,31.25,31.25,3171.0
2021-05-20 10:31:00,NSE:PATINTLOG,31.3,31.4,31.25,31.25,6557.0
2021-05-20 10:32:00,NSE:PATINTLOG,31.25,31.3,31.25,31.25,700.0
2021-05-20 10:33:00,NSE:PATINTLOG,31.3,31.3,31.25,31.25,3111.0
2021-05-20 10:34:00,NSE:PATINTLOG,31.45,31.45,31.4,31.4,1040.0
2021-05-20 10:35:00,NSE:PATINTLOG,31.35,31.35,31.35,31.35,1280.0
2021-05-20 10:36:00,NSE:PATINTLOG,31.4,31.45,31.35,31.45,1675.0
2021-05-20 10:37:00,NSE:PATINTLOG,31.45,31.85,31.2,31.85,19606.0
2021-05-20 10:38:00,NSE:PATINTLOG,31.85,31.85,31.75,31.75,2481.0
2021-05-20 10:39:00,NSE:PATINTLOG,31.45,31.85,31.45,31.8,6109.0
2021-05-20 10:40:00,NSE:PATINTLOG,31.75,31.85,31.75,31.8,4544.0
2021-05-20 10:41:00,NSE:PATINTLOG,31.8,31.85,31.75,31.8,5714.0
2021-05-20 10:42:00,NSE:PATINTLOG,31.7,31.8,31.7,31.8,1356.0
2021-05-20 10:43:00,NSE:PATINTLOG,31.75,31.75,31.75,31.75,1676.0
2021-05-20 10:44:00,NSE:PATINTLOG,31.55,31.55,31.45,31.45,245.0
2021-05-20 10:45:00,NSE:PATINTLOG,31.6,31.75,31.55,31.75,560.0
2021-05-20 10:46:00,NSE:PATINTLOG,31.7,31.8,31.7,31.8,1769.0
2021-05-20 10:47:00,NSE:PATINTLOG,31.8,31.85,31.8,31.85,15209.0
2021-05-20 10:48:00,NSE:PATINTLOG,31.8,32.0,31.8,31.95,18233.0
2021-05-20 10:49:00,NSE:PATINTLOG,31.95,31.95,31.9,31.9,14.0
2021-05-20 10:50:00,NSE:PATINTLOG,31.9,31.9,31.9,31.9,134.0
2021-05-20 10:51:00,NSE:PATINTLOG,31.9,31.95,31.9,31.9,12246.0
2021-05-20 10:52:00,NSE:PATINTLOG,31.95,32.0,31.9,32.0,2095.0
2021-05-20 10:53:00,NSE:PATINTLOG,32.0,32.0,31.9,31.95,6698.0
2021-05-20 10:54:00,NSE:PATINTLOG,31.9,31.95,31.9,31.9,1602.0
2021-05-20 10:55:00,NSE:PATINTLOG,31.9,31.9,31.9,31.9,115.0
2021-05-20 10:56:00,NSE:PATINTLOG,31.9,31.95,31.85,31.9,11347.0
2021-05-20 10:57:00,NSE:PATINTLOG,31.8,31.8,31.7,31.8,627.0
2021-05-20 10:58:00,NSE:PATINTLOG,31.7,31.8,31.6,31.6,2425.0
2021-05-20 10:59:00,NSE:PATINTLOG,31.55,31.7,31.55,31.6,2555.0
2021-05-20 11:00:00,NSE:PATINTLOG,31.6,31.6,31.6,31.6,3140.0
2021-05-20 11:01:00,NSE:PATINTLOG,31.55,31.6,31.5,31.5,5041.0
2021-05-20 11:02:00,NSE:PATINTLOG,31.55,31.55,31.25,31.3,1984.0
2021-05-20 11:03:00,NSE:PATINTLOG,31.1,31.25,31.05,31.05,4101.0
2021-05-20 11:04:00,NSE:PATINTLOG,31.05,31.1,30.95,31.05,5906.0
2021-05-20 11:05:00,NSE:PATINTLOG,31.05,31.7,31.05,31.7,2762.0
2021-05-20 11:06:00,NSE:PATINTLOG,31.7,31.75,31.25,31.6,10851.0
2021-05-20 11:07:00,NSE:PATINTLOG,31.8,31.8,31.25,31.25,4812.0
2021-05-20 11:08:00,NSE:PATINTLOG,31.6,31.6,31.35,31.35,2201.0
2021-05-20 11:09:00,NSE:PATINTLOG,31.4,31.4,31.4,31.4,50.0
2021-05-20 11:10:00,NSE:PATINTLOG,31.85,31.85,31.7,31.8,6232.0
2021-05-20 11:11:00,NSE:PATINTLOG,31.75,31.75,31.6,31.65,222.0
2021-05-20 11:12:00,NSE:PATINTLOG,31.65,31.65,31.65,31.65,390.0
2021-05-20 11:13:00,NSE:PATINTLOG,31.7,31.75,31.7,31.75,1891.0
2021-05-20 11:14:00,NSE:PATINTLOG,31.7,31.7,31.55,31.55,1838.0
2021-05-20 11:15:00,NSE:PATINTLOG,31.5,31.5,31.4,31.4,3244.0
2021-05-20 11:16:00,NSE:PATINTLOG,31.4,31.4,31.35,31.35,420.0
2021-05-20 11:17:00,NSE:PATINTLOG,31.35,31.8,31.35,31.8,6697.0
2021-05-20 11:18:00,NSE:PATINTLOG,31.65,31.7,31.65,31.7,2700.0
2021-05-20 11:19:00,NSE:PATINTLOG,31.8,31.85,31.8,31.85,6027.0
2021-05-20 11:20:00,NSE:PATINTLOG,31.85,31.95,31.85,31.95,3820.0
2021-05-20 11:21:00,NSE:PATINTLOG,31.9,31.9,31.9,31.9,10.0
2021-05-20 11:22:00,NSE:PATINTLOG,31.9,31.9,31.9,31.9,250.0
