datetime,symbol,open,high,low,close,volume
2017-07-24 11:00:00,NSE:PRECOT,70.5,70.5,70.5,70.5,284.0
2017-07-24 12:00:00,NSE:PRECOT,73.55,73.55,73.55,73.55,1.0
2017-07-24 13:00:00,NSE:PRECOT,70.7,70.7,70.7,70.7,100.0
2017-07-24 14:00:00,NSE:PRECOT,70.65,71.75,70.65,71.75,350.0
2017-07-24 15:00:00,NSE:PRECOT,72.0,75.95,72.0,75.95,1900.0
2017-07-25 11:00:00,NSE:PRECOT,75.0,75.0,73.0,73.0,1150.0
2017-07-25 13:00:00,NSE:PRECOT,75.0,75.0,75.0,75.0,2138.0
2017-07-25 14:00:00,NSE:PRECOT,75.0,75.0,75.0,75.0,50.0
2017-07-25 15:00:00,NSE:PRECOT,75.7,77.95,75.7,76.45,1952.0
2017-07-26 09:00:00,NSE:PRECOT,76.05,78.0,76.05,78.0,530.0
2017-07-26 11:00:00,NSE:PRECOT,76.05,76.05,76.05,76.05,200.0
2017-07-26 13:00:00,NSE:PRECOT,78.0,78.0,78.0,78.0,1214.0
2017-07-26 14:00:00,NSE:PRECOT,78.0,78.7,78.0,78.0,510.0
2017-07-26 15:00:00,NSE:PRECOT,78.65,78.65,78.0,78.65,1280.0
2017-07-27 09:00:00,NSE:PRECOT,78.5,78.5,78.5,78.5,10.0
2017-07-27 11:00:00,NSE:PRECOT,76.3,76.3,76.3,76.3,50.0
2017-07-27 12:00:00,NSE:PRECOT,76.4,76.4,76.4,76.4,250.0
2017-07-27 13:00:00,NSE:PRECOT,76.4,76.4,76.4,76.4,228.0
2017-07-27 14:00:00,NSE:PRECOT,76.05,76.05,74.15,74.15,1110.0
2017-07-27 15:00:00,NSE:PRECOT,74.15,74.15,74.15,74.15,288.0
2017-07-28 13:00:00,NSE:PRECOT,74.1,74.1,74.1,74.1,100.0
2017-07-28 14:00:00,NSE:PRECOT,74.1,74.15,74.1,74.1,224.0
2017-07-31 09:00:00,NSE:PRECOT,74.05,74.05,74.05,74.05,150.0
2017-07-31 11:00:00,NSE:PRECOT,74.05,74.1,74.05,74.05,1046.0
2017-07-31 12:00:00,NSE:PRECOT,74.0,74.0,74.0,74.0,250.0
2017-07-31 13:00:00,NSE:PRECOT,74.0,74.0,74.0,74.0,249.0
2017-07-31 15:00:00,NSE:PRECOT,73.0,73.0,73.0,73.0,103.0
2017-08-01 10:00:00,NSE:PRECOT,72.05,72.05,72.05,72.05,497.0
2017-08-01 13:00:00,NSE:PRECOT,72.1,72.1,70.05,71.0,1255.0
2017-08-01 15:00:00,NSE:PRECOT,70.05,70.05,69.3,69.3,795.0
2017-08-02 09:00:00,NSE:PRECOT,68.05,69.95,68.05,69.95,54.0
2017-08-02 10:00:00,NSE:PRECOT,70.0,71.95,70.0,71.95,1000.0
2017-08-02 11:00:00,NSE:PRECOT,72.0,72.0,72.0,72.0,50.0
2017-08-02 12:00:00,NSE:PRECOT,73.5,75.95,73.5,75.95,1642.0
2017-08-02 13:00:00,NSE:PRECOT,75.0,77.0,75.0,77.0,3843.0
2017-08-02 14:00:00,NSE:PRECOT,77.0,77.0,77.0,77.0,151.0
2017-08-02 15:00:00,NSE:PRECOT,77.0,77.0,76.95,76.95,1240.0
2017-08-03 09:00:00,NSE:PRECOT,81.0,81.0,77.25,78.2,4016.0
2017-08-03 10:00:00,NSE:PRECOT,78.1,79.95,78.05,79.95,982.0
2017-08-03 11:00:00,NSE:PRECOT,79.0,79.85,78.05,79.5,2478.0
2017-08-03 12:00:00,NSE:PRECOT,79.5,81.9,78.0,78.0,5241.0
2017-08-03 13:00:00,NSE:PRECOT,77.0,78.0,76.05,78.0,3010.0
2017-08-03 14:00:00,NSE:PRECOT,78.1,80.9,78.1,79.0,4720.0
