datetime,symbol,open,high,low,close,volume
1998-12-28 09:15:00,NSE:PRECWIRE,6.25,6.25,6.0,6.0,1400.0
1999-01-04 09:15:00,NSE:PRECWIRE,6.25,7.175,6.0,7.175,12000.0
1999-01-11 09:15:00,NSE:PRECWIRE,7.25,7.75,6.5,6.5,8000.0
1999-01-18 09:15:00,NSE:PRECWIRE,6.0,6.625,6.0,6.5,7800.0
1999-01-25 09:15:00,NSE:PRECWIRE,6.725,9.0,6.125,8.25,32000.0
1999-02-01 09:15:00,NSE:PRECWIRE,8.2,8.375,6.9,6.95,12400.0
1999-02-08 09:15:00,NSE:PRECWIRE,6.8,8.0,6.8,7.325,18600.0
1999-02-15 09:15:00,NSE:PRECWIRE,7.5,11.0,7.45,10.325,97000.0
1999-02-22 09:15:00,NSE:PRECWIRE,9.5,10.375,7.375,8.2,37600.0
1999-03-01 09:15:00,NSE:PRECWIRE,8.875,9.0,7.0,7.15,27000.0
1999-03-08 09:15:00,NSE:PRECWIRE,7.075,7.5,6.75,6.8,13800.0
1999-03-15 09:15:00,NSE:PRECWIRE,7.25,8.0,6.8,8.0,30600.0
1999-03-22 09:15:00,NSE:PRECWIRE,7.3,8.5,7.3,8.0249995,17600.0
1999-03-29 09:15:00,NSE:PRECWIRE,8.0,8.5,7.875,8.5,11000.0
1999-04-05 09:15:00,NSE:PRECWIRE,7.525,7.6,6.575,7.25,10200.0
1999-04-12 09:15:00,NSE:PRECWIRE,7.05,7.55,7.0,7.55,4000.0
1999-04-19 09:15:00,NSE:PRECWIRE,6.55,7.25,6.55,6.875,8400.0
1999-04-26 09:15:00,NSE:PRECWIRE,6.125,6.925,6.05,6.925,2200.0
1999-05-03 09:15:00,NSE:PRECWIRE,6.2,7.25,6.2,6.85,8000.0
1999-05-10 09:15:00,NSE:PRECWIRE,6.225,7.7,6.225,6.5,7200.0
1999-05-17 09:15:00,NSE:PRECWIRE,6.675,7.625,6.15,7.5,9200.0
1999-05-24 09:15:00,NSE:PRECWIRE,7.3,7.75,6.625,7.0,5000.0
1999-05-31 09:15:00,NSE:PRECWIRE,7.55,7.55,7.0,7.0,3200.0
1999-06-07 09:15:00,NSE:PRECWIRE,7.1,7.6,7.1,7.5,11000.0
1999-06-14 09:15:00,NSE:PRECWIRE,7.25,8.1000005,7.1,8.1000005,14800.0
1999-06-21 09:15:00,NSE:PRECWIRE,8.1000005,8.25,7.775,8.25,4000.0
1999-06-28 09:15:00,NSE:PRECWIRE,8.25,8.25,7.9,7.9,6600.0
1999-07-05 09:15:00,NSE:PRECWIRE,7.5,9.5,7.5,9.3500005,12800.0
1999-07-12 09:15:00,NSE:PRECWIRE,9.5,11.0,8.0,9.1499995,34800.0
1999-07-19 09:15:00,NSE:PRECWIRE,8.0,9.25,7.0,7.25,41400.0
1999-07-26 09:15:00,NSE:PRECWIRE,7.125,9.5,7.125,9.1499995,27800.0
1999-08-02 09:15:00,NSE:PRECWIRE,9.1499995,9.25,8.325,8.5,13200.0
1999-08-09 09:15:00,NSE:PRECWIRE,8.625,9.375,8.375,9.1499995,27400.0
1999-08-16 09:15:00,NSE:PRECWIRE,9.25,13.075,9.2250005,13.075,89800.0
1999-08-23 09:15:00,NSE:PRECWIRE,13.1000005,17.825001,13.1000005,14.25,65200.0
1999-08-30 09:15:00,NSE:PRECWIRE,14.0,14.5,12.075,12.5249995,59800.0
1999-09-06 09:15:00,NSE:PRECWIRE,12.5,13.5,12.5,12.75,42000.0
1999-09-13 09:15:00,NSE:PRECWIRE,13.25,13.25,11.75,11.875,21400.0
1999-09-20 09:15:00,NSE:PRECWIRE,11.7749995,12.7,11.0,11.3,13800.0
1999-09-27 09:15:00,NSE:PRECWIRE,11.5,12.2250005,11.0,11.375,12800.0
1999-10-04 09:15:00,NSE:PRECWIRE,11.925,13.625,11.1000005,12.25,19800.0
1999-10-11 09:15:00,NSE:PRECWIRE,12.5,13.0,11.5249995,11.55,20600.0
1999-10-18 09:15:00,NSE:PRECWIRE,12.0,13.2,11.55,11.7,15000.0
1999-10-25 09:15:00,NSE:PRECWIRE,12.1499995,12.25,10.0,10.0,13200.0
1999-11-01 09:15:00,NSE:PRECWIRE,9.5,10.75,9.5,10.0,9400.0
1999-11-08 09:15:00,NSE:PRECWIRE,10.0,10.75,10.0,10.625,2200.0
1999-11-15 09:15:00,NSE:PRECWIRE,10.325,10.7,10.25,10.2749995,5800.0
1999-11-22 09:15:00,NSE:PRECWIRE,10.0,10.75,9.875,10.0,6200.0
1999-11-29 09:15:00,NSE:PRECWIRE,10.675,10.7,8.75,10.625,33600.0
1999-12-06 09:15:00,NSE:PRECWIRE,10.425,10.425,8.55,9.5,13800.0
1999-12-13 09:15:00,NSE:PRECWIRE,9.075,10.0,9.075,9.75,15400.0
1999-12-20 09:15:00,NSE:PRECWIRE,9.8999995,12.3999995,9.8999995,11.0,19000.0
1999-12-27 09:15:00,NSE:PRECWIRE,11.45,11.45,9.75,10.875,7600.0
2000-01-03 09:15:00,NSE:PRECWIRE,10.75,11.75,10.0,10.5,66200.0
2000-01-10 09:15:00,NSE:PRECWIRE,10.0249995,10.6000005,9.8,9.95,20000.0
2000-01-17 09:15:00,NSE:PRECWIRE,9.925,10.9750005,9.7749995,10.8999995,20600.0
2000-01-24 09:15:00,NSE:PRECWIRE,10.825,13.5,10.825,12.625,40400.0
2000-01-31 09:15:00,NSE:PRECWIRE,12.25,13.1000005,11.7749995,12.25,33800.0
2000-02-07 09:15:00,NSE:PRECWIRE,11.5,12.0,10.55,10.95,17400.0
2000-02-14 09:15:00,NSE:PRECWIRE,10.675,11.2250005,9.8999995,10.5,14800.0
