datetime,symbol,open,high,low,close,volume
2021-05-25 11:48:00,NSE:RTNPOWER,3.2,3.25,3.2,3.25,50049.0
2021-05-25 11:49:00,NSE:RTNPOWER,3.2,3.25,3.2,3.25,23643.0
2021-05-25 11:50:00,NSE:RTNPOWER,3.25,3.25,3.2,3.25,2213.0
2021-05-25 11:51:00,NSE:RTNPOWER,3.25,3.25,3.2,3.2,11308.0
2021-05-25 11:52:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,2371666.0
2021-05-25 11:53:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,13357.0
2021-05-25 11:54:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,2578.0
2021-05-25 11:55:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,25405.0
2021-05-25 11:56:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,1000.0
2021-05-25 11:57:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,9265.0
2021-05-25 11:58:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,4133.0
2021-05-25 11:59:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,17788.0
2021-05-25 12:00:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,700.0
2021-05-25 12:01:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,3000.0
2021-05-25 12:02:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,55500.0
2021-05-25 12:03:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,50100.0
2021-05-25 12:04:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,54516.0
2021-05-25 12:05:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,7775.0
2021-05-25 12:06:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,1056.0
2021-05-25 12:07:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,10300.0
2021-05-25 12:08:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,28000.0
2021-05-25 12:10:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,5493.0
2021-05-25 12:11:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,10865.0
2021-05-25 12:12:00,NSE:RTNPOWER,3.25,3.25,3.25,3.25,610.0
