datetime,open,high,low,close,volume
2014-09-01 15:00:00,61.3,61.45,61.05,61.2,143798.0
2014-09-02 09:00:00,61.8,63.15,61.2,62.35,575019.0
2014-09-02 12:00:00,62.4,63.4,61.8,62.2,474220.0
2014-09-02 15:00:00,62.15,62.45,62.1,62.3,137753.0
2014-09-03 09:00:00,62.35,64.4,61.6,61.7,1132800.0
2014-09-03 12:00:00,61.7,62.25,61.3,61.8,227986.0
2014-09-03 15:00:00,61.8,61.9,61.3,61.5,146352.0
2014-09-04 09:00:00,61.65,61.9,60.1,60.4,257656.0
2014-09-04 12:00:00,60.45,60.5,60.05,60.25,115932.0
2014-09-04 15:00:00,60.25,60.65,59.75,60.25,179341.0
2014-09-05 09:00:00,60.95,61.9,60.45,60.5,320094.0
2014-09-05 12:00:00,60.55,61.1,60.3,60.5,160147.0
2014-09-05 15:00:00,60.5,61.1,60.4,60.8,122387.0
2014-09-08 09:00:00,61.15,61.9,60.95,61.35,194623.0
2014-09-08 12:00:00,61.4,62.25,61.0,61.3,445675.0
2014-09-08 15:00:00,61.35,61.45,61.1,61.25,118532.0
2014-09-09 09:00:00,61.25,61.9,60.5,61.35,310889.0
2014-09-09 12:00:00,61.35,62.0,60.8,61.2,277400.0
2014-09-09 15:00:00,61.25,61.3,60.8,61.05,70232.0
2014-09-10 09:00:00,61.0,69.4,60.9,66.85,7361939.0
2014-09-10 12:00:00,66.85,68.5,66.55,66.85,2335668.0
2014-09-10 15:00:00,66.8,66.95,66.2,66.55,570048.0
2014-09-11 09:00:00,66.9,67.6,65.15,65.7,830885.0
2014-09-11 12:00:00,65.7,67.15,65.3,65.95,685455.0
2014-09-11 15:00:00,65.85,65.95,64.8,65.25,284099.0
2014-09-12 09:00:00,65.35,65.9,63.7,64.1,720339.0
2014-09-12 12:00:00,64.1,64.8,63.5,63.8,403066.0
2014-09-12 15:00:00,63.75,63.9,63.55,63.75,186422.0
2014-09-15 09:00:00,63.75,66.45,63.75,66.0,1100674.0
2014-09-15 12:00:00,66.0,67.4,65.35,66.2,1231360.0
2014-09-15 15:00:00,66.2,66.25,65.5,65.7,236853.0
2014-09-16 09:00:00,66.25,67.35,65.0,65.55,511720.0
2014-09-16 12:00:00,65.5,65.65,61.5,62.2,584565.0
2014-09-16 15:00:00,62.2,62.4,61.0,61.4,194766.0
2014-09-17 09:00:00,62.8,62.9,60.5,61.6,308770.0
2014-09-17 12:00:00,61.6,61.7,61.05,61.45,149173.0
2014-09-17 15:00:00,61.35,61.45,61.05,61.25,123203.0
2014-09-18 09:00:00,61.5,63.15,61.25,62.7,343003.0
