datetime,symbol,open,high,low,close,volume
2011-02-17 13:00:00,NSE:SUMMITSEC,121.4,121.4,121.4,121.4,132.0
2011-02-18 09:00:00,NSE:SUMMITSEC,129.4,133.55,126.0,126.0,17713.0
2011-02-18 13:00:00,NSE:SUMMITSEC,126.05,131.0,122.05,122.65,9721.0
2011-02-21 09:00:00,NSE:SUMMITSEC,121.0,126.3,120.4,123.15,1360.0
2011-02-21 13:00:00,NSE:SUMMITSEC,123.1,124.0,122.2,124.0,1017.0
2011-02-22 09:00:00,NSE:SUMMITSEC,125.0,130.0,117.35,126.15,2754.0
2011-02-22 13:00:00,NSE:SUMMITSEC,127.2,128.0,123.85,123.85,2507.0
2011-02-23 09:00:00,NSE:SUMMITSEC,125.0,128.4,116.0,122.5,2675.0
2011-02-23 13:00:00,NSE:SUMMITSEC,120.25,122.95,119.15,121.05,2340.0
2011-02-24 09:00:00,NSE:SUMMITSEC,121.85,121.85,112.5,112.5,1749.0
2011-02-24 13:00:00,NSE:SUMMITSEC,115.15,116.0,112.5,112.5,2773.0
2011-02-25 09:00:00,NSE:SUMMITSEC,119.95,119.95,108.0,109.0,1378.0
2011-02-25 13:00:00,NSE:SUMMITSEC,111.45,112.8,108.5,108.5,576.0
2011-02-28 09:00:00,NSE:SUMMITSEC,114.5,119.0,105.6,108.05,2336.0
2011-02-28 13:00:00,NSE:SUMMITSEC,108.2,109.55,100.0,102.2,3977.0
2011-03-01 09:00:00,NSE:SUMMITSEC,100.8,107.4,100.0,102.5,4440.0
2011-03-01 13:00:00,NSE:SUMMITSEC,104.75,112.95,100.5,104.55,6275.0
2011-03-03 09:00:00,NSE:SUMMITSEC,105.0,109.85,101.05,107.0,1474.0
2011-03-03 13:00:00,NSE:SUMMITSEC,107.0,107.0,101.55,104.3,2980.0
2011-03-04 09:00:00,NSE:SUMMITSEC,100.35,107.0,100.35,106.05,1016.0
2011-03-04 13:00:00,NSE:SUMMITSEC,106.0,107.1,102.5,102.8,1359.0
2011-03-07 09:00:00,NSE:SUMMITSEC,100.0,102.4,97.65,101.3,4090.0
2011-03-07 13:00:00,NSE:SUMMITSEC,102.4,103.4,96.2,96.2,3036.0
2011-03-08 09:00:00,NSE:SUMMITSEC,97.05,100.95,94.0,99.65,2026.0
2011-03-08 13:00:00,NSE:SUMMITSEC,100.0,100.9,97.0,97.75,2660.0
2011-03-09 09:00:00,NSE:SUMMITSEC,97.0,102.0,96.0,99.6,1114.0
2011-03-09 13:00:00,NSE:SUMMITSEC,98.05,100.0,97.25,99.35,1151.0
2011-03-10 09:00:00,NSE:SUMMITSEC,95.1,101.4,95.05,98.0,533.0
2011-03-10 13:00:00,NSE:SUMMITSEC,98.0,99.45,97.5,99.0,492.0
2011-03-11 09:00:00,NSE:SUMMITSEC,93.85,99.9,93.85,95.45,329.0
2011-03-11 13:00:00,NSE:SUMMITSEC,95.4,98.75,95.2,97.0,11227.0
2011-03-14 09:00:00,NSE:SUMMITSEC,95.2,99.0,95.1,97.15,732.0
2011-03-14 13:00:00,NSE:SUMMITSEC,97.5,98.0,90.15,95.8,9267.0
2011-03-15 09:00:00,NSE:SUMMITSEC,91.35,95.75,91.35,95.0,686.0
2011-03-15 13:00:00,NSE:SUMMITSEC,94.0,97.0,93.0,97.0,828.0
2011-03-16 09:00:00,NSE:SUMMITSEC,93.3,97.5,93.3,94.1,336.0
2011-03-16 13:00:00,NSE:SUMMITSEC,94.15,94.9,93.5,93.5,434.0
2011-03-17 09:00:00,NSE:SUMMITSEC,93.5,96.4,92.75,93.05,912.0
2011-03-17 13:00:00,NSE:SUMMITSEC,93.2,94.6,92.05,92.05,328.0
2011-03-18 09:00:00,NSE:SUMMITSEC,95.95,96.0,92.75,95.0,803.0
2011-03-18 13:00:00,NSE:SUMMITSEC,95.0,95.0,93.1,95.0,810.0
2011-03-21 09:00:00,NSE:SUMMITSEC,91.1,97.9,91.1,93.15,5536.0
2011-03-21 13:00:00,NSE:SUMMITSEC,93.15,93.2,92.1,92.55,347.0
2011-03-22 09:00:00,NSE:SUMMITSEC,93.0,108.0,91.8,105.4,15667.0
2011-03-22 13:00:00,NSE:SUMMITSEC,105.4,105.5,100.0,101.1,12636.0
2011-03-23 09:00:00,NSE:SUMMITSEC,101.0,104.9,99.0,99.0,1055.0
2011-03-23 13:00:00,NSE:SUMMITSEC,103.0,104.0,102.15,103.9,4647.0
2011-03-24 09:00:00,NSE:SUMMITSEC,101.1,103.9,101.1,101.75,812.0
2011-03-24 13:00:00,NSE:SUMMITSEC,101.5,102.5,101.0,101.05,586.0
2011-03-25 09:00:00,NSE:SUMMITSEC,100.1,101.95,100.1,100.75,1581.0
2011-03-25 13:00:00,NSE:SUMMITSEC,100.75,102.0,100.6,100.75,880.0
2011-03-28 09:00:00,NSE:SUMMITSEC,97.0,103.45,97.0,100.0,964.0
2011-03-28 13:00:00,NSE:SUMMITSEC,99.2,99.7,97.3,98.1,5343.0
2011-03-29 09:00:00,NSE:SUMMITSEC,95.6,102.8,95.6,100.3,3186.0
2011-03-29 13:00:00,NSE:SUMMITSEC,100.35,100.5,98.25,100.0,2535.0
2011-03-30 09:00:00,NSE:SUMMITSEC,98.5,104.0,98.1,102.0,591.0
2011-03-30 13:00:00,NSE:SUMMITSEC,101.0,103.0,100.0,100.0,495.0
2011-03-31 09:00:00,NSE:SUMMITSEC,100.0,109.75,100.0,105.5,3392.0
2011-03-31 13:00:00,NSE:SUMMITSEC,105.5,105.8,101.0,102.05,9716.0
2011-04-01 09:00:00,NSE:SUMMITSEC,98.05,105.0,98.05,105.0,4759.0
2011-04-01 13:00:00,NSE:SUMMITSEC,105.0,108.5,105.0,107.0,657.0
2011-04-04 09:00:00,NSE:SUMMITSEC,105.0,117.5,105.0,115.05,4697.0
2011-04-04 13:00:00,NSE:SUMMITSEC,115.95,119.0,114.2,118.45,3167.0
2011-04-05 09:00:00,NSE:SUMMITSEC,126.95,126.95,118.0,118.95,803.0
2011-04-05 13:00:00,NSE:SUMMITSEC,119.95,120.0,118.4,118.95,160.0
2011-04-06 09:00:00,NSE:SUMMITSEC,126.0,126.0,113.5,115.0,3502.0
2011-04-06 13:00:00,NSE:SUMMITSEC,115.1,117.0,115.1,115.15,1273.0
2011-04-07 09:00:00,NSE:SUMMITSEC,122.85,122.85,110.0,118.0,626.0
2011-04-07 13:00:00,NSE:SUMMITSEC,116.15,118.0,115.8,118.0,1677.0
2011-04-08 09:00:00,NSE:SUMMITSEC,119.0,121.3,117.4,118.25,2830.0
2011-04-08 13:00:00,NSE:SUMMITSEC,118.25,119.75,116.0,116.7,870.0
2011-04-11 09:00:00,NSE:SUMMITSEC,111.2,118.0,111.2,115.0,409.0
2011-04-11 13:00:00,NSE:SUMMITSEC,115.0,115.1,112.15,112.15,567.0
2011-04-13 09:00:00,NSE:SUMMITSEC,109.0,118.0,109.0,116.35,1271.0
2011-04-13 13:00:00,NSE:SUMMITSEC,116.35,128.95,116.35,124.0,6040.0
2011-04-15 09:00:00,NSE:SUMMITSEC,111.1,125.0,111.1,121.5,1460.0
2011-04-15 13:00:00,NSE:SUMMITSEC,122.1,122.6,119.5,119.5,1345.0
2011-04-18 09:00:00,NSE:SUMMITSEC,122.0,124.9,120.05,122.75,2036.0
2011-04-18 13:00:00,NSE:SUMMITSEC,122.75,123.5,121.0,123.0,1156.0
2011-04-19 09:00:00,NSE:SUMMITSEC,121.0,121.0,117.55,119.0,362.0
2011-04-19 13:00:00,NSE:SUMMITSEC,119.1,121.0,118.5,118.5,683.0
2011-04-20 09:00:00,NSE:SUMMITSEC,114.35,119.0,114.35,117.05,986.0
2011-04-20 13:00:00,NSE:SUMMITSEC,117.0,119.2,116.1,116.75,506.0
2011-04-21 09:00:00,NSE:SUMMITSEC,115.1,128.9,115.1,115.45,276.0
2011-04-21 13:00:00,NSE:SUMMITSEC,115.45,115.45,115.05,115.05,223.0
2011-04-25 09:00:00,NSE:SUMMITSEC,113.6,117.7,113.6,115.2,520.0
2011-04-25 13:00:00,NSE:SUMMITSEC,115.5,116.0,113.75,114.0,991.0
2011-04-26 09:00:00,NSE:SUMMITSEC,114.1,114.1,109.6,110.0,3624.0
2011-04-26 13:00:00,NSE:SUMMITSEC,111.95,113.95,108.0,110.3,2605.0
2011-04-27 09:00:00,NSE:SUMMITSEC,106.1,111.9,106.1,109.4,975.0
2011-04-27 13:00:00,NSE:SUMMITSEC,109.5,109.5,105.0,105.1,1634.0
2011-04-28 09:00:00,NSE:SUMMITSEC,105.1,107.7,102.45,105.0,789.0
2011-04-28 13:00:00,NSE:SUMMITSEC,105.95,106.0,103.55,104.5,400.0
2011-04-29 09:00:00,NSE:SUMMITSEC,106.0,106.0,102.55,103.2,679.0
2011-04-29 13:00:00,NSE:SUMMITSEC,103.2,105.8,103.0,103.05,887.0
2011-05-02 09:00:00,NSE:SUMMITSEC,99.0,105.0,99.0,101.0,1034.0
2011-05-02 13:00:00,NSE:SUMMITSEC,101.2,102.45,97.0,99.5,1809.0
2011-05-03 09:00:00,NSE:SUMMITSEC,96.2,104.6,96.2,98.2,882.0
2011-05-03 13:00:00,NSE:SUMMITSEC,98.5,99.9,98.0,98.0,610.0
2011-05-04 09:00:00,NSE:SUMMITSEC,94.0,102.0,94.0,97.0,293.0
2011-05-04 13:00:00,NSE:SUMMITSEC,97.9,102.0,96.3,100.8,465.0
2011-05-05 09:00:00,NSE:SUMMITSEC,96.55,101.95,96.55,101.0,333.0
2011-05-05 13:00:00,NSE:SUMMITSEC,101.0,101.5,98.45,98.5,733.0
2011-05-06 09:00:00,NSE:SUMMITSEC,97.35,98.0,96.25,97.7,1727.0
2011-05-06 13:00:00,NSE:SUMMITSEC,97.7,98.5,96.6,97.0,1861.0
2011-05-09 09:00:00,NSE:SUMMITSEC,94.4,100.0,94.4,96.15,208.0
2011-05-09 13:00:00,NSE:SUMMITSEC,96.0,96.9,95.55,95.6,77.0
2011-05-10 09:00:00,NSE:SUMMITSEC,95.1,102.95,95.1,99.4,290.0
2011-05-10 13:00:00,NSE:SUMMITSEC,97.1,97.9,96.5,96.5,189.0
2011-05-11 09:00:00,NSE:SUMMITSEC,96.55,100.0,95.0,95.0,1692.0
2011-05-11 13:00:00,NSE:SUMMITSEC,95.0,96.05,94.0,96.0,697.0
2011-05-12 09:00:00,NSE:SUMMITSEC,94.05,98.95,94.05,94.3,1184.0
2011-05-12 13:00:00,NSE:SUMMITSEC,94.55,97.4,94.55,94.7,486.0
2011-05-13 09:00:00,NSE:SUMMITSEC,94.8,98.0,94.8,96.0,1095.0
2011-05-13 13:00:00,NSE:SUMMITSEC,96.0,97.0,94.75,95.1,885.0
2011-05-16 09:00:00,NSE:SUMMITSEC,94.0,97.95,91.15,95.95,85.0
2011-05-16 13:00:00,NSE:SUMMITSEC,93.7,95.75,91.5,92.0,2894.0
2011-05-17 09:00:00,NSE:SUMMITSEC,88.1,98.9,88.1,93.0,575.0
2011-05-17 13:00:00,NSE:SUMMITSEC,94.0,94.0,92.6,92.95,353.0
2011-05-18 09:00:00,NSE:SUMMITSEC,89.0,92.5,89.0,91.9,798.0
2011-05-18 13:00:00,NSE:SUMMITSEC,91.25,93.85,91.25,92.0,670.0
2011-05-19 09:00:00,NSE:SUMMITSEC,91.6,91.95,91.5,91.5,267.0
2011-05-19 13:00:00,NSE:SUMMITSEC,91.5,91.9,90.25,91.85,275.0
2011-05-20 09:00:00,NSE:SUMMITSEC,91.0,93.0,90.5,90.55,1194.0
2011-05-20 13:00:00,NSE:SUMMITSEC,90.6,93.0,90.6,90.9,2093.0
2011-05-23 09:00:00,NSE:SUMMITSEC,88.05,91.75,88.05,88.05,251.0
2011-05-23 13:00:00,NSE:SUMMITSEC,88.25,91.9,88.15,88.15,436.0
2011-05-24 09:00:00,NSE:SUMMITSEC,88.0,89.8,87.65,88.0,2007.0
2011-05-24 13:00:00,NSE:SUMMITSEC,88.0,90.0,88.0,90.0,668.0
2011-05-25 09:00:00,NSE:SUMMITSEC,87.65,89.7,87.65,88.0,319.0
2011-05-25 13:00:00,NSE:SUMMITSEC,89.0,89.0,87.0,87.3,511.0
2011-05-26 09:00:00,NSE:SUMMITSEC,86.05,89.0,84.25,86.6,571.0
2011-05-26 13:00:00,NSE:SUMMITSEC,86.6,89.9,86.6,88.9,886.0
2011-05-27 09:00:00,NSE:SUMMITSEC,90.0,90.35,87.2,88.15,29.0
2011-05-27 13:00:00,NSE:SUMMITSEC,90.3,91.0,87.0,87.0,1281.0
2011-05-30 09:00:00,NSE:SUMMITSEC,84.3,90.0,84.15,88.0,753.0
2011-05-30 13:00:00,NSE:SUMMITSEC,88.55,91.0,86.35,86.85,556.0
2011-05-31 09:00:00,NSE:SUMMITSEC,83.1,90.9,83.1,87.3,1157.0
2011-05-31 13:00:00,NSE:SUMMITSEC,87.3,88.5,86.5,88.5,569.0
2011-06-01 09:00:00,NSE:SUMMITSEC,88.0,89.8,87.65,88.9,651.0
2011-06-01 13:00:00,NSE:SUMMITSEC,89.0,89.75,87.65,88.85,1611.0
2011-06-02 09:00:00,NSE:SUMMITSEC,85.0,89.8,85.0,86.1,1146.0
2011-06-02 13:00:00,NSE:SUMMITSEC,86.55,88.25,86.55,88.0,196.0
2011-06-03 09:00:00,NSE:SUMMITSEC,86.4,88.6,86.35,88.0,1340.0
2011-06-03 13:00:00,NSE:SUMMITSEC,88.0,88.5,86.55,88.1,108.0
2011-06-06 09:00:00,NSE:SUMMITSEC,86.7,87.9,86.55,86.55,437.0
2011-06-06 13:00:00,NSE:SUMMITSEC,86.55,87.05,86.55,87.0,349.0
2011-06-07 09:00:00,NSE:SUMMITSEC,85.0,87.0,85.0,85.75,63.0
2011-06-07 13:00:00,NSE:SUMMITSEC,86.0,86.5,85.7,86.0,429.0
2011-06-08 09:00:00,NSE:SUMMITSEC,86.3,88.0,85.55,88.0,1103.0
2011-06-08 13:00:00,NSE:SUMMITSEC,87.0,87.7,86.4,87.7,536.0
2011-06-09 09:00:00,NSE:SUMMITSEC,86.05,87.0,86.05,86.5,1393.0
2011-06-09 13:00:00,NSE:SUMMITSEC,87.0,87.0,86.0,86.0,2562.0
2011-06-10 09:00:00,NSE:SUMMITSEC,85.0,87.0,82.0,85.25,1769.0
2011-06-10 13:00:00,NSE:SUMMITSEC,85.3,85.55,85.3,85.5,266.0
2011-06-13 09:00:00,NSE:SUMMITSEC,83.25,87.65,83.25,86.0,1451.0
2011-06-13 13:00:00,NSE:SUMMITSEC,85.3,86.0,85.05,85.4,536.0
