datetime,symbol,open,high,low,close,volume
2010-03-29 13:00:00,NSE:UNIVCABLES,82.0,85.45,78.85,83.65,18837.0
2010-03-30 09:00:00,NSE:UNIVCABLES,83.0,84.95,82.7,83.6,3526.0
2010-03-30 13:00:00,NSE:UNIVCABLES,82.8,84.0,82.7,82.9,14670.0
2010-03-31 09:00:00,NSE:UNIVCABLES,84.0,84.1,81.9,83.0,7356.0
2010-03-31 13:00:00,NSE:UNIVCABLES,82.25,87.0,82.25,84.45,2814.0
2010-04-01 09:00:00,NSE:UNIVCABLES,83.0,85.5,83.0,84.5,1780.0
2010-04-01 13:00:00,NSE:UNIVCABLES,84.2,84.5,83.5,84.2,1844.0
2010-04-05 09:00:00,NSE:UNIVCABLES,83.0,85.0,82.1,83.55,2528.0
2010-04-05 13:00:00,NSE:UNIVCABLES,83.55,84.0,83.0,83.05,3179.0
2010-04-06 09:00:00,NSE:UNIVCABLES,83.1,84.7,83.05,83.5,4694.0
2010-04-06 13:00:00,NSE:UNIVCABLES,83.5,84.5,83.5,83.95,17567.0
2010-04-07 09:00:00,NSE:UNIVCABLES,85.25,85.25,82.9,83.5,2858.0
2010-04-07 13:00:00,NSE:UNIVCABLES,83.3,84.5,82.9,83.85,5103.0
2010-04-08 09:00:00,NSE:UNIVCABLES,82.15,86.3,82.15,85.2,4057.0
2010-04-08 13:00:00,NSE:UNIVCABLES,85.05,85.45,83.2,83.5,1971.0
2010-04-09 09:00:00,NSE:UNIVCABLES,85.9,85.9,82.9,84.0,3348.0
2010-04-09 13:00:00,NSE:UNIVCABLES,84.5,84.5,81.45,82.05,13645.0
2010-04-12 09:00:00,NSE:UNIVCABLES,84.7,89.7,83.5,87.75,21516.0
2010-04-12 13:00:00,NSE:UNIVCABLES,87.95,87.95,85.6,86.55,4079.0
2010-04-13 09:00:00,NSE:UNIVCABLES,83.5,90.0,83.5,87.85,8069.0
2010-04-13 13:00:00,NSE:UNIVCABLES,87.45,87.95,85.05,85.35,1756.0
2010-04-15 09:00:00,NSE:UNIVCABLES,84.1,87.9,84.0,85.05,3654.0
2010-04-15 13:00:00,NSE:UNIVCABLES,85.35,85.35,83.5,83.9,1819.0
2010-04-16 09:00:00,NSE:UNIVCABLES,83.0,83.95,82.1,83.35,1455.0
2010-04-16 13:00:00,NSE:UNIVCABLES,83.2,88.5,83.2,85.2,19195.0
2010-04-19 09:00:00,NSE:UNIVCABLES,83.5,84.75,83.3,83.55,695.0
2010-04-19 13:00:00,NSE:UNIVCABLES,84.0,84.45,83.6,84.35,513.0
2010-04-20 09:00:00,NSE:UNIVCABLES,82.55,85.2,82.35,84.0,1074.0
2010-04-20 13:00:00,NSE:UNIVCABLES,83.95,85.45,83.25,84.9,1681.0
2010-04-21 09:00:00,NSE:UNIVCABLES,85.5,86.0,84.05,84.6,1546.0
2010-04-21 13:00:00,NSE:UNIVCABLES,85.8,86.0,84.5,85.0,2457.0
2010-04-22 09:00:00,NSE:UNIVCABLES,84.6,85.7,84.6,85.5,558.0
2010-04-22 13:00:00,NSE:UNIVCABLES,85.5,86.0,83.75,84.3,2182.0
2010-04-23 09:00:00,NSE:UNIVCABLES,85.0,86.5,84.6,84.6,3089.0
2010-04-23 13:00:00,NSE:UNIVCABLES,85.0,85.9,85.0,85.35,1053.0
2010-04-26 09:00:00,NSE:UNIVCABLES,85.0,88.85,85.0,87.5,28153.0
2010-04-26 13:00:00,NSE:UNIVCABLES,86.1,88.15,86.1,87.3,8105.0
2010-04-27 09:00:00,NSE:UNIVCABLES,86.0,86.95,84.7,84.9,3901.0
2010-04-27 13:00:00,NSE:UNIVCABLES,84.95,85.3,84.8,85.15,2350.0
2010-04-28 09:00:00,NSE:UNIVCABLES,85.45,85.45,84.0,84.7,3260.0
2010-04-28 13:00:00,NSE:UNIVCABLES,85.45,85.45,84.7,84.7,460.0
2010-04-29 09:00:00,NSE:UNIVCABLES,83.55,85.8,83.55,85.8,20.0
2010-04-29 13:00:00,NSE:UNIVCABLES,85.0,85.65,85.0,85.25,3395.0
