datetime,symbol,open,high,low,close,volume
2016-07-01 09:15:00,NSE:LSIL,2.6,2.6,1.8,1.8,41021.0
2016-08-01 09:15:00,NSE:LSIL,1.65,1.9,1.35,1.8,1948395.0
2016-09-01 09:15:00,NSE:LSIL,1.85,1.9,1.35,1.4,2332642.0
2016-10-03 09:15:00,NSE:LSIL,1.4,1.65,0.95,1.3,13825029.0
2016-11-01 09:15:00,NSE:LSIL,1.4,2.35,1.3,1.75,13808928.0
2016-12-01 09:15:00,NSE:LSIL,1.8,2.4,1.65,1.75,6093589.0
2017-01-02 09:15:00,NSE:LSIL,1.75,1.85,1.65,1.75,2188757.0
2017-02-01 09:15:00,NSE:LSIL,1.8,2.3,1.65,1.8,6615490.0
2017-03-01 09:15:00,NSE:LSIL,1.85,1.9,1.6,1.8,2721162.0
2017-04-03 09:15:00,NSE:LSIL,1.8,2.5,1.7,2.05,8492856.0
2017-05-02 09:15:00,NSE:LSIL,2.0,2.25,1.75,1.75,5182583.0
2017-06-01 09:15:00,NSE:LSIL,1.8,1.9,1.5,1.85,4758099.0
2017-07-03 09:15:00,NSE:LSIL,2.05,2.05,1.65,1.65,5512510.0
2017-08-01 09:15:00,NSE:LSIL,1.7,1.8,1.4,1.45,4638779.0
2017-09-01 09:15:00,NSE:LSIL,1.5,1.55,1.3,1.35,4129454.0
2017-10-03 09:15:00,NSE:LSIL,1.35,1.6,1.25,1.5,4270013.0
2017-11-01 09:15:00,NSE:LSIL,1.5,2.35,1.4,1.85,18767448.0
2017-12-01 09:15:00,NSE:LSIL,1.9,2.4,1.6,2.4,5548584.0
2018-01-01 09:15:00,NSE:LSIL,2.5,3.9,2.5,2.6,6389027.0
2018-02-01 09:15:00,NSE:LSIL,2.5,2.5,1.55,1.55,8048200.0
2018-03-01 09:15:00,NSE:LSIL,1.5,1.55,1.25,1.25,10704471.0
2018-04-02 09:15:00,NSE:LSIL,1.3,1.35,1.25,1.25,9936992.0
2018-05-02 09:15:00,NSE:LSIL,1.3,1.35,1.0,1.3,16655002.0
2018-06-01 09:15:00,NSE:LSIL,1.3,1.35,1.0,1.05,11075406.0
2018-07-02 09:15:00,NSE:LSIL,1.05,1.15,0.9,1.0,42471873.0
2018-08-01 09:15:00,NSE:LSIL,0.95,1.25,0.9,1.25,63151970.0
2018-09-03 09:15:00,NSE:LSIL,1.3,1.85,1.25,1.45,26563992.0
2018-10-01 09:15:00,NSE:LSIL,1.4,1.45,1.1,1.2,31238954.0
2018-11-01 09:15:00,NSE:LSIL,1.25,1.25,1.0,1.2,34715675.0
2018-12-03 09:15:00,NSE:LSIL,1.15,1.25,1.05,1.15,16679868.0
2019-01-01 09:15:00,NSE:LSIL,1.15,1.2,1.0,1.0,15850430.0
2019-02-01 09:15:00,NSE:LSIL,1.05,1.15,0.8,1.05,22215417.0
2019-03-01 09:15:00,NSE:LSIL,1.1,1.15,0.85,0.9,21980444.0
2019-04-01 09:15:00,NSE:LSIL,0.95,0.95,0.55,0.6,79230513.0
2019-05-02 09:15:00,NSE:LSIL,0.6,0.7,0.45,0.6,58915961.0
2019-06-03 09:15:00,NSE:LSIL,0.6,0.65,0.5,0.5,15625073.0
2019-07-01 09:15:00,NSE:LSIL,0.55,0.65,0.5,0.5,19112407.0
2019-08-01 09:15:00,NSE:LSIL,0.55,0.6,0.4,0.5,13476730.0
2019-09-03 09:15:00,NSE:LSIL,0.5,0.55,0.4,0.5,10205891.0
2019-10-01 09:15:00,NSE:LSIL,0.45,0.5,0.4,0.5,16082245.0
2019-11-01 09:15:00,NSE:LSIL,0.45,0.65,0.45,0.5,30143718.0
2019-12-02 09:15:00,NSE:LSIL,0.55,0.6,0.45,0.45,15492958.0
2020-01-01 09:15:00,NSE:LSIL,0.45,0.55,0.45,0.5,16167651.0
2020-02-01 09:15:00,NSE:LSIL,0.5,0.55,0.4,0.4,13422309.0
2020-03-02 09:15:00,NSE:LSIL,0.45,0.45,0.3,0.35,14558085.0
2020-04-01 09:15:00,NSE:LSIL,0.35,0.45,0.3,0.45,12188855.0
2020-05-04 09:15:00,NSE:LSIL,0.45,0.8,0.4,0.7,51042998.0
2020-06-01 09:15:00,NSE:LSIL,0.75,1.4,0.7,1.4,101452914.0
2020-07-01 09:15:00,NSE:LSIL,1.45,1.5,0.7,0.75,35752938.0
2020-08-03 09:15:00,NSE:LSIL,0.75,0.95,0.7,0.8,31402436.0
2020-09-01 09:15:00,NSE:LSIL,0.75,0.85,0.65,0.75,15851559.0
2020-10-01 09:15:00,NSE:LSIL,0.75,0.8,0.65,0.65,19874138.0
2020-11-02 09:15:00,NSE:LSIL,0.65,0.75,0.65,0.7,12585286.0
2020-12-01 09:15:00,NSE:LSIL,0.7,1.25,0.65,1.0,78813292.0
2021-01-01 09:15:00,NSE:LSIL,0.95,1.1,0.8,0.9,42499153.0
2021-02-01 09:15:00,NSE:LSIL,0.9,1.05,0.85,1.0,33556639.0
2021-03-01 09:15:00,NSE:LSIL,1.0,1.45,0.95,1.15,94903772.0
2021-04-01 09:15:00,NSE:LSIL,1.15,1.45,1.05,1.45,40692884.0
2021-05-03 09:15:00,NSE:LSIL,1.5,2.1,1.5,2.1,43245017.0
2021-06-01 09:15:00,NSE:LSIL,2.15,3.9,1.95,3.2,69477854.0
2021-07-01 09:15:00,NSE:LSIL,3.05,3.9,2.8,3.4,78841823.0
2021-08-02 09:15:00,NSE:LSIL,3.55,3.7,3.1,3.2,17966092.0
